"","week","Yamanashi","Gunma","Ibaragi","Tochigi","Nagano","Shizuoka"
"60","2021年2月第3週",-25.394902381,-37.473926465,-28.442976376,-36.766630042,-26.966546441,-32.81528152
"61","2021年2月第4週",-22.77757274,-32.926469272,-25.00966534,-31.39731002,-20.069584609,-34.254206256
"62","2021年3月第1週",-25.239154268,-33.00407758,-28.431356708,-36.272091033,-22.592312844,-33.010702287
"63","2021年3月第2週",-22.356736308,-26.290443505,-27.85871709,-33.184854085,-22.864082324,-29.637569387
"64","2021年3月第3週",-21.966143345,-29.422262973,-27.985939558,-31.278282049,-25.91868555,-30.205079433
"65","2021年3月第4週",-21.470764287,-29.028042677,-25.806427017,-31.431997364,-29.182858949,-30.013302392
"66","2021年4月第1週",-15.661614474,-29.713787571,-23.663576553,-31.250801659,-26.435698643,-24.031523639
"67","2021年4月第2週",-27.324668705,-29.579972766,-23.660380107,-32.722467942,-27.546651395,-24.722133405
"68","2021年4月第3週",-26.594197846,-29.547103365,-14.923356677,-32.313201221,-35.303039892,-31.521225915
"69","2021年4月第4週",-33.093498571,-37.26315055,-28.199638606,-32.794529003,-44.512055366,-35.383611137
"70","2021年4月第5週",-28.464240759,-26.151647769,-25.518216019,-30.823299787,-35.861365549,-29.263660695
"71","2021年5月第1週",-53.709270673,-49.172378162,-42.209394943,-50.719602233,-59.452763069,-51.422973269
"72","2021年5月第2週",-39.332733449,-45.652493897,-34.171782512,-42.409162374,-43.076385992,-40.895453937
"73","2021年5月第3週",-41.24528339,-44.766385019,-33.35601621,-38.447368238,-45.970010495,-41.135225266
"74","2021年5月第4週",-36.202708523,-44.120472132,-29.861436594,-33.693403122,-42.93415184,-35.925806428
"75","2021年6月第1週",-33.82655358,-45.004539869,-32.059881809,-35.78375344,-41.214305067,-36.335392403
"76","2021年6月第2週",-39.318953246,-43.189417352,-28.605831986,-37.820418103,-41.694894435,-36.295050381
"77","2021年6月第3週",-39.31060955,-42.632996398,-31.146669945,-37.856273429,-38.714745245,-39.157951841
"78","2021年6月第4週",-38.377204431,-44.70856102,-34.292416348,-36.998252744,-39.364736419,-40.323021406
"79","2021年7月第1週",-25.524587116,-43.249872179,-34.779646383,-38.053336613,-40.233789,-42.268565149
"80","2021年7月第2週",-27.537587417,-40.323082505,-31.742707508,-39.614831068,-39.891272421,-39.798841734
"81","2021年7月第3週",-34.135336341,-43.667574932,-36.821864846,-43.593259057,-33.958111716,-44.88049361
"82","2021年7月第4週",-13.147115396,-36.69878899,-24.245809345,-31.971200922,-26.333061808,-34.11323182
"83","2021年7月第5週",-33.091627466,-44.600976896,-35.981818962,-42.20812815,-41.161751751,-43.090133464
"84","2021年8月第1週",-35.999959318,-42.819481949,-35.473376658,-41.58735598,-39.240077196,-43.198582408
"85","2021年8月第2週",-35.596142934,-32.998882176,-26.50009158,-31.050518027,-38.558352403,-38.296768446
"86","2021年8月第3週",-74.605178414,-75.358744076,-68.967566738,-75.315259359,-77.085276723,-78.687335495
"87","2021年8月第4週",-44.470463744,-51.900723614,-40.54935748,-51.234129824,-53.53105847,-61.097146424
"88","2021年9月第1週",-50.001378783,-51.389096868,-47.240424805,-50.37556309,-49.479299092,-58.984512862
"89","2021年9月第2週",-39.53551078,-48.416357653,-41.77658356,-30.969174272,-43.87828661,-53.436058427
"90","2021年9月第3週",-37.951301748,-46.818690767,-41.254250844,-37.898874185,-40.630905716,-51.786623626
"91","2021年9月第4週",-30.814277041,-46.331472534,-34.240735535,-35.709579997,-32.574972522,-45.13987681
"92","2021年9月第5週",-34.108630555,-48.861193272,-37.838291575,-39.814454935,-35.057080347,-47.756563395
"93","2021年10月第1週",-24.88403544,-40.059755162,-28.316329635,-29.869694398,-30.571456273,-34.549711856
