date,state,value
2021/3/1,沖縄県,0.25045
2021/3/1,東京都,0.516929
2021/3/1,鹿児島県,0.347048
2021/3/1,宮崎県,0.346134
2021/3/1,長崎県,0.343888
2021/3/1,熊本県,0.341662
2021/3/1,佐賀県,0.295283
2021/3/1,福岡県,0.336519
2021/3/1,大分県,0.281093
2021/3/1,高知県,0.329859
2021/3/1,愛媛県,0.285859
2021/3/1,山口県,0.291454
2021/3/1,徳島県,0.29426
2021/3/1,和歌山県,0.223709
2021/3/1,三重県,0.246414
2021/3/1,奈良県,0.276367
2021/3/1,島根県,0.441817
2021/3/1,広島県,0.206489
2021/3/1,香川県,0.230411
2021/3/1,岡山県,0.185947
2021/3/1,兵庫県,0.353918
2021/3/1,大阪府,0.321267
2021/3/1,愛知県,0.244241
2021/3/1,静岡県,0.218107
2021/3/1,鳥取県,0.273213
2021/3/1,京都府,0.316663
2021/3/1,滋賀県,0.186775
2021/3/1,岐阜県,0.35096
2021/3/1,長野県,0.339768
2021/3/1,山梨県,0.184499
2021/3/1,千葉県,0.444127
2021/3/1,神奈川県,0.483146
2021/3/1,福井県,0.302212
2021/3/1,埼玉県,0.429611
2021/3/1,茨城県,0.291755
2021/3/1,石川県,0.324988
2021/3/1,富山県,0.257314
2021/3/1,群馬県,0.275069
2021/3/1,栃木県,0.22314
2021/3/1,新潟県,0.282848
2021/3/1,福島県,0.301245
2021/3/1,山形県,0.38874
2021/3/1,宮城県,0.301923
2021/3/1,秋田県,0.381084
2021/3/1,岩手県,0.361927
2021/3/1,青森県,0.330234
2021/3/1,北海道,0.290664
2021/3/2,沖縄県,0.373492
2021/3/2,東京都,0.573709
2021/3/2,鹿児島県,0.377253
2021/3/2,宮崎県,0.447689
2021/3/2,長崎県,0.438445
2021/3/2,熊本県,0.349601
2021/3/2,佐賀県,0.488652
2021/3/2,福岡県,0.43427
2021/3/2,大分県,0.412649
2021/3/2,高知県,0.423352
2021/3/2,愛媛県,0.383127
2021/3/2,山口県,0.426532
2021/3/2,徳島県,0.367716
2021/3/2,和歌山県,0.349817
2021/3/2,三重県,0.424437
2021/3/2,奈良県,0.388195
2021/3/2,島根県,0.463273
2021/3/2,広島県,0.392808
2021/3/2,香川県,0.271715
2021/3/2,岡山県,0.368388
2021/3/2,兵庫県,0.424896
2021/3/2,大阪府,0.408529
2021/3/2,愛知県,0.403569
2021/3/2,静岡県,0.391398
2021/3/2,鳥取県,0.38129
2021/3/2,京都府,0.397017
2021/3/2,滋賀県,0.297818
2021/3/2,岐阜県,0.442645
2021/3/2,長野県,0.437714
2021/3/2,山梨県,0.386098
2021/3/2,千葉県,0.556782
2021/3/2,神奈川県,0.550707
2021/3/2,福井県,0.373014
2021/3/2,埼玉県,0.531595
2021/3/2,茨城県,0.416006
2021/3/2,石川県,0.358469
2021/3/2,富山県,0.329616
2021/3/2,群馬県,0.391502
2021/3/2,栃木県,0.399719
2021/3/2,新潟県,0.383846
2021/3/2,福島県,0.495083
2021/3/2,山形県,0.466378
2021/3/2,宮城県,0.35064
2021/3/2,秋田県,0.353379
2021/3/2,岩手県,0.51134
2021/3/2,青森県,0.446106
2021/3/2,北海道,0.514062
2021/3/3,沖縄県,0.334718
2021/3/3,鹿児島県,0.343008
2021/3/3,東京都,0.523583
2021/3/3,宮崎県,0.398382
2021/3/3,長崎県,0.361511
2021/3/3,熊本県,0.383097
2021/3/3,佐賀県,0.314938
2021/3/3,福岡県,0.410314
2021/3/3,大分県,0.357635
2021/3/3,高知県,0.41065
2021/3/3,愛媛県,0.253522
2021/3/3,山口県,0.358284
2021/3/3,徳島県,0.38355
2021/3/3,和歌山県,0.349618
2021/3/3,三重県,0.420455
2021/3/3,奈良県,0.391547
2021/3/3,島根県,0.501972
2021/3/3,広島県,0.393445
2021/3/3,香川県,0.281406
2021/3/3,岡山県,0.354632
2021/3/3,兵庫県,0.398601
2021/3/3,大阪府,0.394639
2021/3/3,愛知県,0.367872
2021/3/3,静岡県,0.334402
2021/3/3,鳥取県,0.364297
2021/3/3,京都府,0.387348
2021/3/3,滋賀県,0.344286
2021/3/3,岐阜県,0.428162
2021/3/3,長野県,0.396429
2021/3/3,山梨県,0.278161
2021/3/3,千葉県,0.488573
2021/3/3,神奈川県,0.531808
2021/3/3,福井県,0.40998
2021/3/3,埼玉県,0.501862
2021/3/3,茨城県,0.363418
2021/3/3,石川県,0.359217
2021/3/3,富山県,0.330497
2021/3/3,群馬県,0.34894
2021/3/3,栃木県,0.368466
2021/3/3,新潟県,0.379777
2021/3/3,福島県,0.418391
2021/3/3,山形県,0.43159
2021/3/3,宮城県,0.370401
2021/3/3,秋田県,0.465691
2021/3/3,岩手県,0.436151
2021/3/3,青森県,0.398574
2021/3/3,北海道,0.504262
2021/3/4,沖縄県,0.324951
2021/3/4,東京都,0.507582
2021/3/4,鹿児島県,0.37967
2021/3/4,宮崎県,0.408459
2021/3/4,長崎県,0.387448
2021/3/4,熊本県,0.394839
2021/3/4,佐賀県,0.467387
2021/3/4,福岡県,0.42609
2021/3/4,大分県,0.339748
2021/3/4,高知県,0.358858
2021/3/4,愛媛県,0.342518
2021/3/4,山口県,0.364705
2021/3/4,徳島県,0.392784
2021/3/4,和歌山県,0.270905
2021/3/4,三重県,0.325402
2021/3/4,奈良県,0.321518
2021/3/4,島根県,0.438277
2021/3/4,広島県,0.305971
2021/3/4,香川県,0.214806
2021/3/4,岡山県,0.335143
2021/3/4,兵庫県,0.367461
2021/3/4,大阪府,0.358245
2021/3/4,愛知県,0.332886
2021/3/4,静岡県,0.342528
2021/3/4,鳥取県,0.242756
2021/3/4,京都府,0.359425
2021/3/4,滋賀県,0.273918
2021/3/4,岐阜県,0.37233
2021/3/4,長野県,0.305126
2021/3/4,山梨県,0.333284
2021/3/4,千葉県,0.486563
2021/3/4,神奈川県,0.500134
2021/3/4,福井県,0.377992
2021/3/4,埼玉県,0.471472
2021/3/4,茨城県,0.356715
2021/3/4,石川県,0.416023
2021/3/4,富山県,0.350954
2021/3/4,群馬県,0.351813
2021/3/4,栃木県,0.313435
2021/3/4,新潟県,0.330789
2021/3/4,福島県,0.379635
2021/3/4,山形県,0.49216
2021/3/4,宮城県,0.354113
2021/3/4,秋田県,0.395034
2021/3/4,岩手県,0.428264
2021/3/4,青森県,0.404237
2021/3/4,北海道,0.359806
2021/3/5,沖縄県,0.172328
2021/3/5,東京都,0.452372
2021/3/5,鹿児島県,0.110176
2021/3/5,宮崎県,0.09706
2021/3/5,長崎県,0.234458
2021/3/5,熊本県,0.292961
2021/3/5,佐賀県,0.412314
2021/3/5,福岡県,0.326928
2021/3/5,大分県,0.204354
2021/3/5,高知県,0.287543
2021/3/5,愛媛県,0.182628
2021/3/5,山口県,0.137101
2021/3/5,徳島県,0.289126
2021/3/5,和歌山県,0.20185
2021/3/5,三重県,0.203859
2021/3/5,奈良県,0.272507
2021/3/5,島根県,0.247306
2021/3/5,広島県,0.170842
2021/3/5,香川県,0.126793
2021/3/5,岡山県,0.176323
2021/3/5,兵庫県,0.322012
2021/3/5,大阪府,0.289239
2021/3/5,愛知県,0.282127
2021/3/5,静岡県,0.224104
2021/3/5,鳥取県,0.070944
2021/3/5,京都府,0.288907
2021/3/5,滋賀県,0.200792
2021/3/5,岐阜県,0.359325
2021/3/5,長野県,0.226454
2021/3/5,山梨県,0.134185
2021/3/5,千葉県,0.436343
2021/3/5,神奈川県,0.458281
2021/3/5,福井県,0.111043
2021/3/5,埼玉県,0.434784
2021/3/5,茨城県,0.222973
2021/3/5,石川県,0.327045
2021/3/5,富山県,0.093486
2021/3/5,群馬県,0.20647
2021/3/5,栃木県,0.225462
2021/3/5,新潟県,0.226187
2021/3/5,福島県,0.39554
2021/3/5,山形県,0.32664
2021/3/5,宮城県,0.262105
2021/3/5,秋田県,0.421362
2021/3/5,岩手県,0.41254
2021/3/5,青森県,0.36773
2021/3/5,北海道,0.222702
2021/3/6,沖縄県,0.294434
2021/3/6,東京都,0.457502
2021/3/6,鹿児島県,0.299097
2021/3/6,宮崎県,0.300899
2021/3/6,長崎県,0.279591
2021/3/6,熊本県,0.297699
2021/3/6,佐賀県,0.334851
2021/3/6,福岡県,0.367648
2021/3/6,大分県,0.383818
2021/3/6,高知県,0.351452
2021/3/6,愛媛県,0.323607
2021/3/6,山口県,0.331408
2021/3/6,徳島県,0.277074
2021/3/6,和歌山県,0.243632
