date,state,value
2020/1/1,沖縄県,0.784492
2020/1/1,東京都,0.917868
2020/1/1,鹿児島県,0.756406
2020/1/1,宮崎県,0.771203
2020/1/1,長崎県,0.901642
2020/1/1,熊本県,0.980704
2020/1/1,佐賀県,0.990838
2020/1/1,福岡県,0.859425
2020/1/1,大分県,0.71368
2020/1/1,高知県,0.873061
2020/1/1,愛媛県,0.797698
2020/1/1,山口県,0.868405
2020/1/1,徳島県,0.744572
2020/1/1,和歌山県,0.928182
2020/1/1,三重県,0.973334
2020/1/1,奈良県,1.05457
2020/1/1,島根県,0.900306
2020/1/1,広島県,0.914457
2020/1/1,香川県,0.813265
2020/1/1,岡山県,0.812277
2020/1/1,兵庫県,0.977922
2020/1/1,大阪府,0.97652
2020/1/1,愛知県,0.865265
2020/1/1,静岡県,0.900997
2020/1/1,鳥取県,0.876842
2020/1/1,京都府,0.937752
2020/1/1,滋賀県,0.907153
2020/1/1,岐阜県,0.920584
2020/1/1,長野県,0.703769
2020/1/1,山梨県,0.645416
2020/1/1,千葉県,0.931086
2020/1/1,神奈川県,0.997681
2020/1/1,福井県,0.936479
2020/1/1,埼玉県,0.973577
2020/1/1,茨城県,0.957494
2020/1/1,石川県,0.859062
2020/1/1,富山県,0.871369
2020/1/1,群馬県,0.825456
2020/1/1,栃木県,0.936346
2020/1/1,新潟県,0.826321
2020/1/1,福島県,0.849172
2020/1/1,山形県,0.857515
2020/1/1,宮城県,0.819765
2020/1/1,秋田県,0.627027
2020/1/1,岩手県,0.830439
2020/1/1,青森県,0.685197
2020/1/1,北海道,0.787322
2020/1/2,沖縄県,0.107665
2020/1/2,東京都,0.696293
2020/1/2,鹿児島県,-0.026278
2020/1/2,宮崎県,-0.021336
2020/1/2,長崎県,-0.144595
2020/1/2,熊本県,0.117395
2020/1/2,佐賀県,0.11707
2020/1/2,福岡県,0.371369
2020/1/2,大分県,-0.097793
2020/1/2,高知県,-0.06768
2020/1/2,愛媛県,-0.079186
2020/1/2,山口県,-0.004833
2020/1/2,徳島県,-0.054824
2020/1/2,和歌山県,-0.149632
2020/1/2,三重県,0.037233
2020/1/2,奈良県,0.235268
2020/1/2,島根県,-0.114427
2020/1/2,広島県,0.368453
2020/1/2,香川県,0.103931
2020/1/2,岡山県,0.169158
2020/1/2,兵庫県,0.4026
2020/1/2,大阪府,0.42451
2020/1/2,愛知県,0.389408
2020/1/2,静岡県,0.116507
2020/1/2,鳥取県,0.075718
2020/1/2,京都府,0.313734
2020/1/2,滋賀県,0.348044
2020/1/2,岐阜県,0.103734
2020/1/2,長野県,-0.122761
2020/1/2,山梨県,-0.033105
2020/1/2,千葉県,0.492599
2020/1/2,神奈川県,0.65298
2020/1/2,福井県,0.097253
2020/1/2,埼玉県,0.551135
2020/1/2,茨城県,0.093408
2020/1/2,石川県,0.195943
2020/1/2,富山県,0.220737
2020/1/2,群馬県,0.023566
2020/1/2,栃木県,0.1332
2020/1/2,新潟県,-0.018151
2020/1/2,福島県,-0.142826
2020/1/2,山形県,-0.09132
2020/1/2,宮城県,0.432664
2020/1/2,秋田県,-0.428175
2020/1/2,岩手県,-0.126704
2020/1/2,青森県,-0.264888
2020/1/2,北海道,0.234346
2020/1/3,沖縄県,0.169842
2020/1/3,東京都,0.71898
2020/1/3,鹿児島県,0.014075
2020/1/3,宮崎県,0.002122
2020/1/3,長崎県,-0.30149
2020/1/3,熊本県,-0.059714
2020/1/3,佐賀県,-0.11096
2020/1/3,福岡県,0.349447
2020/1/3,大分県,-0.083184
2020/1/3,高知県,-0.121207
2020/1/3,愛媛県,-0.172848
2020/1/3,山口県,-0.073969
2020/1/3,徳島県,-0.279086
2020/1/3,和歌山県,-0.332583
2020/1/3,三重県,-0.020605
2020/1/3,奈良県,0.180925
