エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
群馬県全体,2020年3月第2週,洋食・西洋料理,-9.449117334
群馬県全体,2020年3月第2週,肉料理,-4.488861969
群馬県全体,2020年3月第2週,鍋料理,-7.883688384
群馬県全体,2020年3月第3週,アジア・エスニック,-15.415632754
群馬県全体,2020年3月第3週,カフェ・スイーツ,-15.990754705
群馬県全体,2020年3月第3週,すべて,-10.310476406
群馬県全体,2020年3月第3週,ファミレス・ファストフード,13.582677165
群馬県全体,2020年3月第3週,中華,-4.552622842
群馬県全体,2020年3月第3週,和食,-7.333374234
群馬県全体,2020年3月第3週,居酒屋・バー,-3.204246118
群馬県全体,2020年3月第3週,洋食・西洋料理,-3.581482640
群馬県全体,2020年3月第3週,肉料理,-6.188760642
群馬県全体,2020年3月第3週,鍋料理,-1.372578923
群馬県全体,2020年3月第4週,アジア・エスニック,-26.157697121
群馬県全体,2020年3月第4週,カフェ・スイーツ,-28.051406501
群馬県全体,2020年3月第4週,すべて,-25.591598408
群馬県全体,2020年3月第4週,ファミレス・ファストフード,-9.220532319
群馬県全体,2020年3月第4週,中華,-6.083702250
群馬県全体,2020年3月第4週,和食,-23.495208189
群馬県全体,2020年3月第4週,居酒屋・バー,-18.895907174
群馬県全体,2020年3月第4週,洋食・西洋料理,-22.560670652
群馬県全体,2020年3月第4週,肉料理,-25.942058577
群馬県全体,2020年3月第4週,鍋料理,-22.909563241
群馬県全体,2020年4月第1週,アジア・エスニック,-43.107328050
群馬県全体,2020年4月第1週,カフェ・スイーツ,-45.389058229
群馬県全体,2020年4月第1週,すべて,-42.117304121
群馬県全体,2020年4月第1週,ファミレス・ファストフード,-18.612818262
群馬県全体,2020年4月第1週,中華,-5.285364305
群馬県全体,2020年4月第1週,和食,-39.512011482
群馬県全体,2020年4月第1週,居酒屋・バー,-51.152445585
群馬県全体,2020年4月第1週,洋食・西洋料理,-43.749048516
群馬県全体,2020年4月第1週,肉料理,-38.824650408
群馬県全体,2020年4月第1週,鍋料理,-42.130307467
群馬県全体,2020年4月第2週,アジア・エスニック,-51.896722939
群馬県全体,2020年4月第2週,カフェ・スイーツ,-52.342559713
群馬県全体,2020年4月第2週,すべて,-51.334424251
群馬県全体,2020年4月第2週,ファミレス・ファストフード,-27.992277992
群馬県全体,2020年4月第2週,中華,-36.645332501
群馬県全体,2020年4月第2週,和食,-48.682914212
群馬県全体,2020年4月第2週,居酒屋・バー,-62.913283916
群馬県全体,2020年4月第2週,洋食・西洋料理,-53.496626784
群馬県全体,2020年4月第2週,肉料理,-53.289554588
群馬県全体,2020年4月第2週,鍋料理,-56.131846825
群馬県全体,2020年4月第3週,アジア・エスニック,-40.037931723
群馬県全体,2020年4月第3週,カフェ・スイーツ,-52.678273367
群馬県全体,2020年4月第3週,すべて,-51.671223912
群馬県全体,2020年4月第3週,ファミレス・ファストフード,20.754716981
群馬県全体,2020年4月第3週,中華,-36.967310611
群馬県全体,2020年4月第3週,和食,-51.281709785
群馬県全体,2020年4月第3週,居酒屋・バー,-66.337823080
群馬県全体,2020年4月第3週,洋食・西洋料理,-53.311590955
群馬県全体,2020年4月第3週,肉料理,-55.653840155
群馬県全体,2020年4月第3週,鍋料理,-55.982838074
群馬県全体,2020年4月第4週,アジア・エスニック,-43.701286931
群馬県全体,2020年4月第4週,カフェ・スイーツ,-61.121704254
群馬県全体,2020年4月第4週,すべて,-57.138147517
群馬県全体,2020年4月第4週,ファミレス・ファストフード,-14.549483013
群馬県全体,2020年4月第4週,中華,-44.121169970
群馬県全体,2020年4月第4週,和食,-56.149307803
群馬県全体,2020年4月第4週,居酒屋・バー,-73.919893451
群馬県全体,2020年4月第4週,洋食・西洋料理,-56.081732132
群馬県全体,2020年4月第4週,肉料理,-57.319512639
群馬県全体,2020年4月第4週,鍋料理,-39.552346570
群馬県全体,2020年4月第5週,アジア・エスニック,-50.090845563
群馬県全体,2020年4月第5週,カフェ・スイーツ,-70.545892287
群馬県全体,2020年4月第5週,すべて,-68.972456938
群馬県全体,2020年4月第5週,ファミレス・ファストフード,-15.082872928
群馬県全体,2020年4月第5週,中華,-59.869660804
群馬県全体,2020年4月第5週,和食,-70.714353178
群馬県全体,2020年4月第5週,居酒屋・バー,-77.352908801
群馬県全体,2020年4月第5週,洋食・西洋料理,-68.542144143
群馬県全体,2020年4月第5週,肉料理,-64.241404689
群馬県全体,2020年4月第5週,鍋料理,-56.981375821
群馬県全体,2020年5月第1週,アジア・エスニック,-18.764578834
群馬県全体,2020年5月第1週,カフェ・スイーツ,-39.591965871
