代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
山梨県全体,すべての時間帯,2020年6月第4週,市区町村内,7.572418153
山梨県全体,すべての時間帯,2020年6月第4週,都道府県内,-9.606913074
山梨県全体,すべての時間帯,2020年6月第4週,都道府県外,-25.692181217
山梨県全体,すべての時間帯,2020年7月第1週,市区町村内,4.400515749
山梨県全体,すべての時間帯,2020年7月第1週,都道府県内,-9.239524838
山梨県全体,すべての時間帯,2020年7月第1週,都道府県外,-36.509153208
山梨県全体,すべての時間帯,2020年7月第2週,市区町村内,7.302675934
山梨県全体,すべての時間帯,2020年7月第2週,都道府県内,-10.989223807
山梨県全体,すべての時間帯,2020年7月第2週,都道府県外,-51.684596541
山梨県全体,すべての時間帯,2020年7月第3週,市区町村内,4.707412336
山梨県全体,すべての時間帯,2020年7月第3週,都道府県内,-2.961442075
山梨県全体,すべての時間帯,2020年7月第3週,都道府県外,-46.524023212
山梨県全体,すべての時間帯,2020年7月第4週,市区町村内,7.165073951
山梨県全体,すべての時間帯,2020年7月第4週,都道府県内,-16.455129581
山梨県全体,すべての時間帯,2020年7月第4週,都道府県外,-11.548749516
山梨県全体,すべての時間帯,2020年7月第5週,市区町村内,5.628480345
山梨県全体,すべての時間帯,2020年7月第5週,都道府県内,-5.994129928
山梨県全体,すべての時間帯,2020年7月第5週,都道府県外,-52.307178997
山梨県全体,すべての時間帯,2020年8月第1週,市区町村内,6.003931799
山梨県全体,すべての時間帯,2020年8月第1週,都道府県内,-3.984337048
山梨県全体,すべての時間帯,2020年8月第1週,都道府県外,-41.578277571
山梨県全体,すべての時間帯,2020年8月第2週,市区町村内,6.848601351
山梨県全体,すべての時間帯,2020年8月第2週,都道府県内,-4.328390526
山梨県全体,すべての時間帯,2020年8月第2週,都道府県外,-38.565830278
山梨県全体,すべての時間帯,2020年8月第3週,市区町村内,5.212771199
山梨県全体,すべての時間帯,2020年8月第3週,都道府県内,-7.972464608
山梨県全体,すべての時間帯,2020年8月第3週,都道府県外,-32.926172421
山梨県全体,すべての時間帯,2020年8月第4週,市区町村内,3.882468526
山梨県全体,すべての時間帯,2020年8月第4週,都道府県内,-7.239660379
山梨県全体,すべての時間帯,2020年8月第4週,都道府県外,-38.869355493
山梨県全体,すべての時間帯,2020年9月第1週,市区町村内,4.360944175
山梨県全体,すべての時間帯,2020年9月第1週,都道府県内,-4.187250781
山梨県全体,すべての時間帯,2020年9月第1週,都道府県外,-36.463860069
山梨県全体,すべての時間帯,2020年9月第2週,市区町村内,6.260136878
山梨県全体,すべての時間帯,2020年9月第2週,都道府県内,-4.863405498
山梨県全体,すべての時間帯,2020年9月第2週,都道府県外,-41.039263272
山梨県全体,すべての時間帯,2020年9月第3週,市区町村内,3.395762079
山梨県全体,すべての時間帯,2020年9月第3週,都道府県内,1.711956941
山梨県全体,すべての時間帯,2020年9月第3週,都道府県外,-12.852003344
山梨県全体,すべての時間帯,2020年9月第4週,市区町村内,4.713547732
山梨県全体,すべての時間帯,2020年9月第4週,都道府県内,-9.188205406
山梨県全体,すべての時間帯,2020年9月第4週,都道府県外,16.604016371
山梨県全体,すべての時間帯,2020年10月第1週,市区町村内,2.248008721
山梨県全体,すべての時間帯,2020年10月第1週,都道府県内,-2.238057640
山梨県全体,すべての時間帯,2020年10月第1週,都道府県外,-10.083248116
山梨県全体,すべての時間帯,2020年10月第2週,市区町村内,2.364894903
山梨県全体,すべての時間帯,2020年10月第2週,都道府県内,0.249472761
山梨県全体,すべての時間帯,2020年10月第2週,都道府県外,1.550742013
山梨県全体,すべての時間帯,2020年10月第3週,市区町村内,2.628937064
山梨県全体,すべての時間帯,2020年10月第3週,都道府県内,0.796139886
山梨県全体,すべての時間帯,2020年10月第3週,都道府県外,19.248658888
山梨県全体,すべての時間帯,2020年10月第4週,市区町村内,2.871861697
山梨県全体,すべての時間帯,2020年10月第4週,都道府県内,4.267000112
山梨県全体,すべての時間帯,2020年10月第4週,都道府県外,6.323348383
山梨県全体,すべての時間帯,2020年10月第5週,市区町村内,3.568706027
山梨県全体,すべての時間帯,2020年10月第5週,都道府県内,-2.393551786
山梨県全体,すべての時間帯,2020年10月第5週,都道府県外,-11.046896002
山梨県全体,すべての時間帯,2020年11月第1週,市区町村内,2.578962594
山梨県全体,すべての時間帯,2020年11月第1週,都道府県内,-2.510846507
山梨県全体,すべての時間帯,2020年11月第1週,都道府県外,-9.868323232
山梨県全体,すべての時間帯,2020年11月第2週,市区町村内,2.138403715
山梨県全体,すべての時間帯,2020年11月第2週,都道府県内,-2.046739264
山梨県全体,すべての時間帯,2020年11月第2週,都道府県外,-3.825865270
山梨県全体,すべての時間帯,2020年11月第3週,市区町村内,2.186354421
山梨県全体,すべての時間帯,2020年11月第3週,都道府県内,-1.568410843
山梨県全体,すべての時間帯,2020年11月第3週,都道府県外,11.607262466
山梨県全体,すべての時間帯,2020年11月第4週,市区町村内,3.792628102
山梨県全体,すべての時間帯,2020年11月第4週,都道府県内,-6.176640832
山梨県全体,すべての時間帯,2020年11月第4週,都道府県外,11.239000994
山梨県全体,すべての時間帯,2020年12月第1週,市区町村内,2.830117607
山梨県全体,すべての時間帯,2020年12月第1週,都道府県内,-3.016770104
山梨県全体,すべての時間帯,2020年12月第1週,都道府県外,-0.209258455
山梨県全体,すべての時間帯,2020年12月第2週,市区町村内,3.838965021
山梨県全体,すべての時間帯,2020年12月第2週,都道府県内,-5.112199075
山梨県全体,すべての時間帯,2020年12月第2週,都道府県外,-9.435814580
山梨県全体,すべての時間帯,2020年12月第3週,市区町村内,3.561855227
山梨県全体,すべての時間帯,2020年12月第3週,都道府県内,-4.495356924
山梨県全体,すべての時間帯,2020年12月第3週,都道府県外,-9.537838884
山梨県全体,すべての時間帯,2020年12月第4週,市区町村内,3.589892710
山梨県全体,すべての時間帯,2020年12月第4週,都道府県内,-1.691279694
山梨県全体,すべての時間帯,2020年12月第4週,都道府県外,-31.124705898
山梨県全体,すべての時間帯,2020年12月第5週,市区町村内,6.306528735
山梨県全体,すべての時間帯,2020年12月第5週,都道府県内,1.004990746
山梨県全体,すべての時間帯,2020年12月第5週,都道府県外,-42.804182404
山梨県全体,すべての時間帯,2021年1月第1週,市区町村内,4.418265667
山梨県全体,すべての時間帯,2021年1月第1週,都道府県内,19.309236212
山梨県全体,すべての時間帯,2021年1月第1週,都道府県外,-71.749305489
山梨県全体,すべての時間帯,2021年1月第2週,市区町村内,7.703988357
山梨県全体,すべての時間帯,2021年1月第2週,都道府県内,-13.140347291
山梨県全体,すべての時間帯,2021年1月第2週,都道府県外,-40.281932709
山梨県全体,すべての時間帯,2021年1月第3週,市区町村内,5.942909893
山梨県全体,すべての時間帯,2021年1月第3週,都道府県内,-3.638058477
山梨県全体,すべての時間帯,2021年1月第3週,都道府県外,-49.185584391
山梨県全体,すべての時間帯,2021年1月第4週,市区町村内,6.404228697
山梨県全体,すべての時間帯,2021年1月第4週,都道府県内,-5.820454480
山梨県全体,すべての時間帯,2021年1月第4週,都道府県外,-43.570804941
山梨県全体,すべての時間帯,2021年2月第1週,市区町村内,5.207795498
山梨県全体,すべての時間帯,2021年2月第1週,都道府県内,-5.563168808
山梨県全体,すべての時間帯,2021年2月第1週,都道府県外,-34.466572398
山梨県全体,すべての時間帯,2021年2月第2週,市区町村内,6.359963441
山梨県全体,すべての時間帯,2021年2月第2週,都道府県内,-9.860106003
山梨県全体,すべての時間帯,2021年2月第2週,都道府県外,-35.205392672
山梨県全体,すべての時間帯,2021年2月第3週,市区町村内,4.532353610
山梨県全体,すべての時間帯,2021年2月第3週,都道府県内,-3.191928856
山梨県全体,すべての時間帯,2021年2月第3週,都道府県外,-35.878086902
山梨県全体,すべての時間帯,2021年2月第4週,市区町村内,7.037318878
山梨県全体,すべての時間帯,2021年2月第4週,都道府県内,-10.531688847
山梨県全体,すべての時間帯,2021年2月第4週,都道府県外,-33.391499524
山梨県全体,すべての時間帯,2021年3月第1週,市区町村内,4.876005265
山梨県全体,すべての時間帯,2021年3月第1週,都道府県内,-4.970535618
山梨県全体,すべての時間帯,2021年3月第1週,都道府県外,-30.506732269
山梨県全体,すべての時間帯,2021年3月第2週,市区町村内,4.138088944
山梨県全体,すべての時間帯,2021年3月第2週,都道府県内,-3.603988878
山梨県全体,すべての時間帯,2021年3月第2週,都道府県外,-30.524868028
山梨県全体,すべての時間帯,2021年3月第3週,市区町村内,4.704758633
山梨県全体,すべての時間帯,2021年3月第3週,都道府県内,-5.039939950
山梨県全体,すべての時間帯,2021年3月第3週,都道府県外,-19.698674243
山梨県全体,すべての時間帯,2021年3月第4週,市区町村内,3.639459602
山梨県全体,すべての時間帯,2021年3月第4週,都道府県内,-1.101030324
山梨県全体,すべての時間帯,2021年3月第4週,都道府県外,-18.097768507
山梨県全体,すべての時間帯,2021年4月第1週,市区町村内,5.054349775
山梨県全体,すべての時間帯,2021年4月第1週,都道府県内,-5.588400793
山梨県全体,すべての時間帯,2021年4月第1週,都道府県外,-15.245733219
山梨県全体,すべての時間帯,2021年4月第2週,市区町村内,2.408396146
山梨県全体,すべての時間帯,2021年4月第2週,都道府県内,-3.725422143
山梨県全体,すべての時間帯,2021年4月第2週,都道府県外,-16.387620255
山梨県全体,すべての時間帯,2021年4月第3週,市区町村内,2.961629111
山梨県全体,すべての時間帯,2021年4月第3週,都道府県内,-3.271415280
山梨県全体,すべての時間帯,2021年4月第3週,都道府県外,-27.751980804
