代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
長野県全体,すべての時間帯,2020年7月第4週,都道府県内,-12.363106123
長野県全体,すべての時間帯,2020年7月第4週,都道府県外,-12.038450248
長野県全体,すべての時間帯,2020年7月第5週,市区町村内,4.320158621
長野県全体,すべての時間帯,2020年7月第5週,都道府県内,-4.972723290
長野県全体,すべての時間帯,2020年7月第5週,都道府県外,-52.770891229
長野県全体,すべての時間帯,2020年8月第1週,市区町村内,5.937637452
長野県全体,すべての時間帯,2020年8月第1週,都道府県内,-5.150900377
長野県全体,すべての時間帯,2020年8月第1週,都道府県外,-50.564690032
長野県全体,すべての時間帯,2020年8月第2週,市区町村内,7.153520593
長野県全体,すべての時間帯,2020年8月第2週,都道府県内,-6.024923304
長野県全体,すべての時間帯,2020年8月第2週,都道府県外,-51.971270342
長野県全体,すべての時間帯,2020年8月第3週,市区町村内,4.263106550
長野県全体,すべての時間帯,2020年8月第3週,都道府県内,-8.211972870
長野県全体,すべての時間帯,2020年8月第3週,都道府県外,-45.412673304
長野県全体,すべての時間帯,2020年8月第4週,市区町村内,4.286396694
長野県全体,すべての時間帯,2020年8月第4週,都道府県内,-8.267498189
長野県全体,すべての時間帯,2020年8月第4週,都道府県外,-35.474352970
長野県全体,すべての時間帯,2020年9月第1週,市区町村内,4.838489494
長野県全体,すべての時間帯,2020年9月第1週,都道府県内,-6.781181878
長野県全体,すべての時間帯,2020年9月第1週,都道府県外,-42.275597054
長野県全体,すべての時間帯,2020年9月第2週,市区町村内,6.940653549
長野県全体,すべての時間帯,2020年9月第2週,都道府県内,-7.716778792
長野県全体,すべての時間帯,2020年9月第2週,都道府県外,-49.118051401
長野県全体,すべての時間帯,2020年9月第3週,市区町村内,4.644945369
長野県全体,すべての時間帯,2020年9月第3週,都道府県内,-0.206317826
長野県全体,すべての時間帯,2020年9月第3週,都道府県外,-10.022329615
長野県全体,すべての時間帯,2020年9月第4週,市区町村内,4.814580884
長野県全体,すべての時間帯,2020年9月第4週,都道府県内,-8.452608319
長野県全体,すべての時間帯,2020年9月第4週,都道府県外,17.412657405
長野県全体,すべての時間帯,2020年10月第1週,市区町村内,3.272919800
長野県全体,すべての時間帯,2020年10月第1週,都道府県内,-3.544744826
長野県全体,すべての時間帯,2020年10月第1週,都道府県外,-9.891422580
長野県全体,すべての時間帯,2020年10月第2週,市区町村内,2.505732768
長野県全体,すべての時間帯,2020年10月第2週,都道府県内,0.503177752
長野県全体,すべての時間帯,2020年10月第2週,都道府県外,-5.958725051
長野県全体,すべての時間帯,2020年10月第3週,市区町村内,3.083899126
長野県全体,すべての時間帯,2020年10月第3週,都道府県内,-1.965650365
長野県全体,すべての時間帯,2020年10月第3週,都道府県外,-10.412893024
長野県全体,すべての時間帯,2020年10月第4週,市区町村内,2.939104419
長野県全体,すべての時間帯,2020年10月第4週,都道府県内,1.568257969
長野県全体,すべての時間帯,2020年10月第4週,都道府県外,-10.447621579
長野県全体,すべての時間帯,2020年10月第5週,市区町村内,3.761267153
長野県全体,すべての時間帯,2020年10月第5週,都道府県内,-2.554733517
長野県全体,すべての時間帯,2020年10月第5週,都道府県外,-20.394804749
長野県全体,すべての時間帯,2020年11月第1週,市区町村内,3.625450202
長野県全体,すべての時間帯,2020年11月第1週,都道府県内,-5.491369531
長野県全体,すべての時間帯,2020年11月第1週,都道府県外,-15.031021691
長野県全体,すべての時間帯,2020年11月第2週,市区町村内,3.998662524
長野県全体,すべての時間帯,2020年11月第2週,都道府県内,-5.717285913
長野県全体,すべての時間帯,2020年11月第2週,都道府県外,-7.083487015
長野県全体,すべての時間帯,2020年11月第3週,市区町村内,3.489733616
長野県全体,すべての時間帯,2020年11月第3週,都道府県内,-4.408040668
長野県全体,すべての時間帯,2020年11月第3週,都道府県外,0.197527198
長野県全体,すべての時間帯,2020年11月第4週,市区町村内,4.417240781
長野県全体,すべての時間帯,2020年11月第4週,都道府県内,-8.784434861
長野県全体,すべての時間帯,2020年11月第4週,都道府県外,0.581576036
長野県全体,すべての時間帯,2020年12月第1週,市区町村内,3.867849170
長野県全体,すべての時間帯,2020年12月第1週,都道府県内,-7.077226766
長野県全体,すべての時間帯,2020年12月第1週,都道府県外,-18.267817971
長野県全体,すべての時間帯,2020年12月第2週,市区町村内,4.254410885
長野県全体,すべての時間帯,2020年12月第2週,都道府県内,-6.234724557
長野県全体,すべての時間帯,2020年12月第2週,都道府県外,-20.535496784
長野県全体,すべての時間帯,2020年12月第3週,市区町村内,4.102045487
長野県全体,すべての時間帯,2020年12月第3週,都道府県内,-5.739961473
長野県全体,すべての時間帯,2020年12月第3週,都道府県外,-18.777468245
長野県全体,すべての時間帯,2020年12月第4週,市区町村内,3.881363493
長野県全体,すべての時間帯,2020年12月第4週,都道府県内,-3.320989712
長野県全体,すべての時間帯,2020年12月第4週,都道府県外,-41.962717815
長野県全体,すべての時間帯,2020年12月第5週,市区町村内,7.289756685
長野県全体,すべての時間帯,2020年12月第5週,都道府県内,-6.977783898
長野県全体,すべての時間帯,2020年12月第5週,都道府県外,-47.407774456
長野県全体,すべての時間帯,2021年1月第1週,市区町村内,6.250057428
長野県全体,すべての時間帯,2021年1月第1週,都道府県内,-0.330809598
長野県全体,すべての時間帯,2021年1月第1週,都道府県外,-76.854139314
長野県全体,すべての時間帯,2021年1月第2週,市区町村内,7.080286440
長野県全体,すべての時間帯,2021年1月第2週,都道府県内,-16.590333363
長野県全体,すべての時間帯,2021年1月第2週,都道府県外,-52.133110005
長野県全体,すべての時間帯,2021年1月第3週,市区町村内,6.658236673
長野県全体,すべての時間帯,2021年1月第3週,都道府県内,-8.589531551
長野県全体,すべての時間帯,2021年1月第3週,都道府県外,-54.233668605
長野県全体,すべての時間帯,2021年1月第4週,市区町村内,6.842330669
長野県全体,すべての時間帯,2021年1月第4週,都道府県内,-8.044878525
長野県全体,すべての時間帯,2021年1月第4週,都道府県外,-51.097816759
長野県全体,すべての時間帯,2021年2月第1週,市区町村内,5.301603090
長野県全体,すべての時間帯,2021年2月第1週,都道府県内,-7.815474683
長野県全体,すべての時間帯,2021年2月第1週,都道府県外,-49.356800236
長野県全体,すべての時間帯,2021年2月第2週,市区町村内,6.503057106
長野県全体,すべての時間帯,2021年2月第2週,都道府県内,-12.536885387
長野県全体,すべての時間帯,2021年2月第2週,都道府県外,-46.126449307
長野県全体,すべての時間帯,2021年2月第3週,市区町村内,5.049121662
長野県全体,すべての時間帯,2021年2月第3週,都道府県内,-5.616471622
長野県全体,すべての時間帯,2021年2月第3週,都道府県外,-44.768895090
長野県全体,すべての時間帯,2021年2月第4週,市区町村内,6.263982688
長野県全体,すべての時間帯,2021年2月第4週,都道府県内,-10.567574251
長野県全体,すべての時間帯,2021年2月第4週,都道府県外,-38.486831643
長野県全体,すべての時間帯,2021年3月第1週,市区町村内,4.456167583
長野県全体,すべての時間帯,2021年3月第1週,都道府県内,-6.927009259
長野県全体,すべての時間帯,2021年3月第1週,都道府県外,-37.995536542
長野県全体,すべての時間帯,2021年3月第2週,市区町村内,3.559154670
長野県全体,すべての時間帯,2021年3月第2週,都道府県内,-3.256778056
長野県全体,すべての時間帯,2021年3月第2週,都道府県外,-24.632094822
長野県全体,すべての時間帯,2021年3月第3週,市区町村内,4.049815562
長野県全体,すべての時間帯,2021年3月第3週,都道府県内,-4.462164407
長野県全体,すべての時間帯,2021年3月第3週,都道府県外,-25.037388494
長野県全体,すべての時間帯,2021年3月第4週,市区町村内,4.227832126
長野県全体,すべての時間帯,2021年3月第4週,都道府県内,-1.740316101
長野県全体,すべての時間帯,2021年3月第4週,都道府県外,-28.629730364
長野県全体,すべての時間帯,2021年4月第1週,市区町村内,5.111994170
長野県全体,すべての時間帯,2021年4月第1週,都道府県内,-8.366761798
長野県全体,すべての時間帯,2021年4月第1週,都道府県外,-23.365466522
長野県全体,すべての時間帯,2021年4月第2週,市区町村内,2.781767551
長野県全体,すべての時間帯,2021年4月第2週,都道府県内,-5.945211922
長野県全体,すべての時間帯,2021年4月第2週,都道府県外,-11.391582523
長野県全体,すべての時間帯,2021年4月第3週,市区町村内,4.348666851
長野県全体,すべての時間帯,2021年4月第3週,都道府県内,-8.070909017
長野県全体,すべての時間帯,2021年4月第3週,都道府県外,-26.666534103
長野県全体,すべての時間帯,2021年4月第4週,市区町村内,5.220860881
長野県全体,すべての時間帯,2021年4月第4週,都道府県内,-10.053164479
長野県全体,すべての時間帯,2021年4月第4週,都道府県外,-34.250450215
長野県全体,すべての時間帯,2021年4月第5週,市区町村内,7.220966948
長野県全体,すべての時間帯,2021年4月第5週,都道府県内,-15.692278894
長野県全体,すべての時間帯,2021年4月第5週,都道府県外,-24.196725203
長野県全体,すべての時間帯,2021年5月第1週,市区町村内,10.734023481
長野県全体,すべての時間帯,2021年5月第1週,都道府県内,-5.168247578
長野県全体,すべての時間帯,2021年5月第1週,都道府県外,-69.688258282
長野県全体,すべての時間帯,2021年5月第2週,市区町村内,5.389887202
長野県全体,すべての時間帯,2021年5月第2週,都道府県内,-2.769486763
長野県全体,すべての時間帯,2021年5月第2週,都道府県外,-44.501829075
長野県全体,すべての時間帯,2021年5月第3週,市区町村内,8.105056027
長野県全体,すべての時間帯,2021年5月第3週,都道府県内,-9.040013657
長野県全体,すべての時間帯,2021年5月第3週,都道府県外,-47.326147208
長野県全体,すべての時間帯,2021年5月第4週,市区町村内,8.211230846
長野県全体,すべての時間帯,2021年5月第4週,都道府県内,-7.893042146
長野県全体,すべての時間帯,2021年5月第4週,都道府県外,-48.855506437
長野県全体,すべての時間帯,2021年6月第1週,市区町村内,7.478055838
長野県全体,すべての時間帯,2021年6月第1週,都道府県内,-8.701755286
長野県全体,すべての時間帯,2021年6月第1週,都道府県外,-48.559107257
長野県全体,すべての時間帯,2021年6月第2週,市区町村内,6.785629798
長野県全体,すべての時間帯,2021年6月第2週,都道府県内,-8.178803771
長野県全体,すべての時間帯,2021年6月第2週,都道府県外,-42.956817012
長野県全体,すべての時間帯,2021年6月第3週,市区町村内,6.611906670
長野県全体,すべての時間帯,2021年6月第3週,都道府県内,-6.736488817
長野県全体,すべての時間帯,2021年6月第3週,都道府県外,-44.590092786
長野県全体,すべての時間帯,2021年6月第4週,市区町村内,6.675095564
長野県全体,すべての時間帯,2021年6月第4週,都道府県内,-8.508991276
長野県全体,すべての時間帯,2021年6月第4週,都道府県外,-42.648930334
長野県全体,すべての時間帯,2021年7月第1週,市区町村内,6.503238829
長野県全体,すべての時間帯,2021年7月第1週,都道府県内,-9.350600962
長野県全体,すべての時間帯,2021年7月第1週,都道府県外,-46.849655956
長野県全体,すべての時間帯,2021年7月第2週,市区町村内,3.425813326
長野県全体,すべての時間帯,2021年7月第2週,都道府県内,-3.581057801
長野県全体,すべての時間帯,2021年7月第2週,都道府県外,-28.437877826
長野県全体,すべての時間帯,2021年7月第3週,市区町村内,4.243905658
長野県全体,すべての時間帯,2021年7月第3週,都道府県内,-4.197599251
長野県全体,すべての時間帯,2021年7月第3週,都道府県外,-38.222536703
長野県全体,すべての時間帯,2021年7月第4週,市区町村内,1.688786343
長野県全体,すべての時間帯,2021年7月第4週,都道府県内,-1.874461118
長野県全体,すべての時間帯,2021年7月第4週,都道府県外,39.270930842
長野県全体,すべての時間帯,2021年7月第5週,市区町村内,2.115915460
長野県全体,すべての時間帯,2021年7月第5週,都道府県内,-2.450312480
長野県全体,すべての時間帯,2021年7月第5週,都道府県外,-27.239368013
長野県全体,すべての時間帯,2021年8月第1週,市区町村内,3.125195594
長野県全体,すべての時間帯,2021年8月第1週,都道府県内,-0.122217743
長野県全体,すべての時間帯,2021年8月第1週,都道府県外,-19.831096508
長野県全体,すべての時間帯,2021年8月第2週,市区町村内,7.701943545
長野県全体,すべての時間帯,2021年8月第2週,都道府県内,-19.692171063
長野県全体,すべての時間帯,2021年8月第2週,都道府県外,-17.924117430
長野県全体,すべての時間帯,2021年8月第3週,市区町村内,6.754040089
長野県全体,すべての時間帯,2021年8月第3週,都道府県内,-1.289500687
長野県全体,すべての時間帯,2021年8月第3週,都道府県外,-76.524709031
長野県全体,すべての時間帯,2021年8月第4週,市区町村内,3.412746034
長野県全体,すべての時間帯,2021年8月第4週,都道府県内,-6.731682590
長野県全体,すべての時間帯,2021年8月第4週,都道府県外,-43.421739514
長野県全体,すべての時間帯,2021年9月第1週,市区町村内,3.907255055
長野県全体,すべての時間帯,2021年9月第1週,都道府県内,-9.998208608
長野県全体,すべての時間帯,2021年9月第1週,都道府県外,-47.751981706
長野県全体,すべての時間帯,2021年9月第2週,市区町村内,3.861385751
長野県全体,すべての時間帯,2021年9月第2週,都道府県内,-8.222466234
長野県全体,すべての時間帯,2021年9月第2週,都道府県外,-37.936073807
長野県全体,すべての時間帯,2021年9月第3週,市区町村内,4.539466316
長野県全体,すべての時間帯,2021年9月第3週,都道府県内,-7.833145083
長野県全体,すべての時間帯,2021年9月第3週,都道府県外,-35.066930560
長野県全体,すべての時間帯,2021年9月第4週,市区町村内,4.534406006
長野県全体,すべての時間帯,2021年9月第4週,都道府県内,-9.625433242
長野県全体,すべての時間帯,2021年9月第4週,都道府県外,-17.204633367
長野県全体,すべての時間帯,2021年9月第5週,市区町村内,1.978539384
長野県全体,すべての時間帯,2021年9月第5週,都道府県内,-1.322403663
長野県全体,すべての時間帯,2021年9月第5週,都道府県外,-24.266173361
長野県全体,すべての時間帯,2021年10月第1週,市区町村内,2.163478819
長野県全体,すべての時間帯,2021年10月第1週,都道府県内,-2.807078686
長野県全体,すべての時間帯,2021年10月第1週,都道府県外,0.535070965
