エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
栃木県全体,2020年3月第2週,居酒屋・バー,-25.425475965
栃木県全体,2020年3月第2週,洋食・西洋料理,-14.629035197
栃木県全体,2020年3月第2週,肉料理,2.340265058
栃木県全体,2020年3月第2週,鍋料理,-20.220243674
栃木県全体,2020年3月第3週,アジア・エスニック,5.420633379
栃木県全体,2020年3月第3週,カフェ・スイーツ,-19.100920572
栃木県全体,2020年3月第3週,すべて,-9.949683759
栃木県全体,2020年3月第3週,ファミレス・ファストフード,-8.748317631
栃木県全体,2020年3月第3週,中華,-1.989545446
栃木県全体,2020年3月第3週,和食,-1.354726105
栃木県全体,2020年3月第3週,居酒屋・バー,-19.866462347
栃木県全体,2020年3月第3週,洋食・西洋料理,-9.012932915
栃木県全体,2020年3月第3週,肉料理,-2.539448267
栃木県全体,2020年3月第3週,鍋料理,-32.036513801
栃木県全体,2020年3月第4週,アジア・エスニック,-21.647237229
栃木県全体,2020年3月第4週,カフェ・スイーツ,-35.490684092
栃木県全体,2020年3月第4週,すべて,-28.373487537
栃木県全体,2020年3月第4週,ファミレス・ファストフード,-6.544256121
栃木県全体,2020年3月第4週,中華,-24.998439158
栃木県全体,2020年3月第4週,和食,-20.372768773
栃木県全体,2020年3月第4週,居酒屋・バー,-32.077738516
栃木県全体,2020年3月第4週,洋食・西洋料理,-31.157357699
栃木県全体,2020年3月第4週,肉料理,-26.404214906
栃木県全体,2020年3月第4週,鍋料理,-36.269803169
栃木県全体,2020年4月第1週,アジア・エスニック,-36.554021894
栃木県全体,2020年4月第1週,カフェ・スイーツ,-49.993512257
栃木県全体,2020年4月第1週,すべて,-46.487184788
栃木県全体,2020年4月第1週,ファミレス・ファストフード,-28.032712403
栃木県全体,2020年4月第1週,中華,-40.192183698
栃木県全体,2020年4月第1週,和食,-41.472925160
栃木県全体,2020年4月第1週,居酒屋・バー,-59.332153914
栃木県全体,2020年4月第1週,洋食・西洋料理,-50.721987846
栃木県全体,2020年4月第1週,肉料理,-43.849109326
栃木県全体,2020年4月第1週,鍋料理,-57.282246549
栃木県全体,2020年4月第2週,アジア・エスニック,-48.584288052
栃木県全体,2020年4月第2週,カフェ・スイーツ,-59.507340733
栃木県全体,2020年4月第2週,すべて,-56.065627399
栃木県全体,2020年4月第2週,ファミレス・ファストフード,-35.242085661
栃木県全体,2020年4月第2週,中華,-49.724062942
栃木県全体,2020年4月第2週,和食,-49.882498828
栃木県全体,2020年4月第2週,居酒屋・バー,-68.418390998
栃木県全体,2020年4月第2週,洋食・西洋料理,-64.225804361
栃木県全体,2020年4月第2週,肉料理,-55.338338764
栃木県全体,2020年4月第2週,鍋料理,-69.242230736
栃木県全体,2020年4月第3週,アジア・エスニック,-37.984830202
栃木県全体,2020年4月第3週,カフェ・スイーツ,-58.503080250
栃木県全体,2020年4月第3週,すべて,-55.801757461
栃木県全体,2020年4月第3週,ファミレス・ファストフード,-13.386566463
栃木県全体,2020年4月第3週,中華,-53.571497538
栃木県全体,2020年4月第3週,和食,-55.694502246
栃木県全体,2020年4月第3週,居酒屋・バー,-71.873497837
栃木県全体,2020年4月第3週,洋食・西洋料理,-57.016163829
栃木県全体,2020年4月第3週,肉料理,-51.967759366
栃木県全体,2020年4月第3週,鍋料理,-74.532803181
