エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
静岡県全体,2020年3月第2週,居酒屋・バー,-22.593154246
静岡県全体,2020年3月第2週,洋食・西洋料理,-11.792350908
静岡県全体,2020年3月第2週,肉料理,-15.068418825
静岡県全体,2020年3月第2週,鍋料理,-21.804258184
静岡県全体,2020年3月第3週,アジア・エスニック,-14.163762186
静岡県全体,2020年3月第3週,カフェ・スイーツ,-0.999154417
静岡県全体,2020年3月第3週,すべて,-5.770221050
静岡県全体,2020年3月第3週,ファミレス・ファストフード,-30.116016758
静岡県全体,2020年3月第3週,中華,-1.681254329
静岡県全体,2020年3月第3週,和食,-0.642721868
静岡県全体,2020年3月第3週,居酒屋・バー,-12.852903346
静岡県全体,2020年3月第3週,洋食・西洋料理,-9.850992265
静岡県全体,2020年3月第3週,肉料理,-12.581290916
静岡県全体,2020年3月第3週,鍋料理,-16.621676892
静岡県全体,2020年3月第4週,アジア・エスニック,-17.162095582
静岡県全体,2020年3月第4週,カフェ・スイーツ,-14.229109778
静岡県全体,2020年3月第4週,すべて,-24.541077000
静岡県全体,2020年3月第4週,ファミレス・ファストフード,-40.912822197
静岡県全体,2020年3月第4週,中華,-13.717035162
静岡県全体,2020年3月第4週,和食,-26.428126216
静岡県全体,2020年3月第4週,居酒屋・バー,-24.144152814
静岡県全体,2020年3月第4週,洋食・西洋料理,-22.488035997
静岡県全体,2020年3月第4週,肉料理,-22.888498368
静岡県全体,2020年3月第4週,鍋料理,-23.863636364
静岡県全体,2020年4月第1週,アジア・エスニック,-45.375967459
静岡県全体,2020年4月第1週,カフェ・スイーツ,-37.879345955
静岡県全体,2020年4月第1週,すべて,-48.804023544
静岡県全体,2020年4月第1週,ファミレス・ファストフード,-59.256637168
静岡県全体,2020年4月第1週,中華,-35.016811308
静岡県全体,2020年4月第1週,和食,-50.488341302
静岡県全体,2020年4月第1週,居酒屋・バー,-59.598620869
静岡県全体,2020年4月第1週,洋食・西洋料理,-50.673700971
静岡県全体,2020年4月第1週,肉料理,-51.238187726
静岡県全体,2020年4月第1週,鍋料理,-51.579159123
静岡県全体,2020年4月第2週,アジア・エスニック,-58.130381304
静岡県全体,2020年4月第2週,カフェ・スイーツ,-51.792414203
静岡県全体,2020年4月第2週,すべて,-60.500410488
静岡県全体,2020年4月第2週,ファミレス・ファストフード,-58.392434988
静岡県全体,2020年4月第2週,中華,-45.354219777
静岡県全体,2020年4月第2週,和食,-61.411467285
静岡県全体,2020年4月第2週,居酒屋・バー,-73.431814874
静岡県全体,2020年4月第2週,洋食・西洋料理,-65.193647989
静岡県全体,2020年4月第2週,肉料理,-61.561375969
静岡県全体,2020年4月第2週,鍋料理,-64.258413349
静岡県全体,2020年4月第3週,アジア・エスニック,-49.409305265
静岡県全体,2020年4月第3週,カフェ・スイーツ,-52.767719347
静岡県全体,2020年4月第3週,すべて,-60.559319678
静岡県全体,2020年4月第3週,ファミレス・ファストフード,-42.652586361
静岡県全体,2020年4月第3週,中華,-49.168283452
静岡県全体,2020年4月第3週,和食,-62.998229706
静岡県全体,2020年4月第3週,居酒屋・バー,-73.492291853
静岡県全体,2020年4月第3週,洋食・西洋料理,-66.252925646
静岡県全体,2020年4月第3週,肉料理,-58.477122302
静岡県全体,2020年4月第3週,鍋料理,-62.112882536
