エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
長野県全体,2020年3月第3週,アジア・エスニック,-21.145107543
長野県全体,2020年3月第3週,カフェ・スイーツ,-9.066078319
長野県全体,2020年3月第3週,すべて,-13.840748185
長野県全体,2020年3月第3週,ファミレス・ファストフード,-6.200317965
長野県全体,2020年3月第3週,中華,-5.490865288
長野県全体,2020年3月第3週,和食,-11.638578293
長野県全体,2020年3月第3週,居酒屋・バー,-26.811131201
長野県全体,2020年3月第3週,洋食・西洋料理,-9.610156647
長野県全体,2020年3月第3週,肉料理,-18.151263591
長野県全体,2020年3月第3週,鍋料理,-38.883560330
長野県全体,2020年3月第4週,アジア・エスニック,-23.024254381
長野県全体,2020年3月第4週,カフェ・スイーツ,-21.715125196
長野県全体,2020年3月第4週,すべて,-26.646892233
長野県全体,2020年3月第4週,ファミレス・ファストフード,-3.987730061
長野県全体,2020年3月第4週,中華,-14.165986395
長野県全体,2020年3月第4週,和食,-23.098191289
長野県全体,2020年3月第4週,居酒屋・バー,-33.047871357
長野県全体,2020年3月第4週,洋食・西洋料理,-30.269506161
長野県全体,2020年3月第4週,肉料理,-32.212715173
長野県全体,2020年3月第4週,鍋料理,-44.836089353
長野県全体,2020年4月第1週,アジア・エスニック,-42.469225199
長野県全体,2020年4月第1週,カフェ・スイーツ,-38.614047051
長野県全体,2020年4月第1週,すべて,-47.310457048
長野県全体,2020年4月第1週,ファミレス・ファストフード,-2.911978822
長野県全体,2020年4月第1週,中華,-33.191697990
長野県全体,2020年4月第1週,和食,-45.027402453
長野県全体,2020年4月第1週,居酒屋・バー,-63.642488914
長野県全体,2020年4月第1週,洋食・西洋料理,-51.400926232
長野県全体,2020年4月第1週,肉料理,-53.151667107
長野県全体,2020年4月第1週,鍋料理,-66.881944444
長野県全体,2020年4月第2週,アジア・エスニック,-62.741334538
長野県全体,2020年4月第2週,カフェ・スイーツ,-55.029960001
長野県全体,2020年4月第2週,すべて,-62.076990444
長野県全体,2020年4月第2週,ファミレス・ファストフード,-20.656980417
長野県全体,2020年4月第2週,中華,-41.842147565
長野県全体,2020年4月第2週,和食,-59.860726193
長野県全体,2020年4月第2週,居酒屋・バー,-75.719826405
長野県全体,2020年4月第2週,洋食・西洋料理,-68.732587544
長野県全体,2020年4月第2週,肉料理,-66.670843253
長野県全体,2020年4月第2週,鍋料理,-77.377092569
長野県全体,2020年4月第3週,アジア・エスニック,-60.762886598
長野県全体,2020年4月第3週,カフェ・スイーツ,-54.259059472
長野県全体,2020年4月第3週,すべて,-63.544607369
長野県全体,2020年4月第3週,ファミレス・ファストフード,18.956406869
長野県全体,2020年4月第3週,中華,-47.330512743
長野県全体,2020年4月第3週,和食,-63.157676219
長野県全体,2020年4月第3週,居酒屋・バー,-78.875911081
長野県全体,2020年4月第3週,洋食・西洋料理,-71.539959769
長野県全体,2020年4月第3週,肉料理,-67.027136195
長野県全体,2020年4月第3週,鍋料理,-78.656897015
長野県全体,2020年4月第4週,アジア・エスニック,-63.777955272
長野県全体,2020年4月第4週,カフェ・スイーツ,-66.740545561
長野県全体,2020年4月第4週,すべて,-71.853063039
長野県全体,2020年4月第4週,ファミレス・ファストフード,-4.382683057
長野県全体,2020年4月第4週,中華,-52.107402164
長野県全体,2020年4月第4週,和食,-71.109886896
長野県全体,2020年4月第4週,居酒屋・バー,-84.668655919
長野県全体,2020年4月第4週,洋食・西洋料理,-78.799087774
長野県全体,2020年4月第4週,肉料理,-74.017897770
長野県全体,2020年4月第4週,鍋料理,-83.776655443
長野県全体,2020年4月第5週,アジア・エスニック,-74.206503433
長野県全体,2020年4月第5週,カフェ・スイーツ,-79.244331323
長野県全体,2020年4月第5週,すべて,-81.927852605
長野県全体,2020年4月第5週,ファミレス・ファストフード,-53.156600164
長野県全体,2020年4月第5週,中華,-69.125255685
長野県全体,2020年4月第5週,和食,-82.385708595
長野県全体,2020年4月第5週,居酒屋・バー,-87.619750670
長野県全体,2020年4月第5週,洋食・西洋料理,-85.896386346
長野県全体,2020年4月第5週,肉料理,-81.197470817
長野県全体,2020年4月第5週,鍋料理,-87.276204427
長野県全体,2020年5月第1週,アジア・エスニック,-56.613857606
長野県全体,2020年5月第1週,カフェ・スイーツ,-46.002979034
長野県全体,2020年5月第1週,すべて,-55.939701053
長野県全体,2020年5月第1週,ファミレス・ファストフード,19.670329670
長野県全体,2020年5月第1週,中華,-38.646077485
長野県全体,2020年5月第1週,和食,-55.339185203
長野県全体,2020年5月第1週,居酒屋・バー,-76.083659417
長野県全体,2020年5月第1週,洋食・西洋料理,-67.617052042
長野県全体,2020年5月第1週,肉料理,-58.699404150
長野県全体,2020年5月第1週,鍋料理,-75.221238938
長野県全体,2020年5月第2週,アジア・エスニック,-58.839050132
長野県全体,2020年5月第2週,カフェ・スイーツ,-53.489271126
長野県全体,2020年5月第2週,すべて,-59.430113144
長野県全体,2020年5月第2週,ファミレス・ファストフード,-5.348189415
長野県全体,2020年5月第2週,中華,-44.681059382
長野県全体,2020年5月第2週,和食,-56.845922374
長野県全体,2020年5月第2週,居酒屋・バー,-76.737590577
長野県全体,2020年5月第2週,洋食・西洋料理,-64.975815534
長野県全体,2020年5月第2週,肉料理,-64.202280889
長野県全体,2020年5月第2週,鍋料理,-73.505059798
長野県全体,2020年5月第3週,アジア・エスニック,-48.756906077
長野県全体,2020年5月第3週,カフェ・スイーツ,-48.623537673
長野県全体,2020年5月第3週,すべて,-52.137173621
長野県全体,2020年5月第3週,ファミレス・ファストフード,10.223835451
長野県全体,2020年5月第3週,中華,32.087868981
長野県全体,2020年5月第3週,和食,-49.049802078
長野県全体,2020年5月第3週,居酒屋・バー,-71.383380482
長野県全体,2020年5月第3週,洋食・西洋料理,-60.625141005
長野県全体,2020年5月第3週,肉料理,-55.913148467
長野県全体,2020年5月第3週,鍋料理,-68.460070464
長野県全体,2020年5月第4週,アジア・エスニック,-38.925814751
長野県全体,2020年5月第4週,カフェ・スイーツ,-39.845021510
長野県全体,2020年5月第4週,すべて,-45.468652978
長野県全体,2020年5月第4週,ファミレス・ファストフード,-0.173510700
長野県全体,2020年5月第4週,中華,-20.886862826
長野県全体,2020年5月第4週,和食,-41.507726895
