エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
茨城県全体,2020年3月第2週,居酒屋・バー,-19.139020670
茨城県全体,2020年3月第2週,洋食・西洋料理,-10.539238141
茨城県全体,2020年3月第2週,肉料理,-10.523235611
茨城県全体,2020年3月第2週,鍋料理,-30.221686020
茨城県全体,2020年3月第3週,アジア・エスニック,-6.009375240
茨城県全体,2020年3月第3週,カフェ・スイーツ,-10.715920729
茨城県全体,2020年3月第3週,すべて,-7.859119142
茨城県全体,2020年3月第3週,ファミレス・ファストフード,-17.934508816
茨城県全体,2020年3月第3週,中華,5.099078632
茨城県全体,2020年3月第3週,和食,-1.224429744
茨城県全体,2020年3月第3週,居酒屋・バー,-15.142071175
茨城県全体,2020年3月第3週,洋食・西洋料理,-9.112964071
茨城県全体,2020年3月第3週,肉料理,-8.071088974
茨城県全体,2020年3月第3週,鍋料理,-20.0875
茨城県全体,2020年3月第4週,アジア・エスニック,-21.159912643
茨城県全体,2020年3月第4週,カフェ・スイーツ,-25.717860211
茨城県全体,2020年3月第4週,すべて,-27.148713761
茨城県全体,2020年3月第4週,ファミレス・ファストフード,-35.305768755
茨城県全体,2020年3月第4週,中華,-8.994001122
茨城県全体,2020年3月第4週,和食,-25.579147334
茨城県全体,2020年3月第4週,居酒屋・バー,-33.242269962
茨城県全体,2020年3月第4週,洋食・西洋料理,-27.261323755
茨城県全体,2020年3月第4週,肉料理,-28.355334988
茨城県全体,2020年3月第4週,鍋料理,-32.440266353
茨城県全体,2020年4月第1週,アジア・エスニック,-40.577651515
茨城県全体,2020年4月第1週,カフェ・スイーツ,-47.774057910
茨城県全体,2020年4月第1週,すべて,-46.069045606
茨城県全体,2020年4月第1週,ファミレス・ファストフード,-36.664795059
茨城県全体,2020年4月第1週,中華,-25.183626133
茨城県全体,2020年4月第1週,和食,-43.556954274
茨城県全体,2020年4月第1週,居酒屋・バー,-59.635842138
茨城県全体,2020年4月第1週,洋食・西洋料理,-52.647476152
茨城県全体,2020年4月第1週,肉料理,-43.750267174
茨城県全体,2020年4月第1週,鍋料理,-10.208900999
茨城県全体,2020年4月第2週,アジア・エスニック,-55.832320778
茨城県全体,2020年4月第2週,カフェ・スイーツ,-59.986626577
茨城県全体,2020年4月第2週,すべて,-56.897899034
茨城県全体,2020年4月第2週,ファミレス・ファストフード,-44.382022472
茨城県全体,2020年4月第2週,中華,-35.374565458
茨城県全体,2020年4月第2週,和食,-53.201113978
茨城県全体,2020年4月第2週,居酒屋・バー,-71.314988822
茨城県全体,2020年4月第2週,洋食・西洋料理,-64.721958553
茨城県全体,2020年4月第2週,肉料理,-59.518940501
