week,week_JP,weeknum,pref,newcase_day,newdeath_day,emergency,GZnew,cumGZ,newcaseday14,resview,in_city,in_pref,out_pref,treat,avg_temp,avg_rain,infectious_l1,infectious_l2,sum_pop,pop_resid,tests,newcase_lead1,newcase_lead2,tests_lead1,tests_lead2,cumcases,susceptible,sales_per,customers_per
2020-07-13,2020年7月第3週,29,Shizuoka,14,0,0,0,0,15,-14.727113046,3.732610336,-1.81860385,-41.692553331,Neighboring_prefs,74.52285714285713,16.476190476190474,29.16524449088348,101.9680677475032,3734955,3644000,1252,78,121,1682,2851,108,3643892,550585.5086206896,248.04310344827587
2020-07-13,2020年7月第3週,29,Tochigi,38,0,0,0,0,38,-17.226416464,4.398756201,-5.672079985,-28.022456732,Neighboring_prefs,69.59428571428572,5.535714285714286,49.90483526051168,72.5674405366228,1979978,1934000,1530,30,36,1620,2307,133,1933867,699616.2931034482,360.5689655172414
2020-07-13,2020年7月第3週,29,Yamanashi,2,0,0,5,5,3,-7.851154688,4.707412336,-2.961442075,-46.524023212,Yamanashi,70.49428571428572,6.285714285714286,6.80947659964012,14.735880839304665,844704,811000,320,8,17,399,467,78,810922,619590.5,275.6666666666667
2020-07-20,2020年7月第4週,30,Gunma,12,0,0,0,0,12,6.318277237,4.414854278,-9.055078857,-14.912574265,Neighboring_prefs,77.07714285714286,8.357142857142858,31.59032671014261,34.5937638461926,1984348,1942000,500,13,34,772,673,179,1941821,683515.18,196.94
2020-07-20,2020年7月第4週,30,Ibaraki,17,0,0,0,0,18,7.96460177,5.932285992,-13.21253403,-7.332802287,Neighboring_prefs,74.2057142857143,7.928571428571428,52.801922284801165,107.32786563588284,2888484,2860000,430,80,75,777,1075,242,2859758,793462.8488372093,297.43023255813955
2020-07-20,2020年7月第4週,30,Nagano,8,0,0,0,0,6,-5.205683316,4.241899967,-12.363106123,-12.038450248,Neighboring_prefs,73.88214285714287,12.625,19.89412954526766,41.53803021808785,2170827,2049000,877,25,14,1968,1711,92,2048908,725103.9558823529,367.1029411764706
2020-07-20,2020年7月第4週,30,Shizuoka,78,0,0,0,0,91,-2.856563346,5.072752955,-11.312460732,-18.597513843,Neighboring_prefs,79.15142857142857,39.40476190476191,102.64859962604756,215.26374692002847,3772115,3644000,1682,121,57,2851,2979,186,3643814,610143.9310344828,277.73275862068965
2020-07-20,2020年7月第4週,30,Tochigi,30,0,0,0,0,31,-0.566943902,5.450831183,-16.492388136,-11.988429072,Neighboring_prefs,76.17714285714285,6.142857142857143,72.68516315192437,73.06729161703043,1997233,1934000,1620,36,47,2307,2221,163,1933837,881804.6724137932,435.8448275862069
2020-07-20,2020年7月第4週,30,Yamanashi,8,0,0,0,5,9,-3.176500474,7.165073951,-16.455129581,-11.548749516,Yamanashi,74.2357142857143,28.571428571428573,14.96756853951034,31.226042118536466,879320,811000,399,17,27,467,727,86,810914,865614.6666666666,375.72222222222223
2020-07-27,2020年7月第5週,31,Gunma,13,0,0,0,0,15,-15.187858287,3.730554412,1.698300808,-32.191047822,Neighboring_prefs,76.76857142857142,3.821428571428571,36.676095823716174,60.165871889139304,1972168,1942000,772,34,72,673,851,192,1941808,564811.34,161.06
