date,pref,sales,customers,avg_temp,avg_rain,newcase_day,total_case,newdeath_day,total_death,emergency,GZnew,cumGZ,newcaseday14,lsales,lcustomers,sales_per,customers_per,dummy_school_closure,dummy_gathering_restriction
2019-01-03,Yamanashi,2935548,1039,33.26,0,0,0,0,0,0,0,0,0,14.8924047059112,6.946013991099227,163086,57.72222222222222,0,0
2019-01-03,Nagano,9534713,5405,30.08,0,0,0,0,0,0,0,0,0,16.070449696930723,8.595079730073309,140216.36764705883,79.48529411764706,0,0
2019-01-03,Shizuoka,16862277,7857,42.620000000000005,0,0,0,0,0,0,0,0,0,16.64058955479988,8.969160133175821,145364.4568965517,67.73275862068965,0,0
2019-01-04,Ibaraki,14477924,5571,36.2,0,0,0,0,0,0,0,0,0,16.488135564477613,8.625329850020815,168347.9534883721,64.77906976744185,0,0
2019-01-04,Tochigi,9409419,5108,35.33,0,0,0,0,0,0,0,0,0,16.057221766828615,8.53856321715243,162231.3620689655,88.06896551724138,0,0
2019-01-04,Gunma,14397244,4394,40.19,0,0,0,0,0,0,0,0,0,16.48254735734015,8.387995252944556,143972.44,43.94,0,0
2019-01-04,Yamanashi,2474928,900,32.81,0,0,0,0,0,0,0,0,0,14.721721862652688,6.802394763324311,137496,50,0,0
2019-01-04,Nagano,9815001,5150,30.32,0,0,0,0,0,0,0,0,0,16.099422487577563,8.546751993657782,144338.25,75.73529411764706,0,0
2019-01-04,Shizuoka,16181311,7836,43.22,0,0,0,0,0,0,0,0,0,16.59936749227017,8.966483779064431,139494.0603448276,67.55172413793103,0,0
2019-01-05,Ibaraki,15614098,5598,42.14,0,0,0,0,0,0,0,0,0,16.563684782061276,8.630164670075398,181559.27906976745,65.09302325581395,0,0
2019-01-05,Tochigi,12106519,6169,39.74,0,0,0,0,0,0,0,0,0,16.30925462581831,8.72729202920964,208733.08620689655,106.36206896551724,0,0
2019-01-05,Gunma,16769779,4680,43.16,0,0,0,0,0,0,0,0,0,16.635088955417984,8.451053388911692,167697.79,46.8,0,0
2019-01-05,Yamanashi,2800417,1056,40.1,0,0,0,0,0,0,0,0,0,14.845278892628102,6.962243464266207,155578.72222222222,58.666666666666664,0,0
2019-01-05,Nagano,9613297,5504,37.7,0,0,0,0,0,0,0,0,0,16.078657802232815,8.61323037961318,141372.01470588235,80.94117647058823,0,0
2019-01-05,Shizuoka,17461373,7810,49.7,0,0,0,0,0,0,0,0,0,16.67550174216832,8.963160242833732,150529.0775862069,67.32758620689656,0,0
2019-01-06,Ibaraki,10045955,3911,37.22,0,0,0,0,0,0,0,0,0,16.12268062388731,8.271548374755515,116813.43023255814,45.47674418604651,0,0
2019-01-06,Tochigi,7709387,4608,36.32,0,0,0,0,0,0,0,0,0,15.85794923524506,8.435549202375727,132920.4655172414,79.44827586206897,0,0
2019-01-06,Gunma,7217481,2855,38.84,0,0,0,0,0,0,0,0,0,15.792016558025288,7.956827122090111,72174.81,28.55,0,0
2019-01-06,Yamanashi,1826394,832,34.52,0,0,0,0,0,0,0,0,0,14.41785408904121,6.723832440821209,101466.33333333333,46.22222222222222,0,0
2019-01-06,Nagano,6340077,4222,30.86,0,0,0,0,0,0,0,0,0,15.662401471450067,8.348064228408266,93236.42647058824,62.088235294117645,0,0
2019-01-06,Shizuoka,8284284,5035,43.7,0,0,0,0,0,0,0,0,0,15.92987078386506,8.524168805152662,71416.24137931035,43.4051724137931,0,0
2019-01-07,Ibaraki,6578573,2679,37.7,0,0,0,0,0,0,0,0,0,15.69932841048104,7.893198869544609,76495.03488372093,31.151162790697676,0,0
2019-01-07,Tochigi,3678337,2440,35.33,0,0,0,0,0,0,0,0,0,15.117971305832642,7.799753318287247,63419.60344827586,42.06896551724138,0,0
2019-01-07,Gunma,5196692,1714,39.02,0,0,0,0,0,0,0,0,0,15.463532827273788,7.446585099157725,51966.92,17.14,0,0
2019-01-07,Yamanashi,1813408,584,33.53,0,0,0,0,0,0,0,0,0,14.410718505786877,6.369900982828227,100744.88888888889,32.44444444444444,0,0
2019-01-07,Nagano,3881004,2626,30.74,0,0,0,0,0,0,0,0,0,15.171604441012713,7.873217054862741,57073.58823529412,38.61764705882353,0,0
2019-01-07,Shizuoka,5304798,2637,43.34,0,0,0,0,0,0,0,0,0,15.484122252019683,7.877397186353287,45731.01724137931,22.732758620689655,0,0
2019-01-08,Ibaraki,6314899,2399,38.48,0,0,0,0,0,0,0,0,0,15.658422319972953,7.782807262839695,73429.05813953489,27.8953488372093,0,0
2019-01-08,Tochigi,3968608,2317,36.86,0,0,0,0,0,0,0,0,0,15.193925961455477,7.748028524432376,68424.27586206897,39.94827586206897,0,0
2019-01-08,Gunma,6888404,2022,38.12,0,0,0,0,0,0,0,0,0,15.745349976099083,7.611842399580417,68884.04,20.22,0,0
2019-01-08,Yamanashi,1010833,416,34.79,0,0,0,0,0,0,0,0,0,13.826285301371255,6.030685260261263,56157.38888888889,23.11111111111111,0,0
2019-01-08,Nagano,3768395,2491,36.26,1.3333333333333333,0,0,0,0,0,0,0,0,15.142159739332715,7.820439515262181,55417.57352941176,36.63235294117647,0,0
2019-01-08,Shizuoka,6929062,3031,44.480000000000004,0,0,0,0,0,0,0,0,0,15.751235008469616,8.016647877057803,59733.293103448275,26.129310344827587,0,0
2019-01-09,Ibaraki,7082514,2963,36.8,0,0,0,0,0,0,0,0,0,15.773139487387997,7.993957547573565,82354.81395348837,34.45348837209303,0,0
2019-01-09,Tochigi,4839982,2588,37.22,0,0,0,0,0,0,0,0,0,15.392421559677635,7.858640655620791,83447.96551724138,44.62068965517241,0,0
2019-01-09,Gunma,7156974,2126,37.58,0,0,0,0,0,0,0,0,0,15.783597823907094,7.661997558901893,71569.74,21.26,0,0
