日付,時間帯,市区町村,平休日フラグ,都道府県,人流
2021/01/01,day,19443:丹波山村,休日,19:山梨県,691
2021/01/01,day,19442:小菅村,休日,19:山梨県,879
2021/01/01,day,19430:富士河口湖町,休日,19:山梨県,41589
2021/01/01,day,19429:鳴沢村,休日,19:山梨県,5076
2021/01/01,day,19425:山中湖村,休日,19:山梨県,12795
2021/01/01,day,19424:忍野村,休日,19:山梨県,6503
2021/01/01,day,19423:西桂町,休日,19:山梨県,3873
2021/01/01,day,19422:道志村,休日,19:山梨県,1940
2021/01/01,day,19384:昭和町,休日,19:山梨県,23489
2021/01/01,day,19368:富士川町,休日,19:山梨県,17307
2021/01/01,day,19366:南部町,休日,19:山梨県,9038
2021/01/01,day,19365:身延町,休日,19:山梨県,16756
2021/01/01,day,19364:早川町,休日,19:山梨県,855
2021/01/01,day,19346:市川三郷町,休日,19:山梨県,16574
2021/01/01,day,19214:中央市,休日,19:山梨県,29986
2021/01/01,day,19213:甲州市,休日,19:山梨県,35180
2021/01/01,day,19212:上野原市,休日,19:山梨県,23765
2021/01/01,day,19211:笛吹市,休日,19:山梨県,76971
2021/01/01,day,19210:甲斐市,休日,19:山梨県,71640
2021/01/01,day,19209:北杜市,休日,19:山梨県,62362
2021/01/01,day,19208:南アルプス市,休日,19:山梨県,68306
2021/01/01,day,19207:韮崎市,休日,19:山梨県,34498
2021/01/01,day,19206:大月市,休日,19:山梨県,28564
2021/01/01,day,19205:山梨市,休日,19:山梨県,38568
2021/01/01,day,19204:都留市,休日,19:山梨県,32139
2021/01/01,day,19202:富士吉田市,休日,19:山梨県,50546
2021/01/01,day,19201:甲府市,休日,19:山梨県,182348
2021/01/02,day,19443:丹波山村,休日,19:山梨県,705
2021/01/02,day,19442:小菅村,休日,19:山梨県,797
2021/01/02,day,19430:富士河口湖町,休日,19:山梨県,38761
2021/01/02,day,19429:鳴沢村,休日,19:山梨県,5205
2021/01/02,day,19425:山中湖村,休日,19:山梨県,10404
2021/01/02,day,19424:忍野村,休日,19:山梨県,7261
2021/01/02,day,19423:西桂町,休日,19:山梨県,3764
2021/01/02,day,19422:道志村,休日,19:山梨県,2518
2021/01/02,day,19384:昭和町,休日,19:山梨県,25377
2021/01/02,day,19368:富士川町,休日,19:山梨県,15681
2021/01/02,day,19366:南部町,休日,19:山梨県,8697
2021/01/02,day,19365:身延町,休日,19:山梨県,15760
2021/01/02,day,19364:早川町,休日,19:山梨県,866
2021/01/02,day,19346:市川三郷町,休日,19:山梨県,16669
2021/01/02,day,19214:中央市,休日,19:山梨県,28495
2021/01/02,day,19213:甲州市,休日,19:山梨県,35104
2021/01/02,day,19212:上野原市,休日,19:山梨県,24941
2021/01/02,day,19211:笛吹市,休日,19:山梨県,75659
2021/01/02,day,19210:甲斐市,休日,19:山梨県,74640
2021/01/02,day,19209:北杜市,休日,19:山梨県,58759
2021/01/02,day,19208:南アルプス市,休日,19:山梨県,67015
2021/01/02,day,19207:韮崎市,休日,19:山梨県,34436
2021/01/02,day,19206:大月市,休日,19:山梨県,25424
2021/01/02,day,19205:山梨市,休日,19:山梨県,36602
2021/01/02,day,19204:都留市,休日,19:山梨県,33309
2021/01/02,day,19202:富士吉田市,休日,19:山梨県,49368
2021/01/02,day,19201:甲府市,休日,19:山梨県,182153
2021/01/03,day,19443:丹波山村,休日,19:山梨県,432
2021/01/03,day,19442:小菅村,休日,19:山梨県,820
2021/01/03,day,19430:富士河口湖町,休日,19:山梨県,35848
2021/01/03,day,19429:鳴沢村,休日,19:山梨県,5664
2021/01/03,day,19425:山中湖村,休日,19:山梨県,9862
2021/01/03,day,19424:忍野村,休日,19:山梨県,7543
2021/01/03,day,19423:西桂町,休日,19:山梨県,2855
2021/01/03,day,19422:道志村,休日,19:山梨県,1864
2021/01/03,day,19384:昭和町,休日,19:山梨県,26425
2021/01/03,day,19368:富士川町,休日,19:山梨県,15176
2021/01/03,day,19366:南部町,休日,19:山梨県,7909
2021/01/03,day,19365:身延町,休日,19:山梨県,14386
2021/01/03,day,19364:早川町,休日,19:山梨県,1082
2021/01/03,day,19346:市川三郷町,休日,19:山梨県,15814
2021/01/03,day,19214:中央市,休日,19:山梨県,27843
2021/01/03,day,19213:甲州市,休日,19:山梨県,30220
2021/01/03,day,19212:上野原市,休日,19:山梨県,26168
2021/01/03,day,19211:笛吹市,休日,19:山梨県,73625
2021/01/03,day,19210:甲斐市,休日,19:山梨県,72856
2021/01/03,day,19209:北杜市,休日,19:山梨県,52644
2021/01/03,day,19208:南アルプス市,休日,19:山梨県,66500
2021/01/03,day,19207:韮崎市,休日,19:山梨県,33138
2021/01/03,day,19206:大月市,休日,19:山梨県,24349
2021/01/03,day,19205:山梨市,休日,19:山梨県,34518
2021/01/03,day,19204:都留市,休日,19:山梨県,30720
2021/01/03,day,19202:富士吉田市,休日,19:山梨県,49015
2021/01/03,day,19201:甲府市,休日,19:山梨県,188717
2021/01/04,day,19443:丹波山村,平日,19:山梨県,577
2021/01/04,day,19442:小菅村,平日,19:山梨県,770
