日付,時間帯,市区町村,平休日フラグ,都道府県,人流
2020/01/01,day,19443:丹波山村,休日,19:山梨県,1193
2020/01/01,day,19442:小菅村,休日,19:山梨県,1185
2020/01/01,day,19430:富士河口湖町,休日,19:山梨県,45707
2020/01/01,day,19429:鳴沢村,休日,19:山梨県,7018
2020/01/01,day,19425:山中湖村,休日,19:山梨県,15867
2020/01/01,day,19424:忍野村,休日,19:山梨県,7217
2020/01/01,day,19423:西桂町,休日,19:山梨県,5811
2020/01/01,day,19422:道志村,休日,19:山梨県,2424
2020/01/01,day,19384:昭和町,休日,19:山梨県,25374
2020/01/01,day,19368:富士川町,休日,19:山梨県,16815
2020/01/01,day,19366:南部町,休日,19:山梨県,10765
2020/01/01,day,19365:身延町,休日,19:山梨県,21591
2020/01/01,day,19364:早川町,休日,19:山梨県,1661
2020/01/01,day,19346:市川三郷町,休日,19:山梨県,17293
2020/01/01,day,19214:中央市,休日,19:山梨県,30009
2020/01/01,day,19213:甲州市,休日,19:山梨県,38368
2020/01/01,day,19212:上野原市,休日,19:山梨県,29338
2020/01/01,day,19211:笛吹市,休日,19:山梨県,77994
2020/01/01,day,19210:甲斐市,休日,19:山梨県,72894
2020/01/01,day,19209:北杜市,休日,19:山梨県,69592
2020/01/01,day,19208:南アルプス市,休日,19:山梨県,71974
2020/01/01,day,19207:韮崎市,休日,19:山梨県,34103
2020/01/01,day,19206:大月市,休日,19:山梨県,31160
2020/01/01,day,19205:山梨市,休日,19:山梨県,40647
2020/01/01,day,19204:都留市,休日,19:山梨県,32476
2020/01/01,day,19202:富士吉田市,休日,19:山梨県,55090
2020/01/01,day,19201:甲府市,休日,19:山梨県,191146
2020/01/02,day,19443:丹波山村,平日,19:山梨県,1139
2020/01/02,day,19442:小菅村,平日,19:山梨県,1040
2020/01/02,day,19430:富士河口湖町,平日,19:山梨県,40514
2020/01/02,day,19429:鳴沢村,平日,19:山梨県,6819
2020/01/02,day,19425:山中湖村,平日,19:山梨県,16132
2020/01/02,day,19424:忍野村,平日,19:山梨県,6839
2020/01/02,day,19423:西桂町,平日,19:山梨県,4584
2020/01/02,day,19422:道志村,平日,19:山梨県,3472
2020/01/02,day,19384:昭和町,平日,19:山梨県,27576
2020/01/02,day,19368:富士川町,平日,19:山梨県,15845
2020/01/02,day,19366:南部町,平日,19:山梨県,11133
2020/01/02,day,19365:身延町,平日,19:山梨県,19650
2020/01/02,day,19364:早川町,平日,19:山梨県,1220
