Date_approval,city,N
2020-09-18,上野原市,1
2020-09-18,鳴沢村,0
2020-09-18,昭和町,4
2020-09-18,都留市,1
2020-09-18,笛吹市,6
2020-09-18,市川三郷町,2
2020-09-18,山中湖村,0
2020-09-18,甲州市,1
2020-09-18,身延町,0
2020-09-18,大月市,0
2020-09-18,山梨市,1
2020-09-18,中央市,1
2020-09-18,富士川町,1
2020-09-18,甲斐市,3
2020-09-18,忍野村,0
2020-09-18,早川町,0
2020-09-18,南部町,0
2020-09-18,道志村,0
2020-09-18,小菅村,0
2020-09-18,西桂町,0
2020-09-18,丹波山村,0
2020-09-25,甲府市,27
2020-09-25,富士河口湖町,3
2020-09-25,韮崎市,0
2020-09-25,北杜市,3
2020-09-25,富士吉田市,0
2020-09-25,南アルプス市,2
2020-09-25,上野原市,0
2020-09-25,鳴沢村,0
2020-09-25,昭和町,2
2020-09-25,都留市,1
2020-09-25,笛吹市,5
2020-09-25,市川三郷町,1
2020-09-25,山中湖村,3
2020-09-25,甲州市,2
2020-09-25,身延町,1
2020-09-25,大月市,0
2020-09-25,山梨市,0
2020-09-25,中央市,0
2020-09-25,富士川町,5
2020-09-25,甲斐市,1
2020-09-25,忍野村,1
2020-09-25,早川町,1
2020-09-25,南部町,0
2020-09-25,道志村,0
2020-09-25,小菅村,0
2020-09-25,西桂町,0
2020-09-25,丹波山村,0
2020-10-02,甲府市,26
2020-10-02,富士河口湖町,17
2020-10-02,韮崎市,1
2020-10-02,北杜市,7
2020-10-02,富士吉田市,15
2020-10-02,南アルプス市,2
2020-10-02,上野原市,2
2020-10-02,鳴沢村,0
2020-10-02,昭和町,0
2020-10-02,都留市,1
2020-10-02,笛吹市,8
2020-10-02,市川三郷町,0
2020-10-02,山中湖村,3
2020-10-02,甲州市,3
2020-10-02,身延町,0
2020-10-02,大月市,1
2020-10-02,山梨市,1
2020-10-02,中央市,2
2020-10-02,富士川町,0
2020-10-02,甲斐市,8
2020-10-02,忍野村,2
2020-10-02,早川町,0
2020-10-02,南部町,1
2020-10-02,道志村,0
2020-10-02,小菅村,0
2020-10-02,西桂町,0
2020-10-02,丹波山村,0
2020-10-09,甲府市,23
2020-10-09,富士河口湖町,13
2020-10-09,韮崎市,2
2020-10-09,北杜市,10
2020-10-09,富士吉田市,14
2020-10-09,南アルプス市,2
2020-10-09,上野原市,0
2020-10-09,鳴沢村,1
2020-10-09,昭和町,5
2020-10-09,都留市,1
2020-10-09,笛吹市,7
2020-10-09,市川三郷町,1
2020-10-09,山中湖村,10
2020-10-09,甲州市,9
2020-10-09,身延町,0
2020-10-09,大月市,0
2020-10-09,山梨市,3
2020-10-09,中央市,1
2020-10-09,富士川町,5
2020-10-09,甲斐市,2
2020-10-09,忍野村,2
2020-10-09,早川町,0
2020-10-09,南部町,0
