"","Date_approval","city","sum"
"124","2020-08-21","身延町",0
"125","2020-08-21","南部町",2
"126","2020-08-21","富士川町",0
"127","2020-08-21","昭和町",2
"128","2020-08-21","道志村",1
"129","2020-08-21","西桂町",1
"130","2020-08-21","忍野村",1
"131","2020-08-21","山中湖村",22
"132","2020-08-21","鳴沢村",4
"133","2020-08-21","富士河口湖町",35
"134","2020-08-21","小菅村",0
"135","2020-08-21","丹波山村",0
"136","2020-08-28","甲府市",11
"137","2020-08-28","富士吉田市",1
"138","2020-08-28","都留市",0
"139","2020-08-28","山梨市",0
"140","2020-08-28","大月市",0
"141","2020-08-28","韮崎市",0
"142","2020-08-28","南アルプス市",1
"143","2020-08-28","北杜市",8
"144","2020-08-28","甲斐市",1
"145","2020-08-28","笛吹市",3
"146","2020-08-28","上野原市",0
"147","2020-08-28","甲州市",3
"148","2020-08-28","中央市",0
"149","2020-08-28","市川三郷町",0
"150","2020-08-28","早川町",0
"151","2020-08-28","身延町",4
"152","2020-08-28","南部町",0
"153","2020-08-28","富士川町",0
"154","2020-08-28","昭和町",0
"155","2020-08-28","道志村",0
"156","2020-08-28","西桂町",0
"157","2020-08-28","忍野村",2
"158","2020-08-28","山中湖村",34
"159","2020-08-28","鳴沢村",1
"160","2020-08-28","富士河口湖町",20
"161","2020-08-28","小菅村",0
"162","2020-08-28","丹波山村",0
"163","2020-09-04","甲府市",11
"164","2020-09-04","富士吉田市",5
"165","2020-09-04","都留市",0
"166","2020-09-04","山梨市",0
"167","2020-09-04","大月市",0
"168","2020-09-04","韮崎市",1
"169","2020-09-04","南アルプス市",1
"170","2020-09-04","北杜市",17
"171","2020-09-04","甲斐市",4
"172","2020-09-04","笛吹市",14
"173","2020-09-04","上野原市",0
"174","2020-09-04","甲州市",5
"175","2020-09-04","中央市",1
"176","2020-09-04","市川三郷町",0
"177","2020-09-04","早川町",0
"178","2020-09-04","身延町",0
"179","2020-09-04","南部町",0
"180","2020-09-04","富士川町",0
"181","2020-09-04","昭和町",1
"182","2020-09-04","道志村",0
"183","2020-09-04","西桂町",0
"184","2020-09-04","忍野村",2
"185","2020-09-04","山中湖村",17
"186","2020-09-04","鳴沢村",0
"187","2020-09-04","富士河口湖町",25
"188","2020-09-04","小菅村",0
"189","2020-09-04","丹波山村",1
"190","2020-09-11","甲府市",21
"191","2020-09-11","富士吉田市",7
"192","2020-09-11","都留市",0
"193","2020-09-11","山梨市",3
"194","2020-09-11","大月市",1
"195","2020-09-11","韮崎市",0
"196","2020-09-11","南アルプス市",3
"197","2020-09-11","北杜市",8
"198","2020-09-11","甲斐市",2
"199","2020-09-11","笛吹市",10
"200","2020-09-11","上野原市",1
"201","2020-09-11","甲州市",2
"202","2020-09-11","中央市",0
"203","2020-09-11","市川三郷町",0
"204","2020-09-11","早川町",3
"205","2020-09-11","身延町",1
"206","2020-09-11","南部町",0
"207","2020-09-11","富士川町",2
"208","2020-09-11","昭和町",5
"209","2020-09-11","道志村",4
"210","2020-09-11","西桂町",0
"211","2020-09-11","忍野村",1
"212","2020-09-11","山中湖村",13
"213","2020-09-11","鳴沢村",0
"214","2020-09-11","富士河口湖町",14
"215","2020-09-11","小菅村",0
"216","2020-09-11","丹波山村",0
"217","2020-09-18","甲府市",24
"218","2020-09-18","富士吉田市",1
"219","2020-09-18","都留市",2
"220","2020-09-18","山梨市",4
"221","2020-09-18","大月市",0
"222","2020-09-18","韮崎市",1
"223","2020-09-18","南アルプス市",4
"224","2020-09-18","北杜市",16
"225","2020-09-18","甲斐市",3
"226","2020-09-18","笛吹市",6
"227","2020-09-18","上野原市",2
"228","2020-09-18","甲州市",2
"229","2020-09-18","中央市",1
"230","2020-09-18","市川三郷町",2
"231","2020-09-18","早川町",1
"232","2020-09-18","身延町",0
"233","2020-09-18","南部町",0
"234","2020-09-18","富士川町",1
"235","2020-09-18","昭和町",5
"236","2020-09-18","道志村",0
"237","2020-09-18","西桂町",0
"238","2020-09-18","忍野村",1
"239","2020-09-18","山中湖村",14
"240","2020-09-18","鳴沢村",0
"241","2020-09-18","富士河口湖町",20
"242","2020-09-18","小菅村",0
"243","2020-09-18","丹波山村",0
"244","2020-09-25","甲府市",29
"245","2020-09-25","富士吉田市",6
"246","2020-09-25","都留市",2
"247","2020-09-25","山梨市",0
"248","2020-09-25","大月市",0
"249","2020-09-25","韮崎市",0
"250","2020-09-25","南アルプス市",2
"251","2020-09-25","北杜市",15
"252","2020-09-25","甲斐市",1
"253","2020-09-25","笛吹市",6
"254","2020-09-25","上野原市",0
"255","2020-09-25","甲州市",2
"256","2020-09-25","中央市",0
"257","2020-09-25","市川三郷町",3
"258","2020-09-25","早川町",2
"259","2020-09-25","身延町",5
"260","2020-09-25","南部町",0
"261","2020-09-25","富士川町",5
"262","2020-09-25","昭和町",2
