代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
群馬県全体,すべての時間帯,2020年7月第3週,都道府県外,-25.770675999
群馬県全体,すべての時間帯,2020年7月第4週,市区町村内,4.414854278
群馬県全体,すべての時間帯,2020年7月第4週,都道府県内,-9.055078857
群馬県全体,すべての時間帯,2020年7月第4週,都道府県外,-14.912574265
群馬県全体,すべての時間帯,2020年7月第5週,市区町村内,3.730554412
群馬県全体,すべての時間帯,2020年7月第5週,都道府県内,1.698300808
群馬県全体,すべての時間帯,2020年7月第5週,都道府県外,-32.191047822
群馬県全体,すべての時間帯,2020年8月第1週,市区町村内,4.754430863
群馬県全体,すべての時間帯,2020年8月第1週,都道府県内,0.787348596
群馬県全体,すべての時間帯,2020年8月第1週,都道府県外,-29.422878440
群馬県全体,すべての時間帯,2020年8月第2週,市区町村内,7.448239265
群馬県全体,すべての時間帯,2020年8月第2週,都道府県内,-0.538924094
群馬県全体,すべての時間帯,2020年8月第2週,都道府県外,-37.655834943
群馬県全体,すべての時間帯,2020年8月第3週,市区町村内,4.352470277
群馬県全体,すべての時間帯,2020年8月第3週,都道府県内,-4.369494379
群馬県全体,すべての時間帯,2020年8月第3週,都道府県外,-26.335905785
群馬県全体,すべての時間帯,2020年8月第4週,市区町村内,3.460456283
群馬県全体,すべての時間帯,2020年8月第4週,都道府県内,-2.900973016
群馬県全体,すべての時間帯,2020年8月第4週,都道府県外,-19.895994805
群馬県全体,すべての時間帯,2020年9月第1週,市区町村内,4.047430903
群馬県全体,すべての時間帯,2020年9月第1週,都道府県内,-3.742267145
群馬県全体,すべての時間帯,2020年9月第1週,都道府県外,-23.321947807
群馬県全体,すべての時間帯,2020年9月第2週,市区町村内,5.193073269
群馬県全体,すべての時間帯,2020年9月第2週,都道府県内,-3.398759667
群馬県全体,すべての時間帯,2020年9月第2週,都道府県外,-32.600775222
群馬県全体,すべての時間帯,2020年9月第3週,市区町村内,3.060424746
群馬県全体,すべての時間帯,2020年9月第3週,都道府県内,1.625096582
群馬県全体,すべての時間帯,2020年9月第3週,都道府県外,-15.166826357
群馬県全体,すべての時間帯,2020年9月第4週,市区町村内,4.415910410
群馬県全体,すべての時間帯,2020年9月第4週,都道府県内,-7.128236493
群馬県全体,すべての時間帯,2020年9月第4週,都道府県外,-3.386094124
群馬県全体,すべての時間帯,2020年10月第1週,市区町村内,2.499408916
