代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
静岡県全体,すべての時間帯,2020年7月第3週,都道府県外,-41.692553331
静岡県全体,すべての時間帯,2020年7月第4週,市区町村内,5.072752955
静岡県全体,すべての時間帯,2020年7月第4週,都道府県内,-11.312460732
静岡県全体,すべての時間帯,2020年7月第4週,都道府県外,-18.597513843
静岡県全体,すべての時間帯,2020年7月第5週,市区町村内,5.040958819
静岡県全体,すべての時間帯,2020年7月第5週,都道府県内,-6.274441814
静岡県全体,すべての時間帯,2020年7月第5週,都道府県外,-49.580277484
静岡県全体,すべての時間帯,2020年8月第1週,市区町村内,6.574880931
静岡県全体,すべての時間帯,2020年8月第1週,都道府県内,-6.053397281
静岡県全体,すべての時間帯,2020年8月第1週,都道府県外,-47.823654603
静岡県全体,すべての時間帯,2020年8月第2週,市区町村内,8.388119094
静岡県全体,すべての時間帯,2020年8月第2週,都道府県内,-3.447950344
静岡県全体,すべての時間帯,2020年8月第2週,都道府県外,-47.797772532
静岡県全体,すべての時間帯,2020年8月第3週,市区町村内,5.685251477
静岡県全体,すべての時間帯,2020年8月第3週,都道府県内,-7.457676415
静岡県全体,すべての時間帯,2020年8月第3週,都道府県外,-42.332827544
静岡県全体,すべての時間帯,2020年8月第4週,市区町村内,4.093544971
静岡県全体,すべての時間帯,2020年8月第4週,都道府県内,-6.175196049
静岡県全体,すべての時間帯,2020年8月第4週,都道府県外,-37.261867463
静岡県全体,すべての時間帯,2020年9月第1週,市区町村内,4.580927484
静岡県全体,すべての時間帯,2020年9月第1週,都道府県内,-6.465679164
静岡県全体,すべての時間帯,2020年9月第1週,都道府県外,-34.041152221
静岡県全体,すべての時間帯,2020年9月第2週,市区町村内,6.141440089
静岡県全体,すべての時間帯,2020年9月第2週,都道府県内,-7.924434096
静岡県全体,すべての時間帯,2020年9月第2週,都道府県外,-41.800307896
静岡県全体,すべての時間帯,2020年9月第3週,市区町村内,4.242215010
静岡県全体,すべての時間帯,2020年9月第3週,都道府県内,-2.819633414
静岡県全体,すべての時間帯,2020年9月第3週,都道府県外,-23.014148961
静岡県全体,すべての時間帯,2020年9月第4週,市区町村内,4.769899386
静岡県全体,すべての時間帯,2020年9月第4週,都道府県内,-9.115766989
静岡県全体,すべての時間帯,2020年9月第4週,都道府県外,-7.236581812
静岡県全体,すべての時間帯,2020年10月第1週,市区町村内,3.145120913
静岡県全体,すべての時間帯,2020年10月第1週,都道府県内,-6.011244527
静岡県全体,すべての時間帯,2020年10月第1週,都道府県外,-22.644851550
静岡県全体,すべての時間帯,2020年10月第2週,市区町村内,1.970080097
静岡県全体,すべての時間帯,2020年10月第2週,都道府県内,-0.996168556
静岡県全体,すべての時間帯,2020年10月第2週,都道府県外,-19.646691964
静岡県全体,すべての時間帯,2020年10月第3週,市区町村内,3.286111453
静岡県全体,すべての時間帯,2020年10月第3週,都道府県内,-2.469192366
静岡県全体,すべての時間帯,2020年10月第3週,都道府県外,-29.398866489
静岡県全体,すべての時間帯,2020年10月第4週,市区町村内,2.762211028
静岡県全体,すべての時間帯,2020年10月第4週,都道府県内,0.353023620
静岡県全体,すべての時間帯,2020年10月第4週,都道府県外,-21.304282444
静岡県全体,すべての時間帯,2020年10月第5週,市区町村内,3.553326616
静岡県全体,すべての時間帯,2020年10月第5週,都道府県内,-5.142348929
静岡県全体,すべての時間帯,2020年10月第5週,都道府県外,-24.235954419
静岡県全体,すべての時間帯,2020年11月第1週,市区町村内,2.940751238
静岡県全体,すべての時間帯,2020年11月第1週,都道府県内,-4.245442576
静岡県全体,すべての時間帯,2020年11月第1週,都道府県外,-22.950459775
静岡県全体,すべての時間帯,2020年11月第2週,市区町村内,2.724955740
静岡県全体,すべての時間帯,2020年11月第2週,都道府県内,-3.461836163
静岡県全体,すべての時間帯,2020年11月第2週,都道府県外,-20.095678577
静岡県全体,すべての時間帯,2020年11月第3週,市区町村内,2.884434877
静岡県全体,すべての時間帯,2020年11月第3週,都道府県内,-3.375353317
静岡県全体,すべての時間帯,2020年11月第3週,都道府県外,-14.851151533
静岡県全体,すべての時間帯,2020年11月第4週,市区町村内,3.736912909
静岡県全体,すべての時間帯,2020年11月第4週,都道府県内,-7.772333333
静岡県全体,すべての時間帯,2020年11月第4週,都道府県外,-11.346425297
静岡県全体,すべての時間帯,2020年12月第1週,市区町村内,3.428662425
静岡県全体,すべての時間帯,2020年12月第1週,都道府県内,-5.645413582
静岡県全体,すべての時間帯,2020年12月第1週,都道府県外,-22.284323574
静岡県全体,すべての時間帯,2020年12月第2週,市区町村内,4.061860354
静岡県全体,すべての時間帯,2020年12月第2週,都道府県内,-7.172553328
静岡県全体,すべての時間帯,2020年12月第2週,都道府県外,-25.705969956
静岡県全体,すべての時間帯,2020年12月第3週,市区町村内,4.041722500
静岡県全体,すべての時間帯,2020年12月第3週,都道府県内,-6.524150652
静岡県全体,すべての時間帯,2020年12月第3週,都道府県外,-23.806501261
静岡県全体,すべての時間帯,2020年12月第4週,市区町村内,4.540670955
静岡県全体,すべての時間帯,2020年12月第4週,都道府県内,-3.637344184
静岡県全体,すべての時間帯,2020年12月第4週,都道府県外,-38.563082311
静岡県全体,すべての時間帯,2020年12月第5週,市区町村内,7.590084129
静岡県全体,すべての時間帯,2020年12月第5週,都道府県内,-5.386611603
静岡県全体,すべての時間帯,2020年12月第5週,都道府県外,-49.052668356
静岡県全体,すべての時間帯,2021年1月第1週,市区町村内,5.406563891
静岡県全体,すべての時間帯,2021年1月第1週,都道府県内,15.471231887
静岡県全体,すべての時間帯,2021年1月第1週,都道府県外,-69.917912731
静岡県全体,すべての時間帯,2021年1月第2週,市区町村内,5.692983655
静岡県全体,すべての時間帯,2021年1月第2週,都道府県内,-10.089506981
静岡県全体,すべての時間帯,2021年1月第2週,都道府県外,-45.002243274
静岡県全体,すべての時間帯,2021年1月第3週,市区町村内,4.803890800
静岡県全体,すべての時間帯,2021年1月第3週,都道府県内,-3.737486847
静岡県全体,すべての時間帯,2021年1月第3週,都道府県外,-50.574846382
静岡県全体,すべての時間帯,2021年1月第4週,市区町村内,5.697916205
静岡県全体,すべての時間帯,2021年1月第4週,都道府県内,-7.272408322
静岡県全体,すべての時間帯,2021年1月第4週,都道府県外,-49.691603646
静岡県全体,すべての時間帯,2021年2月第1週,市区町村内,4.664558103
静岡県全体,すべての時間帯,2021年2月第1週,都道府県内,-6.359250596
静岡県全体,すべての時間帯,2021年2月第1週,都道府県外,-45.002013314
静岡県全体,すべての時間帯,2021年2月第2週,市区町村内,5.271674396
静岡県全体,すべての時間帯,2021年2月第2週,都道府県内,-7.841691323
静岡県全体,すべての時間帯,2021年2月第2週,都道府県外,-41.954925788
静岡県全体,すべての時間帯,2021年2月第3週,市区町村内,3.951162257
静岡県全体,すべての時間帯,2021年2月第3週,都道府県内,-2.418647860
静岡県全体,すべての時間帯,2021年2月第3週,都道府県外,-39.067158235
静岡県全体,すべての時間帯,2021年2月第4週,市区町村内,5.281189095
静岡県全体,すべての時間帯,2021年2月第4週,都道府県内,-7.637552240
静岡県全体,すべての時間帯,2021年2月第4週,都道府県外,-41.462144250
静岡県全体,すべての時間帯,2021年3月第1週,市区町村内,3.792489837
静岡県全体,すべての時間帯,2021年3月第1週,都道府県内,-4.172218946
静岡県全体,すべての時間帯,2021年3月第1週,都道府県外,-40.082336197
静岡県全体,すべての時間帯,2021年3月第2週,市区町村内,3.193770098
静岡県全体,すべての時間帯,2021年3月第2週,都道府県内,-3.674833050
静岡県全体,すべての時間帯,2021年3月第2週,都道府県外,-30.948774133
静岡県全体,すべての時間帯,2021年3月第3週,市区町村内,3.795997068
静岡県全体,すべての時間帯,2021年3月第3週,都道府県内,-5.770878072
静岡県全体,すべての時間帯,2021年3月第3週,都道府県外,-26.082402075
静岡県全体,すべての時間帯,2021年3月第4週,市区町村内,2.958131834
静岡県全体,すべての時間帯,2021年3月第4週,都道府県内,-0.084358038
静岡県全体,すべての時間帯,2021年3月第4週,都道府県外,-25.235755201
静岡県全体,すべての時間帯,2021年4月第1週,市区町村内,3.707964432
静岡県全体,すべての時間帯,2021年4月第1週,都道府県内,-3.919468049
静岡県全体,すべての時間帯,2021年4月第1週,都道府県外,-30.355948086
静岡県全体,すべての時間帯,2021年4月第2週,市区町村内,1.943577880
静岡県全体,すべての時間帯,2021年4月第2週,都道府県内,-1.574611980
静岡県全体,すべての時間帯,2021年4月第2週,都道府県外,-26.084164909
静岡県全体,すべての時間帯,2021年4月第3週,市区町村内,3.549134121
静岡県全体,すべての時間帯,2021年4月第3週,都道府県内,-4.179072975
静岡県全体,すべての時間帯,2021年4月第3週,都道府県外,-31.505169050
静岡県全体,すべての時間帯,2021年4月第4週,市区町村内,3.765532329
静岡県全体,すべての時間帯,2021年4月第4週,都道府県内,-2.092303549
静岡県全体,すべての時間帯,2021年4月第4週,都道府県外,-33.914532892
静岡県全体,すべての時間帯,2021年4月第5週,市区町村内,5.545742353
静岡県全体,すべての時間帯,2021年4月第5週,都道府県内,-7.322367605
静岡県全体,すべての時間帯,2021年4月第5週,都道府県外,-30.167891005
静岡県全体,すべての時間帯,2021年5月第1週,市区町村内,9.591499124
静岡県全体,すべての時間帯,2021年5月第1週,都道府県内,5.132010704
静岡県全体,すべての時間帯,2021年5月第1週,都道府県外,-63.561797601
静岡県全体,すべての時間帯,2021年5月第2週,市区町村内,4.063575413
静岡県全体,すべての時間帯,2021年5月第2週,都道府県内,-0.159896144
静岡県全体,すべての時間帯,2021年5月第2週,都道府県外,-44.432148175
静岡県全体,すべての時間帯,2021年5月第3週,市区町村内,6.533237598
静岡県全体,すべての時間帯,2021年5月第3週,都道府県内,-4.962906331
静岡県全体,すべての時間帯,2021年5月第3週,都道府県外,-47.388892978
静岡県全体,すべての時間帯,2021年5月第4週,市区町村内,6.167615709
静岡県全体,すべての時間帯,2021年5月第4週,都道府県内,-3.350905876
静岡県全体,すべての時間帯,2021年5月第4週,都道府県外,-48.004602047
静岡県全体,すべての時間帯,2021年6月第1週,市区町村内,6.038523765
静岡県全体,すべての時間帯,2021年6月第1週,都道府県内,-5.336700426
静岡県全体,すべての時間帯,2021年6月第1週,都道府県外,-48.994698597
静岡県全体,すべての時間帯,2021年6月第2週,市区町村内,5.214333405
静岡県全体,すべての時間帯,2021年6月第2週,都道府県内,-4.077739122
静岡県全体,すべての時間帯,2021年6月第2週,都道府県外,-40.822384247
静岡県全体,すべての時間帯,2021年6月第3週,市区町村内,5.663642722
静岡県全体,すべての時間帯,2021年6月第3週,都道府県内,-4.918554571
静岡県全体,すべての時間帯,2021年6月第3週,都道府県外,-46.511145842
静岡県全体,すべての時間帯,2021年6月第4週,市区町村内,5.272314975
静岡県全体,すべての時間帯,2021年6月第4週,都道府県内,-4.710463221
静岡県全体,すべての時間帯,2021年6月第4週,都道府県外,-42.540113662
静岡県全体,すべての時間帯,2021年7月第1週,市区町村内,5.913836020
静岡県全体,すべての時間帯,2021年7月第1週,都道府県内,-7.472044332
静岡県全体,すべての時間帯,2021年7月第1週,都道府県外,-50.637801045
静岡県全体,すべての時間帯,2021年7月第2週,市区町村内,2.069660672
静岡県全体,すべての時間帯,2021年7月第2週,都道府県内,-0.647490709
静岡県全体,すべての時間帯,2021年7月第2週,都道府県外,-27.725944620
静岡県全体,すべての時間帯,2021年7月第3週,市区町村内,3.251699695
静岡県全体,すべての時間帯,2021年7月第3週,都道府県内,-0.806118320
静岡県全体,すべての時間帯,2021年7月第3週,都道府県外,-38.214310841
静岡県全体,すべての時間帯,2021年7月第4週,市区町村内,1.182738529
静岡県全体,すべての時間帯,2021年7月第4週,都道府県内,0.296910557
静岡県全体,すべての時間帯,2021年7月第4週,都道府県外,1.270733929
静岡県全体,すべての時間帯,2021年7月第5週,市区町村内,1.675156145
静岡県全体,すべての時間帯,2021年7月第5週,都道府県内,0.940766943
静岡県全体,すべての時間帯,2021年7月第5週,都道府県外,-25.395667082
静岡県全体,すべての時間帯,2021年8月第1週,市区町村内,2.451601451
静岡県全体,すべての時間帯,2021年8月第1週,都道府県内,-1.005234362
静岡県全体,すべての時間帯,2021年8月第1週,都道府県外,-30.678050629
静岡県全体,すべての時間帯,2021年8月第2週,市区町村内,7.723612586
静岡県全体,すべての時間帯,2021年8月第2週,都道府県内,-20.456006806
静岡県全体,すべての時間帯,2021年8月第2週,都道府県外,-25.420349335
静岡県全体,すべての時間帯,2021年8月第3週,市区町村内,6.552812413
静岡県全体,すべての時間帯,2021年8月第3週,都道府県内,9.781385069
静岡県全体,すべての時間帯,2021年8月第3週,都道府県外,-64.129356237
静岡県全体,すべての時間帯,2021年8月第4週,市区町村内,5.662448967
静岡県全体,すべての時間帯,2021年8月第4週,都道府県内,-10.783113386
静岡県全体,すべての時間帯,2021年8月第4週,都道府県外,-44.276315772
静岡県全体,すべての時間帯,2021年9月第1週,市区町村内,4.533086406
静岡県全体,すべての時間帯,2021年9月第1週,都道府県内,-10.607328187
静岡県全体,すべての時間帯,2021年9月第1週,都道府県外,-45.164437174
静岡県全体,すべての時間帯,2021年9月第2週,市区町村内,5.399601907
静岡県全体,すべての時間帯,2021年9月第2週,都道府県内,-12.601208744
静岡県全体,すべての時間帯,2021年9月第2週,都道府県外,-42.186346613
静岡県全体,すべての時間帯,2021年9月第3週,市区町村内,6.060600765
静岡県全体,すべての時間帯,2021年9月第3週,都道府県内,-12.822614297
静岡県全体,すべての時間帯,2021年9月第3週,都道府県外,-43.784598284
静岡県全体,すべての時間帯,2021年9月第4週,市区町村内,6.450161429
静岡県全体,すべての時間帯,2021年9月第4週,都道府県内,-16.347851156
静岡県全体,すべての時間帯,2021年9月第4週,都道府県外,-34.223791872
静岡県全体,すべての時間帯,2021年9月第5週,市区町村内,3.458810010
静岡県全体,すべての時間帯,2021年9月第5週,都道府県内,-6.518534258
静岡県全体,すべての時間帯,2021年9月第5週,都道府県外,-39.282656114
静岡県全体,すべての時間帯,2021年10月第1週,市区町村内,2.378066976
静岡県全体,すべての時間帯,2021年10月第1週,都道府県内,-6.480440143
静岡県全体,すべての時間帯,2021年10月第1週,都道府県外,-21.738793407
