代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
栃木県全体,すべての時間帯,2020年6月第4週,市区町村内,6.240172318
栃木県全体,すべての時間帯,2020年6月第4週,都道府県内,-9.607364633
栃木県全体,すべての時間帯,2020年6月第4週,都道府県外,-25.429690710
栃木県全体,すべての時間帯,2020年7月第1週,市区町村内,4.452956432
栃木県全体,すべての時間帯,2020年7月第1週,都道府県内,-8.527538299
栃木県全体,すべての時間帯,2020年7月第1週,都道府県外,-21.702890739
栃木県全体,すべての時間帯,2020年7月第2週,市区町村内,6.419456755
栃木県全体,すべての時間帯,2020年7月第2週,都道府県内,-11.851832221
栃木県全体,すべての時間帯,2020年7月第2週,都道府県外,-38.184492879
栃木県全体,すべての時間帯,2020年7月第3週,市区町村内,4.398756201
栃木県全体,すべての時間帯,2020年7月第3週,都道府県内,-5.672079985
栃木県全体,すべての時間帯,2020年7月第3週,都道府県外,-28.022456732
栃木県全体,すべての時間帯,2020年7月第4週,市区町村内,5.450831183
栃木県全体,すべての時間帯,2020年7月第4週,都道府県内,-16.492388136
栃木県全体,すべての時間帯,2020年7月第4週,都道府県外,-11.988429072
栃木県全体,すべての時間帯,2020年7月第5週,市区町村内,4.689366970
栃木県全体,すべての時間帯,2020年7月第5週,都道府県内,-5.413205805
栃木県全体,すべての時間帯,2020年7月第5週,都道府県外,-33.239623110
栃木県全体,すべての時間帯,2020年8月第1週,市区町村内,5.372983665
栃木県全体,すべての時間帯,2020年8月第1週,都道府県内,-4.108774276
栃木県全体,すべての時間帯,2020年8月第1週,都道府県外,-35.272603058
栃木県全体,すべての時間帯,2020年8月第2週,市区町村内,8.883284582
栃木県全体,すべての時間帯,2020年8月第2週,都道府県内,-6.857068605
栃木県全体,すべての時間帯,2020年8月第2週,都道府県外,-40.789172979
栃木県全体,すべての時間帯,2020年8月第3週,市区町村内,5.331268463
栃木県全体,すべての時間帯,2020年8月第3週,都道府県内,-10.134202405
栃木県全体,すべての時間帯,2020年8月第3週,都道府県外,-27.864873584
栃木県全体,すべての時間帯,2020年8月第4週,市区町村内,4.143055139
栃木県全体,すべての時間帯,2020年8月第4週,都道府県内,-7.768515877
栃木県全体,すべての時間帯,2020年8月第4週,都道府県外,-24.870331060
栃木県全体,すべての時間帯,2020年9月第1週,市区町村内,4.462922226
栃木県全体,すべての時間帯,2020年9月第1週,都道府県内,-8.412196713
栃木県全体,すべての時間帯,2020年9月第1週,都道府県外,-26.435135942
栃木県全体,すべての時間帯,2020年9月第2週,市区町村内,5.336466405
栃木県全体,すべての時間帯,2020年9月第2週,都道府県内,-6.673646702
栃木県全体,すべての時間帯,2020年9月第2週,都道府県外,-32.971113513
栃木県全体,すべての時間帯,2020年9月第3週,市区町村内,3.025887994
栃木県全体,すべての時間帯,2020年9月第3週,都道府県内,-0.085243210
栃木県全体,すべての時間帯,2020年9月第3週,都道府県外,-17.502102153
栃木県全体,すべての時間帯,2020年9月第4週,市区町村内,3.981508303
栃木県全体,すべての時間帯,2020年9月第4週,都道府県内,-9.433656468
栃木県全体,すべての時間帯,2020年9月第4週,都道府県外,-5.565057705
栃木県全体,すべての時間帯,2020年10月第1週,市区町村内,2.696504329
栃木県全体,すべての時間帯,2020年10月第1週,都道府県内,-5.076818058
栃木県全体,すべての時間帯,2020年10月第1週,都道府県外,-10.838092156
栃木県全体,すべての時間帯,2020年10月第2週,市区町村内,1.916975205
栃木県全体,すべての時間帯,2020年10月第2週,都道府県内,0.723842959
栃木県全体,すべての時間帯,2020年10月第2週,都道府県外,-7.261670665
栃木県全体,すべての時間帯,2020年10月第3週,市区町村内,2.522103743
栃木県全体,すべての時間帯,2020年10月第3週,都道府県内,-2.105555113
栃木県全体,すべての時間帯,2020年10月第3週,都道府県外,-20.133415566
