date,state,value
2020/9/1,沖縄県,0.760079
2020/9/1,東京都,0.399794
2020/9/1,鹿児島県,0.413147
2020/9/1,宮崎県,0.428717
2020/9/1,長崎県,0.392585
2020/9/1,熊本県,0.39593
2020/9/1,佐賀県,0.302243
2020/9/1,福岡県,0.371673
2020/9/1,大分県,0.349489
2020/9/1,高知県,0.338863
2020/9/1,愛媛県,0.275643
2020/9/1,山口県,0.328227
2020/9/1,徳島県,0.313849
2020/9/1,和歌山県,0.256066
2020/9/1,三重県,0.29221
2020/9/1,奈良県,0.317301
2020/9/1,島根県,0.437684
2020/9/1,広島県,0.301998
2020/9/1,香川県,0.233209
2020/9/1,岡山県,0.294488
2020/9/1,兵庫県,0.315524
2020/9/1,大阪府,0.316009
2020/9/1,愛知県,0.305179
2020/9/1,静岡県,0.25468
2020/9/1,鳥取県,0.274515
2020/9/1,京都府,0.324702
2020/9/1,滋賀県,0.345565
2020/9/1,岐阜県,0.277795
2020/9/1,長野県,0.398916
2020/9/1,山梨県,0.206545
2020/9/1,千葉県,0.369999
2020/9/1,神奈川県,0.387338
2020/9/1,福井県,0.359716
2020/9/1,埼玉県,0.349256
2020/9/1,茨城県,0.340333
2020/9/1,石川県,0.363242
2020/9/1,富山県,0.314766
2020/9/1,群馬県,0.34528
2020/9/1,栃木県,0.306235
2020/9/1,新潟県,0.301141
2020/9/1,福島県,0.313077
2020/9/1,山形県,0.247504
2020/9/1,宮城県,0.34104
2020/9/1,秋田県,0.301193
2020/9/1,岩手県,0.408624
2020/9/1,青森県,0.242422
2020/9/1,北海道,0.298302
2020/9/2,沖縄県,0.655393
2020/9/2,東京都,0.392965
2020/9/2,鹿児島県,0.591538
2020/9/2,宮崎県,0.616261
2020/9/2,長崎県,0.861238
2020/9/2,熊本県,0.6037
2020/9/2,佐賀県,0.714278
2020/9/2,福岡県,0.671789
2020/9/2,大分県,0.529843
2020/9/2,高知県,0.452532
2020/9/2,愛媛県,0.337234
2020/9/2,山口県,0.512576
2020/9/2,徳島県,0.379333
2020/9/2,和歌山県,0.245944
2020/9/2,三重県,0.301108
2020/9/2,奈良県,0.325332
2020/9/2,島根県,0.500742
2020/9/2,広島県,0.331355
2020/9/2,香川県,0.273584
2020/9/2,岡山県,0.313513
2020/9/2,兵庫県,0.353026
2020/9/2,大阪府,0.333049
2020/9/2,愛知県,0.320982
2020/9/2,静岡県,0.284752
2020/9/2,鳥取県,0.272503
2020/9/2,京都府,0.315124
2020/9/2,滋賀県,0.292577
2020/9/2,岐阜県,0.324059
2020/9/2,長野県,0.404188
2020/9/2,山梨県,0.233716
2020/9/2,千葉県,0.37914
2020/9/2,神奈川県,0.394
2020/9/2,福井県,0.383806
2020/9/2,埼玉県,0.377903
2020/9/2,茨城県,0.345521
2020/9/2,石川県,0.371253
2020/9/2,富山県,0.356488
2020/9/2,群馬県,0.351175
2020/9/2,栃木県,0.35446
2020/9/2,新潟県,0.282669
2020/9/2,福島県,0.406496
2020/9/2,山形県,0.352087
2020/9/2,宮城県,0.353321
2020/9/2,秋田県,0.315499
2020/9/2,岩手県,0.422056
2020/9/2,青森県,0.300659
2020/9/2,北海道,0.357565
2020/9/3,沖縄県,0.356865
2020/9/3,東京都,0.351268
2020/9/3,鹿児島県,0.228161
2020/9/3,宮崎県,0.300864
2020/9/3,長崎県,0.34887
2020/9/3,熊本県,0.293646
2020/9/3,佐賀県,0.332152
2020/9/3,福岡県,0.287959
2020/9/3,大分県,0.301849
2020/9/3,高知県,0.357967
2020/9/3,愛媛県,0.329048
2020/9/3,山口県,0.329176
2020/9/3,徳島県,0.360426
2020/9/3,和歌山県,0.324547
2020/9/3,三重県,0.278204
2020/9/3,奈良県,0.316284
2020/9/3,島根県,0.463309
2020/9/3,広島県,0.298836
2020/9/3,香川県,0.232084
2020/9/3,岡山県,0.310641
2020/9/3,兵庫県,0.314261
2020/9/3,大阪府,0.309491
2020/9/3,愛知県,0.318103
2020/9/3,静岡県,0.336017
2020/9/3,鳥取県,0.220259
2020/9/3,京都府,0.299866
2020/9/3,滋賀県,0.276436
2020/9/3,岐阜県,0.339504
2020/9/3,長野県,0.369365
2020/9/3,山梨県,0.247814
2020/9/3,千葉県,0.335609
2020/9/3,神奈川県,0.35462
2020/9/3,福井県,0.355599
2020/9/3,埼玉県,0.328201
2020/9/3,茨城県,0.286843
2020/9/3,石川県,0.351396
2020/9/3,富山県,0.275892
2020/9/3,群馬県,0.315689
2020/9/3,栃木県,0.273121
2020/9/3,新潟県,0.329441
2020/9/3,福島県,0.313789
2020/9/3,山形県,0.367124
2020/9/3,宮城県,0.32725
2020/9/3,秋田県,0.390852
2020/9/3,岩手県,0.395364
2020/9/3,青森県,0.29079
2020/9/3,北海道,0.353227
2020/9/4,沖縄県,0.15171
2020/9/4,東京都,0.210247
2020/9/4,鹿児島県,0.147893
2020/9/4,宮崎県,0.133259
2020/9/4,長崎県,0.163589
2020/9/4,熊本県,0.161654
2020/9/4,佐賀県,0.239528
2020/9/4,福岡県,0.137612
2020/9/4,大分県,0.142357
2020/9/4,高知県,0.212003
2020/9/4,愛媛県,0.13261
2020/9/4,山口県,0.111688
2020/9/4,徳島県,0.349413
2020/9/4,和歌山県,0.088413
2020/9/4,三重県,0.099376
2020/9/4,奈良県,0.170769
2020/9/4,島根県,0.308727
2020/9/4,広島県,0.095899
2020/9/4,香川県,0.155608
2020/9/4,岡山県,0.099679
2020/9/4,兵庫県,0.143966
2020/9/4,大阪府,0.135734
2020/9/4,愛知県,0.124903
2020/9/4,静岡県,0.085867
2020/9/4,鳥取県,0.010929
2020/9/4,京都府,0.152989
2020/9/4,滋賀県,0.078356
2020/9/4,岐阜県,0.173924
2020/9/4,長野県,0.223418
2020/9/4,山梨県,0.134721
2020/9/4,千葉県,0.214716
2020/9/4,神奈川県,0.211795
2020/9/4,福井県,0.170928
2020/9/4,埼玉県,0.219978
2020/9/4,茨城県,0.158943
2020/9/4,石川県,0.306537
2020/9/4,富山県,0.170703
2020/9/4,群馬県,0.231276
2020/9/4,栃木県,0.177636
2020/9/4,新潟県,0.179731
2020/9/4,福島県,0.268062
2020/9/4,山形県,0.292866
2020/9/4,宮城県,0.201856
2020/9/4,秋田県,0.265179
2020/9/4,岩手県,0.304338
2020/9/4,青森県,0.267558
2020/9/4,北海道,0.211023
2020/9/5,沖縄県,0.587322
2020/9/5,東京都,0.257397
2020/9/5,鹿児島県,0.462071
2020/9/5,宮崎県,0.604085
2020/9/5,長崎県,0.475525
2020/9/5,熊本県,0.486948
2020/9/5,佐賀県,0.470611
2020/9/5,福岡県,0.42008
2020/9/5,大分県,0.441554
2020/9/5,高知県,0.441019
2020/9/5,愛媛県,0.203441
2020/9/5,山口県,0.336749
2020/9/5,徳島県,0.270645
2020/9/5,和歌山県,0.301491
2020/9/5,三重県,0.231003
2020/9/5,奈良県,0.27225
2020/9/5,島根県,0.50995
2020/9/5,広島県,0.272806
