date,state,value
2020/11/1,沖縄県,0.412753
2020/11/1,東京都,0.387664
2020/11/1,鹿児島県,0.420923
2020/11/1,宮崎県,0.53988
2020/11/1,長崎県,0.337803
2020/11/1,熊本県,0.427035
2020/11/1,佐賀県,0.439275
2020/11/1,福岡県,0.51853
2020/11/1,大分県,0.487523
2020/11/1,高知県,0.541059
2020/11/1,愛媛県,0.378345
2020/11/1,山口県,0.429417
2020/11/1,徳島県,0.338274
2020/11/1,和歌山県,0.232423
2020/11/1,三重県,0.314681
2020/11/1,奈良県,0.324662
2020/11/1,島根県,0.378175
2020/11/1,広島県,0.528611
2020/11/1,香川県,0.393219
2020/11/1,岡山県,0.456811
2020/11/1,兵庫県,0.332556
2020/11/1,大阪府,0.3839
2020/11/1,愛知県,0.425951
2020/11/1,静岡県,0.350919
2020/11/1,鳥取県,0.106742
2020/11/1,京都府,0.361067
2020/11/1,滋賀県,0.283786
2020/11/1,岐阜県,0.371043
2020/11/1,長野県,0.43133
2020/11/1,山梨県,0.163414
2020/11/1,千葉県,0.312795
2020/11/1,神奈川県,0.329863
2020/11/1,福井県,0.180213
2020/11/1,埼玉県,0.348987
2020/11/1,茨城県,0.357894
2020/11/1,石川県,0.348348
2020/11/1,富山県,0.343477
2020/11/1,群馬県,0.405074
2020/11/1,栃木県,0.385248
2020/11/1,新潟県,0.370297
2020/11/1,福島県,0.436622
2020/11/1,山形県,0.401176
2020/11/1,宮城県,0.43172
2020/11/1,秋田県,0.552905
2020/11/1,岩手県,0.561001
2020/11/1,青森県,0.523226
2020/11/1,北海道,0.534322
2020/11/2,沖縄県,0.100956
2020/11/2,東京都,0.22091
2020/11/2,鹿児島県,0.10893
2020/11/2,宮崎県,0.111238
2020/11/2,長崎県,0.108122
2020/11/2,熊本県,0.196239
2020/11/2,佐賀県,0.046222
2020/11/2,福岡県,0.112282
2020/11/2,大分県,0.087647
2020/11/2,高知県,0.289112
2020/11/2,愛媛県,0.085613
2020/11/2,山口県,0.057368
2020/11/2,徳島県,0.223384
2020/11/2,和歌山県,0.137657
2020/11/2,三重県,0.120162
2020/11/2,奈良県,0.133113
2020/11/2,島根県,0.214034
2020/11/2,広島県,0.055045
2020/11/2,香川県,0.067439
2020/11/2,岡山県,0.145039
2020/11/2,兵庫県,0.16302
2020/11/2,大阪府,0.152276
2020/11/2,愛知県,0.117489
2020/11/2,静岡県,0.181462
2020/11/2,鳥取県,0.08064
2020/11/2,京都府,0.161522
2020/11/2,滋賀県,0.083488
2020/11/2,岐阜県,0.167944
2020/11/2,長野県,0.115549
2020/11/2,山梨県,0.107196
2020/11/2,千葉県,0.19767
2020/11/2,神奈川県,0.226983
2020/11/2,福井県,0.019441
2020/11/2,埼玉県,0.178223
2020/11/2,茨城県,0.166991
2020/11/2,石川県,0.168129
2020/11/2,富山県,0.100977
2020/11/2,群馬県,0.134873
2020/11/2,栃木県,0.093398
2020/11/2,新潟県,0.098367
2020/11/2,福島県,0.133639
2020/11/2,山形県,0.117798
2020/11/2,宮城県,0.204831
2020/11/2,秋田県,0.163624
2020/11/2,岩手県,0.124598
2020/11/2,青森県,0.218015
2020/11/2,北海道,0.170838
2020/11/3,沖縄県,0.586345
2020/11/3,東京都,0.544219
2020/11/3,鹿児島県,0.617096
2020/11/3,宮崎県,0.636205
2020/11/3,長崎県,0.615306
2020/11/3,熊本県,0.56032
2020/11/3,佐賀県,0.56179
2020/11/3,福岡県,0.577564
2020/11/3,大分県,0.568535
2020/11/3,高知県,0.562903
2020/11/3,愛媛県,0.496961
2020/11/3,山口県,0.584981
2020/11/3,徳島県,0.433015
2020/11/3,和歌山県,0.482529
2020/11/3,三重県,0.431384
2020/11/3,奈良県,0.479353
2020/11/3,島根県,0.687717
2020/11/3,広島県,0.63093
2020/11/3,香川県,0.510529
2020/11/3,岡山県,0.569057
2020/11/3,兵庫県,0.493233
2020/11/3,大阪府,0.513045
2020/11/3,愛知県,0.465775
2020/11/3,静岡県,0.536563
2020/11/3,鳥取県,0.553257
2020/11/3,京都府,0.487698
2020/11/3,滋賀県,0.471815
2020/11/3,岐阜県,0.510486
2020/11/3,長野県,0.548383
2020/11/3,山梨県,0.477965
2020/11/3,千葉県,0.517465
2020/11/3,神奈川県,0.540683
2020/11/3,福井県,0.655463
2020/11/3,埼玉県,0.517632
2020/11/3,茨城県,0.52312
2020/11/3,石川県,0.576631
2020/11/3,富山県,0.64094
2020/11/3,群馬県,0.473593
2020/11/3,栃木県,0.444024
2020/11/3,新潟県,0.514056
2020/11/3,福島県,0.580026
2020/11/3,山形県,0.595001
2020/11/3,宮城県,0.577213
2020/11/3,秋田県,0.614943
2020/11/3,岩手県,0.650166
2020/11/3,青森県,0.560744
2020/11/3,北海道,0.648417
2020/11/4,沖縄県,0.249836
2020/11/4,東京都,0.278687
2020/11/4,鹿児島県,0.249457
2020/11/4,宮崎県,0.35148
2020/11/4,長崎県,0.295033
2020/11/4,熊本県,0.309776
2020/11/4,佐賀県,0.289648
2020/11/4,福岡県,0.242334
2020/11/4,大分県,0.294386
2020/11/4,高知県,0.334708
2020/11/4,愛媛県,0.314075
2020/11/4,山口県,0.239214
2020/11/4,徳島県,0.266355
2020/11/4,和歌山県,0.271151
2020/11/4,三重県,0.256551
2020/11/4,奈良県,0.216548
2020/11/4,島根県,0.327279
2020/11/4,広島県,0.193026
2020/11/4,香川県,0.1732
2020/11/4,岡山県,0.242907
2020/11/4,兵庫県,0.22914
2020/11/4,大阪府,0.215913
2020/11/4,愛知県,0.228486
2020/11/4,静岡県,0.262605
2020/11/4,鳥取県,0.281902
2020/11/4,京都府,0.220169
2020/11/4,滋賀県,0.225751
