week,treat,in_pref,out_pref,in_city,resview
2020-08-17,Neighboring_prefs,-7.2290459772,-33.1160842984,5.0325796536,-20.3702378752
2020-08-17,Yamanashi,-7.972464608,-32.926172421,5.212771199,-21.338648401
2020-08-24,Neighboring_prefs,-5.821716683,-27.2174645292,4.1397757466,-16.148966452
2020-08-24,Yamanashi,-7.239660379,-38.869355493,3.882468526,-17.232230438
2020-08-31,Neighboring_prefs,-6.1517666446,-29.6122971926,4.5357509214,-17.578572560399998
2020-08-31,Yamanashi,-4.187250781,-36.463860069,4.360944175,-17.847761288
2020-09-07,Neighboring_prefs,-6.0059484892,-36.5418556622,5.7186986058,-13.1706289714
2020-09-07,Yamanashi,-4.863405498,-41.039263272,6.260136878,-12.88922954
2020-09-14,Neighboring_prefs,-0.12438794560000001,-15.8516894404,3.5123164962,-2.8709115662
2020-09-14,Yamanashi,1.711956941,-12.852003344,3.395762079,15.331461432
2020-09-21,Neighboring_prefs,-9.0316836772,-2.0201393638,4.567833971,0.9806821785999998
2020-09-21,Yamanashi,-9.188205406,16.604016371,4.713547732,25.288080485
2020-09-28,Neighboring_prefs,-3.345664731,-14.1791888246,2.8300694806,-10.911094651199999
2020-09-28,Yamanashi,-2.23805764,-10.083248116,2.248008721,1.322564744
2020-10-05,Neighboring_prefs,1.1298501866000001,-10.213002421999999,1.803638249,22.7175566386
2020-10-05,Yamanashi,0.249472761,1.550742013,2.364894903,40.546006067
2020-10-12,Neighboring_prefs,-0.5076268626,-16.0696599554,2.6669848128,8.0074021096
2020-10-12,Yamanashi,0.796139886,19.248658888,2.628937064,25.748834456
2020-10-19,Neighboring_prefs,3.1054842579999997,-10.970590614399999,2.1420551874,-0.1776269334000003
2020-10-19,Yamanashi,4.267000112,6.323348383,2.871861697,17.93804563
2020-10-26,Neighboring_prefs,-3.501568465,-18.920457197399998,3.3851558296,-5.1539456836
2020-10-26,Yamanashi,-2.393551786,-11.046896002,3.568706027,6.105343834
2020-11-02,Neighboring_prefs,-3.774165412,-14.9636693238,3.0576869844,1.6820547523999998
2020-11-02,Yamanashi,-2.510846507,-9.868323232,2.578962594,15.863051434
2020-11-09,Neighboring_prefs,-3.1584417594,-10.5068492624,2.9721080994,-6.3356317962
2020-11-09,Yamanashi,-2.046739264,-3.82586527,2.138403715,8.40141555
2020-11-16,Neighboring_prefs,-1.6146105202,-2.6990433769999997,2.5004571174,-5.03643756
2020-11-16,Yamanashi,-1.568410843,11.607262466,2.186354421,18.373313728
