"","X","週","week","weeknum","pref","newcaseday","newcaset.1","newcaset.2","cumcases","newdeath","emergency","GZnew","cumGZ","mobility","resview","in_city","in_pref","out_pref","week_dummy","pref_dummy","population","avg_temp","rain","sum_pop","agrgt_potecovid_lag1","agrgt_potecovid_lag2","susceptable","avg_temp_q","rain_q","noftests","noftestst.1","noftestst.2","pred_covid","pred_covid2"
"Gunma-2020-01-13",1,"202001_W3","2020-01-13",3,"Gunma",0,0,0,0,0,0,0,0,1965575,3.24702333,-1.90661631,-1.094252431,12.37360764,"D_3","D_Gunma",1942000,6.18571428571429,0.0714285714285714,1965557,0,0.00682857745859251,1942000,38.2630612244898,0.00510204081632653,0,0,0,1.12677254319457,1.1586449055556
"Gunma-2020-01-20",7,"202001_W4","2020-01-20",4,"Gunma",0,0,0,0,0,0,0,0,1967451,5.975943258,-2.517189848,1.324276391,12.93876912,"D_4","D_Gunma",1942000,6.08571428571429,0.0714285714285714,1967418,0.00414617809625795,0.00651466197447836,1942000,37.0359183673469,0.00510204081632653,0,0,0,1.11123165380906,1.15134328368425
"Gunma-2020-01-27",13,"202001_W5","2020-01-27",5,"Gunma",0,0,0,0,0,0,0,0,1968631,-0.304457168,-1.864979489,0.792914312,13.05432113,"D_5","D_Gunma",1942000,6.67857142857143,7.46428571428571,1968597,0.00621141353768622,0.00544717310424011,1942000,44.6033163265306,55.7155612244898,0,0,0,1.10986795579619,1.07080431615661
"Gunma-2020-02-03",19,"202002_W1","2020-02-03",6,"Gunma",0,0,0,0,0,0,0,0,1967210,-3.823966337,0.618423366,-1.171588019,-8.659837196,"D_6","D_Gunma",1942000,3.84285714285714,0,1967183,0.00530952295717696,0.0283951418094126,1942000,14.7675510204082,0,0,0,0,1.13973584262643,1.25215807561523
"Gunma-2020-02-10",25,"202002_W2","2020-02-10",7,"Gunma",0,0,0,0,0,0,0,0,1973663,9.101489814,1.077369572,-0.269290055,-7.876314141,"D_7","D_Gunma",1942000,8.27857142857143,0.214285714285714,1973630,0.0312064980112013,0.0889024903687509,1942000,68.5347448979592,0.0459183673469388,0,0,180,1.25999536720045,1.48795449656382
"Gunma-2020-02-17",31,"202002_W3","2020-02-17",8,"Gunma",0,0,1,0,0,0,0,0,1982511,5.77219484,1.036128169,-1.7539475,2.68927099,"D_8","D_Gunma",1942000,8.21428571428571,0.0357142857142857,1982478,0.0953494182298374,0.115063787996209,1942000,67.4744897959184,0.00127551020408163,0,180,0,1.42436695421358,1.61390891261658
"Gunma-2020-02-24",37,"202002_W4","2020-02-24",9,"Gunma",0,1,4,0,0,0,0,0,1980798,-4.975000252,3.197936859,-9.628916456,-4.461833362,"D_9","D_Gunma",1942000,7.95714285714286,0.678571428571429,1980774,0.125090206616557,1.1694508083235,1942000,63.3161224489796,0.460459183673469,180,0,495,1.49062980919092,1.81711391736038
"Gunma-2020-03-02",43,"202003_W1","2020-03-02",10,"Gunma",1,4,6,1,0,0,0,0,1975290,-14.03236571,3.093124421,-6.08083853,-10.29743224,"D_10","D_Gunma",1942000,7.86428571428571,0.178571428571429,1975256,1.15839818075777,5.17390227263634,1941999,61.8469897959184,0.0318877551020408,0,495,355,1.8666610568745,3.81145302790814
"Gunma-2020-03-09",49,"202003_W2","2020-03-09",11,"Gunma",4,6,7,5,0,0,0,0,1974409,-11.15470798,4.029185656,-7.720844054,-14.23050814,"D_11","D_Gunma",1942000,10.7,3.46428571428571,1974374,5.14628342148758,10.0677578835058,1941995,114.49,12.0012755102041,495,355,1310,3.56913727533858,11.6430478331838
"Gunma-2020-03-16",55,"202003_W3","2020-03-16",12,"Gunma",6,7,8,11,1,0,0,0,1986592,-10.31047641,3.427004143,-6.861378013,-7.884035265,"D_12","D_Gunma",1942000,10.7928571428571,0,1986549,10.0519737724436,13.5519365209932,1941989,116.485765306122,0,355,1310,4460,11.5903790435529,17.5618706737193
"Gunma-2020-03-23",61,"202003_W4","2020-03-23",13,"Gunma",7,8,64,18,0,0,0,0,1975631,-25.59159841,5.098988792,-8.48702043,-21.74807701,"D_13","D_Gunma",1942000,10.1357142857143,7.96428571428571,1975586,13.7664627277578,17.5053502959872,1941982,102.732704081633,63.4298469387755,1310,4460,1715,16.8525485473508,29.5917435160188
"Gunma-2020-03-30",67,"202004_W1","2020-03-30",14,"Gunma",8,64,32,26,0,0,0,0,1967745,-42.11730412,4.58486905,-8.881063043,-20.55072088,"D_14","D_Gunma",1942000,10.55,2.57142857142857,1967710,17.1517872859339,74.7272978284903,1941974,111.3025,6.61224489795918,4460,1715,1980,29.5673890825642,28.1678029926581
"Gunma-2020-04-06",73,"202004_W2","2020-04-06",15,"Gunma",64,32,19,90,1,0,0,0,1972146,-51.33442425,7.632840934,-15.23795456,-37.61188033,"D_15","D_Gunma",1942000,11.3071428571429,0.214285714285714,1972124,73.8260104854561,98.3719486725031,1941910,127.851479591837,0.0459183673469388,1715,1980,2115,28.878809860686,19.3025528560328
"Gunma-2020-04-13",79,"202004_W3","2020-04-13",16,"Gunma",32,19,5,122,4,1,0,0,1978371,-51.67122391,9.527919257,-20.36541876,-36.33608825,"D_16","D_Gunma",1942000,11.9642857142857,15.0357142857143,1978344,97.9139318900339,53.7281728701402,1941878,143.144132653061,226.072704081633,1980,2115,1968,19.063330769788,6.2763975689506
"Gunma-2020-04-20",85,"202004_W4","2020-04-20",17,"Gunma",19,5,1,141,8,1,0,0,1974312,-57.13814752,11.38630889,-23.30020141,-49.82054144,"D_17","D_Gunma",1942000,12.4571428571429,0.607142857142857,1974279,53.5746648379035,25.904931634775,1941859,155.180408163265,0.368622448979592,2115,1968,1242,6.47004085968345,3.23824496709937
"Gunma-2020-04-27",91,"202004_W5","2020-04-27",18,"Gunma",5,1,0,146,2,1,0,0,1973953,-68.97245694,16.00837289,-10.44253387,-80.61329094,"D_18","D_Gunma",1942000,17.9642857142857,0,1973922,25.857087684445,7.30550756412614,1941854,322.71556122449,0,1968,1242,1422,3.12371318896159,1.84644916083187
"Gunma-2020-05-04",97,"202005_W1","2020-05-04",19,"Gunma",1,0,2,147,2,1,0,0,1971144,-38.01058882,17.1899487,-46.83174017,-72.92597559,"D_19","D_Gunma",1942000,17.8928571428571,2.21428571428571,1971119,7.2709608742973,1.76142330885178,1941853,320.154336734694,4.9030612244898,1242,1422,996,1.83504373132217,2.14590619740636
"Gunma-2020-05-11",103,"202005_W2","2020-05-11",20,"Gunma",0,2,0,147,0,1,0,0,1971143,-46.84197305,10.4241063,-18.66470204,-51.15891009,"D_20","D_Gunma",1942000,21.4571428571429,0.535714285714286,1971121,1.73497762357014,2.33579582066303,1941853,460.408979591837,0.286989795918367,1422,996,1206,2.12987566244289,1.81329065554117
"Gunma-2020-05-18",109,"202005_W3","2020-05-18",21,"Gunma",2,0,2,149,1,0,0,0,1974948,-27.55411497,9.939971005,-14.48335307,-48.51163651,"D_21","D_Gunma",1942000,17.0142857142857,8.53571428571429,1974935,2.32350114057706,2.18799255286963,1941851,289.485918367347,72.858418367347,996,1206,1818,1.73430727981161,1.79674138996821
"Gunma-2020-05-25",115,"202005_W4","2020-05-25",22,"Gunma",0,2,0,149,0,0,0,0,1973343,-31.19605821,8.597039778,-12.46627055,-43.82432782,"D_22","D_Gunma",1942000,21.6785714285714,1.89285714285714,1973313,2.20021768218335,2.18474793214222,1941851,469.960459183673,3.58290816326531,1206,1818,2442,1.8595767058844,1.88616425212731
"Gunma-2020-06-01",121,"202006_W1","2020-06-01",23,"Gunma",2,0,0,151,0,0,0,0,1971689,-29.13509096,12.16234936,-23.88073441,-58.312914,"D_23","D_Gunma",1942000,23.6714285714286,4.60714285714286,1971661,2.19497562922747,2.27898600442583,1941849,560.336530612245,21.2257653061224,1818,2442,1680,1.89189901054897,2.00280404779651
"Gunma-2020-06-08",127,"202006_W2","2020-06-08",24,"Gunma",0,0,1,151,0,0,0,0,1970638,-23.91465541,11.45731337,-21.19054648,-54.25451165,"D_24","D_Gunma",1942000,24.6785714285714,12.7857142857143,1970623,2.31175054385628,0.498885724757851,1941849,609.031887755102,163.474489795918,2442,1680,1788,2.2983942781428,1.72933026464378
"Gunma-2020-06-15",133,"202006_W3","2020-06-15",25,"Gunma",0,1,3,151,0,0,0,0,1974264,-18.60583837,5.696906954,-5.202984928,-27.7109025,"D_25","D_Gunma",1942000,23.4642857142857,5.96428571428571,1974242,0.527882789110322,2.02314445735168,1941849,550.572704081633,35.5727040816327,1680,1788,2478,1.77784585296639,3.78119847642205
"Gunma-2020-06-22",139,"202006_W4","2020-06-22",26,"Gunma",1,3,0,152,0,0,0,0,1979070,-17.58980748,5.551646488,-5.941902822,-23.85753265,"D_26","D_Gunma",1942000,22.75,7.53571428571429,1979049,2.14119252735569,6.2711064932875,1941848,517.5625,56.7869897959184,1788,2478,2592,3.79094245006277,4.26666508812311
"Gunma-2020-06-29",145,"202007_W1","2020-06-29",27,"Gunma",3,0,12,155,0,0,0,0,1969093,-16.62601883,2.902554271,-1.946009313,-21.90303492,"D_27","D_Gunma",1942000,24.6,7.21428571428571,1969072,6.45838281748046,7.40302146473527,1941845,605.16,52.0459183673469,2478,2592,3906,4.27357481676829,11.7020099325674
"Gunma-2020-07-06",151,"202007_W2","2020-07-06",28,"Gunma",0,12,12,155,0,0,0,0,1971992,-17.39170451,4.954290476,-4.526948705,-34.16656069,"D_28","D_Gunma",1942000,25.0642857142857,10.0357142857143,1971972,7.17974324374077,18.1009890351316,1941845,628.218418367347,100.71556122449,2592,3906,3000,11.0323267965273,19.0731624663394
"Gunma-2020-07-13",157,"202007_W3","2020-07-13",29,"Gunma",12,12,13,167,0,0,0,0,1976575,-8.494700572,3.218375974,2.037667803,-25.770676,"D_29","D_Gunma",1942000,21.7071428571429,5.53571428571429,1976549,18.0314874524673,31.2084786126008,1941833,471.200051020408,30.6441326530612,3906,3000,4632,19.2630937865757,36.4245516465025
"Gunma-2020-07-20",163,"202007_W4","2020-07-20",30,"Gunma",12,13,34,179,0,0,0,0,1984363,6.318277237,4.414854278,-9.055078857,-14.91257427,"D_30","D_Gunma",1942000,25.0428571428571,8.35714285714286,1984348,31.5903267101426,34.5937638461926,1941821,627.144693877551,69.8418367346939,3000,4632,4038,36.5824233922174,31.2764351579946
"Gunma-2020-07-27",169,"202007_W5","2020-07-27",31,"Gunma",13,34,72,192,0,0,0,0,1972192,-15.18785829,3.730554412,1.698300808,-32.19104782,"D_31","D_Gunma",1942000,24.8714285714286,3.82142857142857,1972168,36.6760958237162,60.1658718891393,1941808,618.587959183673,14.6033163265306,4632,4038,5106,30.7787526783665,30.1007163528541
"Gunma-2020-08-03",175,"202008_W1","2020-08-03",32,"Gunma",34,72,82,226,0,0,0,0,1994421,-16.5641808,4.754430863,0.787348596,-29.42287844,"D_32","D_Gunma",1942000,29.1142857142857,0,1994398,60.2047211575177,116.003825568633,1941774,847.641632653061,0,4038,5106,7386,30.6531096781699,43.9436158461121
"Gunma-2020-08-10",181,"202008_W2","2020-08-10",33,"Gunma",72,82,57,298,0,0,0,0,2003508,-39.87259074,7.448239265,-0.538924094,-37.65583494,"D_33","D_Gunma",1942000,31.2,3.92857142857143,2003490,115.560579584931,159.310337996249,1941702,973.44,15.4336734693878,5106,7386,9360,43.8913896820749,47.7190834947833
"Gunma-2020-08-17",187,"202008_W3","2020-08-17",34,"Gunma",82,57,45,380,0,0,0,0,1980395,-20.18090923,4.352470277,-4.369494379,-26.33590578,"D_34","D_Gunma",1942000,30.15,1.17857142857143,1980373,161.987365514007,146.574498603896,1941620,909.0225,1.3890306122449,7386,9360,5820,52.5635686404821,30.8418944704908
"Gunma-2020-08-24",193,"202008_W4","2020-08-24",35,"Gunma",57,45,65,437,0,0,0,0,1979389,-9.799688769,3.460456283,-2.900973016,-19.8959948,"D_35","D_Gunma",1942000,29.5857142857143,0.428571428571429,1979358,145.893092410919,108.592539758877,1941563,875.314489795918,0.183673469387755,9360,5820,7524,30.0161238373827,27.9227072199166
"Gunma-2020-08-31",199,"202009_W1","2020-08-31",36,"Gunma",45,65,116,482,0,0,0,0,1975699,-17.65023405,4.047430903,-3.742267145,-23.32194781,"D_36","D_Gunma",1942000,27.2,10.1785714285714,1975683,106.536330998391,112.699218016888,1941518,739.84,103.603316326531,5820,7524,13986,28.7444578990965,29.8259402580499
"Gunma-2020-09-07",205,"202009_W2","2020-09-07",37,"Gunma",65,116,36,547,0,0,0,0,1977285,-12.26708538,5.193073269,-3.398759667,-32.60077522,"D_37","D_Gunma",1942000,26.8714285714286,1.35714285714286,1977278,112.323313119981,180.462779766211,1941453,722.073673469388,1.84183673469388,7524,13986,4890,32.9333434530526,35.7496774830686
"Gunma-2020-09-14",211,"202009_W3","2020-09-14",38,"Gunma",116,36,29,663,0,0,0,0,1991903,-14.22937295,3.060424746,1.625096582,-15.16682636,"D_38","D_Gunma",1942000,24.0714285714286,6.67857142857143,1991883,180.2071062166,152.136681879856,1941337,579.433673469388,44.6033163265306,13986,4890,3810,33.7776385081574,43.6618659961332
"Gunma-2020-09-21",217,"202009_W4","2020-09-21",39,"Gunma",36,29,31,699,0,0,0,0,2000300,-7.049279361,4.41591041,-7.128236493,-3.386094124,"D_39","D_Gunma",1942000,20.7785714285714,4.71428571428571,2000272,152.960981125803,69.8425851614089,1941301,431.749030612245,22.2244897959184,4890,3810,6066,49.1749478743609,19.1746097086618
"Gunma-2020-09-28",223,"202010_W1","2020-09-28",40,"Gunma",29,31,15,728,0,0,0,0,1984190,-17.21568139,2.499408916,-0.355963162,-7.562359446,"D_40","D_Gunma",1942000,20.3357142857143,0,1984173,71.0435233074605,67.3047405674899,1941272,413.541275510204,0,3810,6066,5742,19.3282924654868,17.6914747502216
"Gunma-2020-10-05",229,"202010_W2","2020-10-05",41,"Gunma",31,15,93,759,0,0,0,0,1979642,12.95067526,1.233645349,2.821222349,-4.907878851,"D_41","D_Gunma",1942000,17.6857142857143,17.5,1979616,66.5558373310122,53.804367953171,1941241,312.784489795918,306.25,6066,5742,12774,18.2879631763985,23.8313917425263
"Gunma-2020-10-12",235,"202010_W3","2020-10-12",42,"Gunma",15,93,34,774,0,0,0,0,1985011,1.104964446,2.08429455,3.470224907,-7.796261661,"D_42","D_Gunma",1942000,17.4642857142857,2.78571428571429,1984994,52.4956874876302,111.409460621981,1941226,305.001275510204,7.76020408163265,5742,12774,5448,25.1136765876101,52.541563400445
"Gunma-2020-10-19",241,"202010_W4","2020-10-19",43,"Gunma",93,34,24,867,0,0,0,0,1991552,-5.142365125,1.913938996,6.582333358,-6.231817422,"D_43","D_Gunma",1942000,14.9428571428571,1.46428571428571,1991543,111.36966026004,129.651255233717,1941133,223.288979591837,2.14413265306122,12774,5448,5232,53.9247645632491,67.8776506616609
"Gunma-2020-10-26",247,"202010_W5","2020-10-26",44,"Gunma",34,24,31,901,0,0,0,0,1989765,-6.936036163,3.206005395,-1.117843037,-14.13915588,"D_44","D_Gunma",1942000,14.3928571428571,0,1989742,130.137485987934,66.3519838116764,1941099,207.154336734694,0,5448,5232,5616,66.4235581992009,74.90432144219
"Gunma-2020-11-02",253,"202011_W1","2020-11-02",45,"Gunma",24,31,89,925,1,0,0,0,1987881,-6.020579674,2.695370845,-0.69536928,-11.21965561,"D_45","D_Gunma",1942000,13.8928571428571,0.285714285714286,1987862,66.8227583712614,69.2146350085427,1941075,193.011479591837,0.0816326530612245,5232,5616,6522,76.566296198543,118.569851834369
"Gunma-2020-11-09",259,"202011_W2","2020-11-09",46,"Gunma",31,89,150,956,0,0,0,0,1988709,-12.28551794,2.249438531,0.269634333,-6.920653108,"D_46","D_Gunma",1942000,10.7142857142857,0,1988682,68.8595605705529,139.09576497558,1941044,114.795918367347,0,5616,6522,7680,112.217420544999,112.810441503439
"Gunma-2020-11-16",265,"202011_W3","2020-11-16",47,"Gunma",89,150,193,1045,1,0,0,0,1988313,-11.5527964,1.61809572,2.072153338,-1.716604539,"D_47","D_Gunma",1942000,14.4071428571429,0.0714285714285714,1988286,138.52836992081,255.830675087946,1940955,207.565765306122,0.00510204081632653,6522,7680,12834,113.72482660493,199.936244110824
"Gunma-2020-11-23",271,"202011_W4","2020-11-23",48,"Gunma",150,193,264,1195,0,0,0,0,1979660,-15.12487304,3.601700652,-6.998680692,-6.687357524,"D_48","D_Gunma",1942000,10.8857142857143,0,1979649,256.204722776535,356.986346101337,1940805,118.498775510204,0,7680,12834,15054,198.769181680631,179.917772395702
"Gunma-2020-11-30",277,"202012_W1","2020-11-30",49,"Gunma",193,264,281,1388,1,0,0,0,1973435,-25.88671206,2.922681882,-2.666061593,-13.95058605,"D_49","D_Gunma",1942000,7.96428571428571,0,1973423,356.007303785464,469.05469507296,1940612,63.4298469387755,0,12834,15054,16614,180.432234691778,193.571335928578
"Gunma-2020-12-07",283,"202012_W2","2020-12-07",50,"Gunma",264,281,239,1652,4,0,0,0,1979389,-13.74408752,3.246608336,-3.478165457,-14.16709402,"D_50","D_Gunma",1942000,8.45,0,1979357,466.454977849414,554.448518709654,1940348,71.4025,0,15054,16614,15696,195.188346174504,237.854775036769
"Gunma-2020-12-14",289,"202012_W3","2020-12-14",51,"Gunma",281,239,240,1933,6,0,0,0,1978874,-27.26364824,3.781963808,-4.260213516,-15.99907013,"D_51","D_Gunma",1942000,3.48571428571429,0,1978850,554.792491208383,537.755928587873,1940067,12.1502040816327,0,16614,15696,10914,253.642939170705,345.669487787487
"Gunma-2020-12-21",295,"202012_W4","2020-12-21",52,"Gunma",239,240,460,2172,3,0,0,0,1986169,-30.54298084,4.511786757,-3.128512443,-24.5597825,"D_52","D_Gunma",1942000,5.81428571428571,0,1986151,538.795857066645,509.470479181814,1939828,33.8059183673469,0,15696,10914,25410,343.935503657834,691.770365787573
"Gunma-2020-12-28",301,"202012_W5","2020-12-28",53,"Gunma",240,460,418,2412,11,0,0,0,2021296,-30.02094481,6.774151243,-3.253032338,-42.01910958,"D_53","D_Gunma",1942000,4.51428571428571,0,2021273,510.252423801497,752.036594190528,1939588,20.3787755102041,0,10914,25410,24726,698.551315834161,546.78054361878
"Gunma-2021-01-04",307,"202101_W1","2021-01-04",54,"Gunma",460,418,314,2872,3,0,0,0,1975391,-36.09960598,3.435860289,23.90516779,-61.96459801,"D_54","D_Gunma",1942000,2.73571428571429,0,1975377,777.502640702946,969.588817683799,1939128,7.48413265306122,0,25410,24726,22056,534.590944112173,314.409743854843
"Gunma-2021-01-11",313,"202101_W2","2021-01-11",55,"Gunma",418,314,263,3290,11,0,0,0,1980217,-36.52009044,6.761979889,-10.92218969,-34.02315751,"D_55","D_Gunma",1942000,4.48571428571429,0.142857142857143,1980187,965.008506663532,812.330297301074,1938710,20.1216326530612,0.0204081632653061,24726,22056,20568,312.917684908728,218.165174042456
"Gunma-2021-01-18",319,"202101_W3","2021-01-18",56,"Gunma",314,263,247,3604,6,0,0,0,1979031,-43.84797184,5.28381987,-0.297789345,-35.00142474,"D_56","D_Gunma",1942000,3.51428571428571,3.57142857142857,1979009,781.523704160335,613.182712962511,1938396,12.3502040816327,12.7551020408163,22056,20568,22530,213.259170363119,144.47298481495
"Gunma-2021-01-25",325,"202101_W4","2021-01-25",57,"Gunma",263,247,151,3867,3,0,0,0,1983459,-26.319842,5.71446902,-2.60390162,-31.64704812,"D_57","D_Gunma",1942000,5.36428571428571,0.0357142857142857,1983445,611.232270226795,530.142151946583,1938133,28.7755612244898,0.00127551020408163,20568,22530,17550,148.77170629666,114.199902609973
"Gunma-2021-02-01",331,"202102_W1","2021-02-01",58,"Gunma",247,151,110,4114,7,0,0,0,1979891,-38.25928457,4.955463228,-4.087574859,-28.46069555,"D_58","D_Gunma",1942000,5.85714285714286,0.25,1979860,530.976517644193,411.349716725212,1937886,34.3061224489796,0.0625,22530,17550,20082,108.304306092096,116.569369194696
"Gunma-2021-02-08",337,"202102_W2","2021-02-08",59,"Gunma",151,110,127,4265,3,0,0,0,1990865,-37.46425906,5.651893318,-8.037942387,-30.34831554,"D_59","D_Gunma",1942000,6.06428571428571,0,1990839,411.91250028501,272.898090291856,1937735,36.7755612244898,0,17550,20082,15996,112.743902235577,79.8173348564855
"Gunma-2021-02-15",343,"202102_W3","2021-02-15",60,"Gunma",110,127,99,4375,4,0,0,0,1989726,-37.47392646,4.004465504,0.627851882,-28.40612269,"D_60","D_Gunma",1942000,7.29285714285714,4.10714285714286,1989689,274.049644244678,247.463709427225,1937625,53.1857653061224,16.8686224489796,20082,15996,16980,80.5849732255299,85.1508609201737
"Gunma-2021-02-22",349,"202102_W4","2021-02-22",61,"Gunma",127,99,92,4502,1,0,0,0,1987269,-32.92646927,5.769157139,-6.966047349,-29.55825664,"D_61","D_Gunma",1942000,6.5,0,1987248,248.503689615723,236.154844336621,1937498,42.25,0,15996,16980,18876,82.5860719624365,142.177789361337
"Gunma-2021-03-01",355,"202103_W1","2021-03-01",62,"Gunma",99,92,126,4601,3,0,0,0,1985511,-33.00407758,4.264822897,-2.79937624,-22.75635057,"D_62","D_Gunma",1942000,8.72142857142857,1,1985483,235.794862162475,203.744375839108,1937399,76.0633163265306,1,16980,18876,18552,142.889803721832,131.236451534591
"Gunma-2021-03-08",361,"202103_W2","2021-03-08",63,"Gunma",92,126,124,4693,3,0,0,0,1979731,-26.29044351,3.924926989,-3.132530748,-23.00964619,"D_63","D_Gunma",1942000,9.5,6.14285714285714,1979695,203.411035689386,231.09085337697,1937307,90.25,37.734693877551,18876,18552,18996,126.261243487595,139.463961905674
"Gunma-2021-03-15",367,"202103_W3","2021-03-15",64,"Gunma",126,124,168,4819,4,0,0,0,1984826,-29.42226297,4.431136892,-4.91530283,-20.45431282,"D_64","D_Gunma",1942000,11.5,1.28571428571429,1984800,230.56201323337,262.635572663937,1937181,132.25,1.6530612244898,18552,18996,22158,141.787138553353,233.961861888991
"Gunma-2021-03-22",373,"202103_W4","2021-03-22",65,"Gunma",124,168,150,4943,5,0,0,0,1978808,-29.02804268,2.871529846,0.516935497,-21.57301619,"D_65","D_Gunma",1942000,11.6357142857143,0.714285714285714,1978784,262.941103496169,307.139148025849,1937057,135.389846938776,0.510204081632653,18996,22158,24420,214.175286822266,208.86990175718
"Gunma-2021-03-29",379,"202104_W1","2021-03-29",66,"Gunma",168,150,220,5111,0,0,0,0,1978013,-29.71378757,4.038674819,-2.858947047,-20.41596759,"D_66","D_Gunma",1942000,16.3,1.89285714285714,1977980,307.729939095338,336.37254430436,1936889,265.69,3.58290816326531,22158,24420,24384,194.390976820804,231.919423681315
"Gunma-2021-04-05",385,"202104_W2","2021-04-05",67,"Gunma",150,220,243,5261,2,0,0,0,1974594,-29.57997277,2.869600318,-2.560767842,-11.77870504,"D_67","D_Gunma",1942000,11.7857142857143,0.0357142857142857,1974585,336.132331413029,389.401187084212,1936739,138.90306122449,0.00127551020408163,24420,24384,27270,223.46994623521,265.432692419686
"Gunma-2021-04-12",391,"202104_W3","2021-04-12",68,"Gunma",220,243,290,5481,1,0,0,0,1979417,-29.54710337,2.872929663,0.544615316,-14.65967657,"D_68","D_Gunma",1942000,13.7285714285714,4.42857142857143,1979396,388.629489455878,484.130101536409,1936519,188.473673469388,19.6122448979592,24384,27270,27684,252.865536671743,218.974747125837
"Gunma-2021-04-19",397,"202104_W4","2021-04-19",69,"Gunma",243,290,NA,5724,1,0,0,0,1974769,-37.26315055,3.913227991,-1.841801778,-19.86977371,"D_69","D_Gunma",1942000,15.8571428571429,0,1974754,483.687651159326,709.747824263459,1936276,251.448979591837,0,27270,27684,NA,212.774903890389,NA
"Gunma-2021-04-26",403,"202104_W5","2021-04-26",70,"Gunma",290,NA,NA,6014,1,0,0,0,1990352,-26.15164777,6.001487347,-9.489424526,-18.26585322,"D_70","D_Gunma",1942000,14.51,2.15,1990324,708.086851574632,983.819618914558,1935986,210.5401,4.6225,27684,NA,NA,NA,NA
"Ibaragi-2020-01-13",2,"202001_W3","2020-01-13",3,"Ibaragi",0,0,0,0,0,0,0,0,2838165,-2.489891712,-2.033044431,0.063597851,11.81882087,"D_3","D_Ibaragi",2860000,5.88571428571429,1,2838112,0,0.00778228465907845,2860000,34.6416326530612,0.999999999999999,0,2,27,1.21670242199829,1.21430113751815
"Ibaragi-2020-01-20",8,"202001_W4","2020-01-20",4,"Ibaragi",0,0,0,0,0,0,0,0,2825981,2.734368236,-2.194517861,0.415116751,9.885945244,"D_4","D_Ibaragi",2860000,5.7,0.404761904761904,2825948,0.00501447117136461,0.0139369498819697,2860000,32.49,0.163832199546485,2,27,18,1.19573690346415,1.25357279451605
"Ibaragi-2020-01-27",14,"202001_W5","2020-01-27",5,"Ibaragi",0,0,0,0,0,0,0,0,2836664,3.523025133,-1.532332185,0.566505166,9.498613906,"D_5","D_Ibaragi",2860000,7.5,15.6904761904762,2836620,0.0138753511819209,0.0244570092131549,2860000,56.2500000000001,246.1910430839,27,18,70,1.19769633410391,1.13649117094659
"Ibaragi-2020-02-03",20,"202002_W1","2020-02-03",6,"Ibaragi",0,0,0,0,0,0,0,0,2827220,3.832124188,-0.260246966,2.309492826,-3.093950834,"D_6","D_Ibaragi",2860000,4.00476190476191,0.0476190476190476,2827199,0.024239326991494,0.0538051423014127,2860000,16.0381179138322,0.00226757369614512,18,70,272,1.24071189092649,1.41844324323444
"Ibaragi-2020-02-10",26,"202002_W2","2020-02-10",7,"Ibaragi",0,0,0,0,0,0,0,0,2832337,11.73658619,0.346036865,-0.680514782,-9.781212844,"D_7","D_Ibaragi",2860000,7.53333333333334,1.28571428571429,2832301,0.0558072311963968,0.145558318727137,2860000,56.7511111111112,1.6530612244898,70,272,527,1.34084256184195,1.58497955746777
"Ibaragi-2020-02-17",32,"202002_W3","2020-02-17",8,"Ibaragi",0,0,0,0,0,0,0,0,2838798,1.841845583,0.687470107,-1.696672177,-5.034142746,"D_8","D_Ibaragi",2860000,7.73809523809524,2.52380952380952,2838767,0.14312223088576,0.181872222255638,2860000,59.8781179138323,6.36961451247166,272,527,612,1.51633850885642,1.6215844919307
"Ibaragi-2020-02-24",38,"202002_W4","2020-02-24",9,"Ibaragi",0,0,0,0,0,0,0,0,2859287,-13.64786862,3.527168298,-8.298390447,-11.94114708,"D_9","D_Ibaragi",2860000,7.02857142857143,1.07142857142857,2859256,0.187514192610668,0.287597266290823,2860000,49.4008163265306,1.14795918367347,527,612,565,1.64758518728481,1.46438027837671
"Ibaragi-2020-03-02",44,"202003_W1","2020-03-02",10,"Ibaragi",0,0,4,0,0,0,0,0,2872317,-16.83485623,3.533758284,-5.086876765,-14.42363088,"D_10","D_Ibaragi",2860000,7.46666666666667,2.90476190476191,2872277,0.279637782617616,0.491387045000498,2860000,55.7511111111111,8.43764172335604,612,565,670,1.42075772551745,1.64799013710698
"Ibaragi-2020-03-09",50,"202003_W2","2020-03-09",11,"Ibaragi",0,4,12,0,0,0,0,0,2871371,-12.51845524,3.942082176,-5.675694043,-15.67126649,"D_11","D_Ibaragi",2860000,10.4095238095238,4.9047619047619,2871333,0.472955811384076,4.42438054051603,2860000,108.358185941043,24.0566893424035,565,670,1645,1.6744816259671,8.4313623346279
"Ibaragi-2020-03-16",56,"202003_W3","2020-03-16",12,"Ibaragi",4,12,48,4,0,0,0,0,2884145,-7.859119142,3.554610897,-5.104236099,-7.507398004,"D_12","D_Ibaragi",2860000,10.4333333333333,0.5,2884111,4.42605090515654,17.2382046271446,2859996,108.854444444444,0.25,670,1645,3360,8.24414251887394,21.4299954573711
"Ibaragi-2020-03-23",62,"202003_W4","2020-03-23",13,"Ibaragi",12,48,45,16,0,0,0,0,2870175,-27.14871376,5.243226561,-6.83002186,-23.23545025,"D_13","D_Ibaragi",2860000,9.06190476190476,7.11904761904762,2870132,17.4540118398446,61.5898320562768,2859984,82.1181179138322,50.6808390022676,1645,3360,3745,20.7566662395224,66.8187411777549
