treat,week,newcase_day_per,lnewcase_day_per
Neighboring_prefs,2020-01-13,0,0
Neighboring_prefs,2020-01-20,0,0
Neighboring_prefs,2020-01-27,0,0
Neighboring_prefs,2020-02-03,0,0
Neighboring_prefs,2020-02-10,0,0
Neighboring_prefs,2020-02-17,0.01034126163391934,0.010288156589488428
Neighboring_prefs,2020-02-24,0.025010192115347427,0.02470255606810314
Neighboring_prefs,2020-03-02,0.030400781763554808,0.029947835066766366
Neighboring_prefs,2020-03-09,0.061932452060120075,0.060090316333733705
Neighboring_prefs,2020-03-16,0.11044651828415089,0.10476220316033161
Neighboring_prefs,2020-03-23,0.28326871523229386,0.2494105065968467
Neighboring_prefs,2020-03-30,0.5746650594987186,0.45404258902638284
Neighboring_prefs,2020-04-06,1.457600322380002,0.899185395147966
Neighboring_prefs,2020-04-13,0.9379742175572482,0.6616432097460495
Neighboring_prefs,2020-04-20,0.6292760508485256,0.4881357755753017
Neighboring_prefs,2020-04-27,0.1733935117063296,0.15989998801276814
Neighboring_prefs,2020-05-04,0.10076450019884749,0.09600493858431229
Neighboring_prefs,2020-05-11,0.05112590549126545,0.04986188062020588
Neighboring_prefs,2020-05-18,0.07293931729211459,0.07040190780151344
Neighboring_prefs,2020-05-25,0.01582973583809058,0.01570575227619256
Neighboring_prefs,2020-06-01,0.030938583982014087,0.030469633892906932
Neighboring_prefs,2020-06-08,0.010976948408342482,0.010917138995348446
Neighboring_prefs,2020-06-15,0.0402122955541158,0.03942482266201415
Neighboring_prefs,2020-06-22,0.11400777522442307,0.1079641210358727
Neighboring_prefs,2020-06-29,0.2681932999181909,0.23759328912695146
Neighboring_prefs,2020-07-06,0.2482868575484246,0.2217720973397247
Neighboring_prefs,2020-07-13,0.8337738505876111,0.6063760568458829
Neighboring_prefs,2020-07-20,1.058890761557329,0.7221673725135745
Neighboring_prefs,2020-07-27,1.973735426118694,1.0898188817802112
Neighboring_prefs,2020-08-03,1.810164356203338,1.0332429713872733
Neighboring_prefs,2020-08-10,1.893180573230449,1.062356441339742
Neighboring_prefs,2020-08-17,1.7015539699904165,0.9938271518889992
Neighboring_prefs,2020-08-24,1.9841512700518193,1.093315374773729
Neighboring_prefs,2020-08-31,1.2563071361675848,0.8137294662875982
Neighboring_prefs,2020-09-07,1.3044979775020287,0.8348628555481986
