"","週","week","都道府県","sum_pop","agrgt潜在的感染者人流_lag1","agrgt潜在的感染者人流_lag2","in_risk_lag1","in_risk_lag2"
"50","202002_W4",2020-02-24,"栃木県",1979996,1.04026758253237,1.12875476535669,5.03963236410319e-07,5.24710353671811e-07
"51","202002_W4",2020-02-24,"群馬県",1980774,0.125090206616557,1.1694508083235,2.66683454419621e-08,5.31737791765082e-07
"52","202002_W4",2020-02-24,"茨城県",2859256,0.187514192610668,0.287597266290823,3.54336351078665e-08,5.56388326710265e-08
"53","202002_W4",2020-02-24,"長野県",2141839,2.14331899924138,3.35743483811854,9.90776419051733e-07,1.52010942920684e-06
"54","202002_W4",2020-02-24,"静岡県",3749760,1.37211620648883,1.75584507805449,3.33423637771037e-07,4.10302929585173e-07
"55","202003_W1",2020-03-02,"山梨県",837422,2.07334580019903,2.11727423896614,2.41081193687648e-06,2.38792124943708e-06
"56","202003_W1",2020-03-02,"栃木県",1977074,1.12625830224126,1.3098930764577,5.26917713221332e-07,5.68316132444962e-07
"57","202003_W1",2020-03-02,"群馬県",1975256,1.15839818075777,5.17390227263634,5.32385035488706e-07,2.52135019276033e-06
"58","202003_W1",2020-03-02,"茨城県",2872277,0.279637782617616,0.491387045000498,5.27953681376321e-08,8.80220072364862e-08
"59","202003_W1",2020-03-02,"長野県",2128251,3.30209655139631,2.62042861552684,1.5139563072999e-06,1.09075393898753e-06
"60","202003_W1",2020-03-02,"静岡県",3742953,1.67622840094356,3.0785464623137,3.88934207084624e-07,7.3504558594853e-07
"61","202003_W2",2020-03-09,"山梨県",843208,2.10543907299079,0.212099492904899,2.41313111555764e-06,2.9383095135552e-08
"62","202003_W2",2020-03-09,"栃木県",1984436,1.28337628308115,2.42611632269916,5.64368023462886e-07,1.11198085034687e-06
"63","202003_W2",2020-03-09,"群馬県",1974374,5.14628342148758,10.0677578835058,2.52263182006634e-06,5.00065298121236e-06
"64","202003_W2",2020-03-09,"茨城県",2871333,0.472955811384076,4.42438054051603,8.37798422393481e-08,1.43454662471628e-06
"65","202003_W2",2020-03-09,"長野県",2125260,2.50394923240455,1.5750477252257,1.07825147914365e-06,6.01124591070002e-07
"66","202003_W2",2020-03-09,"静岡県",3745371,2.93243488440177,2.93384509194637,7.02503040962071e-07,7.01798577974483e-07
"67","202003_W3",2020-03-16,"山梨県",864284,0.205521579968739,2.58235888655556,2.86933071065914e-08,2.47381467714982e-06
"68","202003_W3",2020-03-16,"栃木県",2008292,2.42659586558413,10.7729046695837,1.11071402368902e-06,5.18683888679055e-06
"69","202003_W3",2020-03-16,"群馬県",1986549,10.0519737724436,13.5519365209932,5.001571327356e-06,6.58674465539569e-06
"70","202003_W3",2020-03-16,"茨城県",2884111,4.42605090515654,17.2382046271446,1.43242302583319e-06,5.63328054991926e-06
"71","202003_W3",2020-03-16,"長野県",2150739,1.50937982861091,5.01638278370997,5.91575351932396e-07,2.12261532907369e-06
"72","202003_W3",2020-03-16,"静岡県",3790235,2.90689904687392,2.87772926810463,6.92552637737357e-07,5.63101028087071e-07
"73","202003_W4",2020-03-23,"山梨県",843544,2.90256764839826,13.9256164310172,2.48698770053532e-06,1.456277655551e-05
"74","202003_W4",2020-03-23,"栃木県",1985433,11.0953586588474,16.1888040995868,5.2096614939568e-06,7.13833769062514e-06
"75","202003_W4",2020-03-23,"群馬県",1975586,13.7664627277578,17.5053502959872,6.59892858152283e-06,7.8673251467393e-06
