"","Pref","Week","noftests"
"183","群馬県",2020-08-17,7386
"184","茨城県",2020-08-17,4266
"185","長野県",2020-08-17,8658
"186","静岡県",2020-08-17,19716
"187","山梨県",2020-08-24,2274
"188","栃木県",2020-08-24,11976
"189","群馬県",2020-08-24,9360
"190","茨城県",2020-08-24,4476
"191","長野県",2020-08-24,11262
"192","静岡県",2020-08-24,19338
"193","山梨県",2020-08-31,1674
"194","栃木県",2020-08-31,10926
"195","群馬県",2020-08-31,5820
"196","茨城県",2020-08-31,3168
"197","長野県",2020-08-31,12378
"198","静岡県",2020-08-31,13344
"199","山梨県",2020-09-07,1542
"200","栃木県",2020-09-07,10152
"201","群馬県",2020-09-07,7524
"202","茨城県",2020-09-07,2904
"203","長野県",2020-09-07,5832
"204","静岡県",2020-09-07,12528
"205","山梨県",2020-09-14,1704
"206","栃木県",2020-09-14,14358
"207","群馬県",2020-09-14,13986
"208","茨城県",2020-09-14,2544
"209","長野県",2020-09-14,4680
"210","静岡県",2020-09-14,12786
"211","山梨県",2020-09-21,1350
"212","栃木県",2020-09-21,12726
"213","群馬県",2020-09-21,4890
"214","茨城県",2020-09-21,1560
"215","長野県",2020-09-21,3786
"216","静岡県",2020-09-21,10206
"217","山梨県",2020-09-28,1512
"218","栃木県",2020-09-28,17352
"219","群馬県",2020-09-28,3810
"220","茨城県",2020-09-28,1704
"221","長野県",2020-09-28,4476
"222","静岡県",2020-09-28,11904
"223","山梨県",2020-10-05,1182
"224","栃木県",2020-10-05,17370
"225","群馬県",2020-10-05,6066
"226","茨城県",2020-10-05,1806
"227","長野県",2020-10-05,4440
"228","静岡県",2020-10-05,11538
"229","山梨県",2020-10-12,1332
"230","栃木県",2020-10-12,18072
"231","群馬県",2020-10-12,5742
"232","茨城県",2020-10-12,2856
"233","長野県",2020-10-12,5928
"234","静岡県",2020-10-12,13218
"235","山梨県",2020-10-19,1242
"236","栃木県",2020-10-19,18324
"237","群馬県",2020-10-19,12774
"238","茨城県",2020-10-19,834
"239","長野県",2020-10-19,7158
"240","静岡県",2020-10-19,12624
"241","山梨県",2020-10-26,1860
"242","栃木県",2020-10-26,13794
"243","群馬県",2020-10-26,5448
"244","茨城県",2020-10-26,2502
"245","長野県",2020-10-26,5862
"246","静岡県",2020-10-26,16524
"247","山梨県",2020-11-02,1848
"248","栃木県",2020-11-02,12030
"249","群馬県",2020-11-02,5232
"250","茨城県",2020-11-02,2148
"251","長野県",2020-11-02,9630
"252","静岡県",2020-11-02,17412
"253","山梨県",2020-11-09,3606
"254","栃木県",2020-11-09,14418
"255","群馬県",2020-11-09,5616
