週,都道府県,居住都道府県,sum_pop
202001_W3,19:山梨県,33:岡山県,51
202001_W3,19:山梨県,34:広島県,71
202001_W3,19:山梨県,35:山口県,2
202001_W3,19:山梨県,36:徳島県,14
202001_W3,19:山梨県,37:香川県,31
202001_W3,19:山梨県,38:愛媛県,46
202001_W3,19:山梨県,39:高知県,3
202001_W3,19:山梨県,40:福岡県,215
202001_W3,19:山梨県,41:佐賀県,66
202001_W3,19:山梨県,42:長崎県,16
202001_W3,19:山梨県,43:熊本県,60
202001_W3,19:山梨県,44:大分県,126
202001_W3,19:山梨県,45:宮崎県,1
202001_W3,19:山梨県,46:鹿児島県,148
202001_W3,19:山梨県,47:沖縄県,56
202001_W4,19:山梨県,01:北海道,605
202001_W4,19:山梨県,02:青森県,290
202001_W4,19:山梨県,03:岩手県,296
202001_W4,19:山梨県,04:宮城県,370
202001_W4,19:山梨県,05:秋田県,54
202001_W4,19:山梨県,06:山形県,69
202001_W4,19:山梨県,07:福島県,496
202001_W4,19:山梨県,08:茨城県,1126
202001_W4,19:山梨県,09:栃木県,799
202001_W4,19:山梨県,10:群馬県,1140
202001_W4,19:山梨県,11:埼玉県,4368
202001_W4,19:山梨県,12:千葉県,3372
202001_W4,19:山梨県,13:東京都,15629
202001_W4,19:山梨県,14:神奈川県,7009
202001_W4,19:山梨県,15:新潟県,278
202001_W4,19:山梨県,16:富山県,203
202001_W4,19:山梨県,17:石川県,83
202001_W4,19:山梨県,18:福井県,66
202001_W4,19:山梨県,19:山梨県,777414
202001_W4,19:山梨県,20:長野県,7355
202001_W4,19:山梨県,21:岐阜県,329
202001_W4,19:山梨県,22:静岡県,4142
202001_W4,19:山梨県,23:愛知県,966
202001_W4,19:山梨県,24:三重県,126
202001_W4,19:山梨県,25:滋賀県,126
202001_W4,19:山梨県,26:京都府,205
202001_W4,19:山梨県,27:大阪府,457
202001_W4,19:山梨県,28:兵庫県,358
202001_W4,19:山梨県,29:奈良県,279
202001_W4,19:山梨県,30:和歌山県,68
202001_W4,19:山梨県,31:鳥取県,0
202001_W4,19:山梨県,32:島根県,13
202001_W4,19:山梨県,33:岡山県,85
202001_W4,19:山梨県,34:広島県,112
202001_W4,19:山梨県,35:山口県,182
202001_W4,19:山梨県,36:徳島県,46
202001_W4,19:山梨県,37:香川県,19
202001_W4,19:山梨県,38:愛媛県,41
202001_W4,19:山梨県,40:福岡県,154
202001_W4,19:山梨県,41:佐賀県,126
202001_W4,19:山梨県,42:長崎県,42
202001_W4,19:山梨県,43:熊本県,53
202001_W4,19:山梨県,44:大分県,116
202001_W4,19:山梨県,46:鹿児島県,116
202001_W4,19:山梨県,47:沖縄県,46
202001_W5,19:山梨県,01:北海道,625
202001_W5,19:山梨県,02:青森県,193
202001_W5,19:山梨県,03:岩手県,298
202001_W5,19:山梨県,04:宮城県,319
202001_W5,19:山梨県,05:秋田県,41
202001_W5,19:山梨県,06:山形県,115
202001_W5,19:山梨県,07:福島県,498
202001_W5,19:山梨県,08:茨城県,845
202001_W5,19:山梨県,09:栃木県,915
202001_W5,19:山梨県,10:群馬県,872
202001_W5,19:山梨県,11:埼玉県,4296
202001_W5,19:山梨県,12:千葉県,3047
202001_W5,19:山梨県,13:東京都,14811
202001_W5,19:山梨県,14:神奈川県,7883
202001_W5,19:山梨県,15:新潟県,284
202001_W5,19:山梨県,16:富山県,46
202001_W5,19:山梨県,17:石川県,147
202001_W5,19:山梨県,18:福井県,142
202001_W5,19:山梨県,19:山梨県,783160
202001_W5,19:山梨県,20:長野県,7057
202001_W5,19:山梨県,21:岐阜県,422
202001_W5,19:山梨県,22:静岡県,4340
202001_W5,19:山梨県,23:愛知県,1363
202001_W5,19:山梨県,24:三重県,102
202001_W5,19:山梨県,25:滋賀県,148
202001_W5,19:山梨県,26:京都府,292
202001_W5,19:山梨県,27:大阪府,444
202001_W5,19:山梨県,28:兵庫県,126
