年月日,観測所,曜日,平均気温(℃),平均気温(℃)　品質情報,平均気温(℃)　均質番号,降水量の合計(mm),降水量の合計(mm)　品質情報,降水量の合計(mm)　均質番号
2020/4/17,切石,金,11.4,8,1,5.0,8,1
2020/4/18,切石,土,9.8,8,1,56.5,8,1
2020/4/19,切石,日,14.0,8,1,0.0,8,1
2020/4/20,切石,月,12.1,8,1,19.5,8,1
2020/4/21,切石,火,14.3,8,1,0.0,8,1
2020/4/22,切石,水,12.9,8,1,0.0,8,1
2020/4/23,切石,木,10.7,8,1,0.0,8,1
2020/4/24,切石,金,10.0,8,1,0.0,8,1
2020/4/25,切石,土,10.4,8,1,0.0,8,1
2020/4/26,切石,日,14.8,8,1,0.0,8,1
2020/4/27,切石,月,13.6,8,1,0.0,8,1
2020/4/28,切石,火,13.0,8,1,0.0,8,1
2020/4/29,切石,水,13.2,8,1,0.0,8,1
2020/4/30,切石,木,16.0,8,1,0.0,8,1
2020/5/1,切石,金,17.0,8,1,0.0,8,1
2020/5/2,切石,土,19.4,8,1,0.0,8,1
2020/5/3,切石,日,18.1,8,1,0.0,8,1
2020/5/4,切石,月,17.5,8,1,4.5,8,1
2020/5/5,切石,火,21.2,8,1,0.0,8,1
2020/5/6,切石,水,17.8,8,1,7.5,8,1
2020/5/7,切石,木,15.7,8,1,0.0,8,1
2020/5/8,切石,金,14.0,8,1,0.0,8,1
2020/5/9,切石,土,14.5,8,1,0.0,8,1
2020/5/10,切石,日,17.4,8,1,1.0,8,1
2020/5/11,切石,月,22.7,8,1,1.0,8,1
2020/5/12,切石,火,19.8,8,1,0.0,8,1
2020/5/13,切石,水,19.6,8,1,0.0,8,1
2020/5/14,切石,木,17.3,8,1,0.0,8,1
2020/5/15,切石,金,18.2,8,1,0.0,8,1
2020/5/16,切石,土,16.6,8,1,10.0,8,1
2020/5/17,切石,日,20.3,8,1,0.0,8,1
2020/5/18,切石,月,20.1,8,1,3.5,8,1
2020/5/19,切石,火,18.8,8,1,54.5,8,1
2020/5/20,切石,水,17.8,8,1,0.5,8,1
2020/5/21,切石,木,14.5,8,1,0.0,8,1
2020/5/22,切石,金,17.5,8,1,0.0,8,1
2020/5/23,切石,土,19.7,8,1,0.0,8,1
2020/5/24,切石,日,21.2,8,1,0.0,8,1
2020/5/25,切石,月,21.1,8,1,0.0,8,1
2020/5/26,切石,火,19.8,8,1,0.0,8,1
2020/5/27,切石,水,21.9,8,1,0.0,8,1
2020/5/28,切石,木,19.2,8,1,0.0,8,1
2020/5/29,切石,金,18.9,8,1,0.0,8,1
2020/5/30,切石,土,19.4,8,1,0.0,8,1
2020/5/31,切石,日,17.7,8,1,0.0,8,1
2020/6/1,切石,月,18.6,8,1,2.5,8,1
2020/6/2,切石,火,21.9,8,1,0.5,8,1
2020/6/3,切石,水,22.5,8,1,0.0,8,1
2020/6/4,切石,木,22.5,8,1,0.0,8,1
2020/6/5,切石,金,23.8,8,1,0.0,8,1
2020/6/6,切石,土,22.7,8,1,0.5,8,1
2020/6/7,切石,日,22.3,8,1,0.0,8,1
2020/6/8,切石,月,23.2,8,1,0.0,8,1
2020/6/9,切石,火,23.3,8,1,0.0,8,1
2020/6/10,切石,水,23.1,8,1,1.0,8,1
2020/6/11,切石,木,22.6,8,1,11.5,8,1
2020/6/12,切石,金,23.8,8,1,0.5,8,1
2020/6/13,切石,土,22.5,8,1,14.0,8,1
2020/6/14,切石,日,21.8,8,1,17.0,8,1
2020/6/15,切石,月,24.7,8,1,0.5,8,1
2020/6/16,切石,火,22.4,8,1,0.0,8,1
2020/6/17,切石,水,22.1,8,1,0.0,8,1
2020/6/18,切石,木,19.5,8,1,6.5,8,1
2020/6/19,切石,金,17.6,8,1,37.5,8,1
2020/6/20,切石,土,21.2,8,1,0.0,8,1
2020/6/21,切石,日,22.9,8,1,0.0,8,1
2020/6/22,切石,月,18.7,8,1,16.5,8,1
2020/6/23,切石,火,22.6,8,1,0.5,8,1
2020/6/24,切石,水,24.1,8,1,0.0,8,1
2020/6/25,切石,木,23.0,8,1,13.5,8,1
2020/6/26,切石,金,24.6,8,1,0.5,8,1
2020/6/27,切石,土,24.6,8,1,0.0,8,1
2020/6/28,切石,日,21.4,8,1,24.5,8,1
2020/6/29,切石,月,22.8,8,1,0.0,8,1
2020/6/30,切石,火,20.6,8,1,53.0,8,1
2020/7/1,切石,水,23.2,8,1,34.0,8,1
2020/7/2,切石,木,24.0,8,1,0.0,8,1
2020/7/3,切石,金,21.3,8,1,17.0,8,1
2020/7/4,切石,土,22.0,8,1,47.5,8,1
2020/7/5,切石,日,23.3,8,1,3.5,8,1
2020/7/6,切石,月,22.8,8,1,46.5,8,1
2020/7/7,切石,火,24.4,8,1,11.0,8,1
2020/7/8,切石,水,23.6,8,1,38.0,8,1
2020/7/9,切石,木,22.1,8,1,32.0,8,1
2020/7/10,切石,金,23.1,8,1,2.0,8,1
2020/7/11,切石,土,23.9,8,1,35.0,8,1
2020/7/12,切石,日,24.9,8,1,1.0,8,1
2020/7/13,切石,月,20.8,8,1,4.5,8,1
2020/7/14,切石,火,20.9,8,1,3.0,8,1
2020/7/15,切石,水,23.2,8,1,0.0,8,1
2020/7/16,切石,木,23.4,8,1,0.0,8,1
2020/7/17,切石,金,20.9,8,1,50.5,8,1
2020/7/18,切石,土,22.5,8,1,14.0,8,1
2020/7/19,切石,日,24.8,8,1,0.0,8,1
2020/7/20,切石,月,25.2,8,1,0.0,8,1
2020/7/21,切石,火,25.8,8,1,0.0,8,1
2020/7/22,切石,水,26.3,8,1,5.0,8,1
2020/7/23,切石,木,22.6,8,1,1.5,8,1
2020/7/24,切石,金,23.4,8,1,13.0,8,1
2020/7/25,切石,土,22.1,8,1,93.5,8,1
2020/7/26,切石,日,23.0,8,1,61.5,8,1
2020/7/27,切石,月,23.5,8,1,1.0,8,1
2020/7/28,切石,火,23.9,8,1,3.5,8,1
2020/7/29,切石,水,23.4,8,1,8.0,8,1
2020/7/30,切石,木,23.3,8,1,2.0,8,1
2020/7/31,切石,金,24.5,8,1,20.0,8,1
2020/8/1,切石,土,24.9,8,1,0.5,8,1
2020/8/2,切石,日,25.6,8,1,0.0,8,1
2020/8/3,切石,月,25.3,8,1,0.0,8,1
2020/8/4,切石,火,26.7,8,1,0.0,8,1
2020/8/5,切石,水,27.5,8,1,0.0,8,1
2020/8/6,切石,木,27.0,8,1,0.0,8,1
2020/8/7,切石,金,27.0,8,1,0.0,8,1
2020/8/8,切石,土,27.4,8,1,0.0,8,1
2020/8/9,切石,日,27.2,8,1,0.0,8,1
2020/8/10,切石,月,27.6,8,1,0.0,8,1
2020/8/11,切石,火,29.0,8,1,0.0,8,1
2020/8/12,切石,水,28.3,8,1,1.0,8,1
2020/8/13,切石,木,27.6,8,1,0.5,8,1
2020/8/14,切石,金,28.2,8,1,0.0,8,1
2020/8/15,切石,土,29.1,8,1,0.0,8,1
2020/8/16,切石,日,29.6,8,1,0.0,8,1
2020/8/17,切石,月,29.3,8,1,0.0,8,1
2020/8/18,切石,火,29.1,8,1,0.0,8,1
2020/8/19,切石,水,28.8,8,1,0.0,8,1
2020/8/20,切石,木,28.6,8,1,0.0,8,1
2020/8/21,切石,金,29.0,8,1,0.0,8,1
2020/8/22,切石,土,26.7,8,1,4.5,8,1
2020/8/23,切石,日,24.8,8,1,0.0,8,1
2020/8/24,切石,月,26.6,8,1,0.0,8,1
2020/8/25,切石,火,27.4,8,1,0.0,8,1
2020/8/26,切石,水,27.9,8,1,0.0,8,1
2020/8/27,切石,木,27.3,8,1,0.0,8,1
2020/8/28,切石,金,25.1,8,1,8.5,8,1
2020/8/29,切石,土,28.0,8,1,0.0,8,1
2020/8/30,切石,日,28.5,8,1,0.0,8,1
2020/8/31,切石,月,27.7,8,1,0.0,8,1
2020/9/1,切石,火,26.1,8,1,0.0,8,1
2020/9/2,切石,水,26.4,8,1,0.0,8,1
2020/9/3,切石,木,25.1,8,1,53.5,8,1
2020/9/4,切石,金,26.6,8,1,0.0,8,1
2020/9/5,切石,土,26.5,8,1,7.0,8,1
2020/9/6,切石,日,24.7,8,1,24.0,8,1
2020/9/7,切石,月,24.1,8,1,102.5,8,1
2020/9/8,切石,火,25.2,8,1,0.0,8,1
2020/9/9,切石,水,24.2,8,1,35.5,8,1
2020/9/10,切石,木,23.4,8,1,3.0,8,1
2020/9/11,切石,金,25.2,8,1,0.0,8,1
2020/9/12,切石,土,23.3,8,1,0.0,8,1
2020/9/13,切石,日,23.2,8,1,0.0,8,1
2020/9/14,切石,月,24.9,8,1,0.0,8,1
2020/9/15,切石,火,23.0,8,1,0.0,8,1
2020/9/16,切石,水,23.0,8,1,0.0,8,1
2020/9/17,切石,木,24.2,8,1,0.0,8,1
2020/9/18,切石,金,26.7,8,1,0.0,8,1
2020/9/19,切石,土,25.3,8,1,0.0,8,1
2020/9/20,切石,日,20.9,8,1,1.5,8,1
2020/9/21,切石,月,21.3,8,1,0.0,8,1
2020/9/22,切石,火,21.1,8,1,0.0,8,1
2020/9/23,切石,水,20.0,8,1,1.5,8,1
2020/9/24,切石,木,20.9,8,1,0.0,8,1
2020/9/25,切石,金,19.9,8,1,30.5,8,1
2020/9/26,切石,土,19.8,8,1,2.0,8,1
2020/9/27,切石,日,20.3,8,1,19.0,8,1
2020/9/28,切石,月,19.2,8,1,0.0,8,1
2020/9/29,切石,火,18.2,8,1,0.0,8,1
2020/9/30,切石,水,17.5,8,1,0.0,8,1
2020/10/1,切石,木,19.0,8,1,0.0,8,1
2020/10/2,切石,金,19.0,8,1,0.0,8,1
2020/10/3,切石,土,19.5,8,1,0.0,8,1
2020/10/4,切石,日,19.6,8,1,0.0,8,1
2020/10/5,切石,月,19.6,8,1,0.0,8,1
2020/10/6,切石,火,16.5,8,1,0.0,8,1
2020/10/7,切石,水,15.9,8,1,11.0,8,1
2020/10/8,切石,木,14.3,8,1,55.0,8,1
2020/10/9,切石,金,15.0,8,1,50.5,8,1
2020/10/10,切石,土,16.0,8,1,102.0,8,1
2020/10/11,切石,日,19.6,8,1,0.0,8,1
2020/10/12,切石,月,20.1,8,1,0.0,8,1
2020/10/13,切石,火,20.8,8,1,0.0,8,1
2020/10/14,切石,水,18.6,8,1,0.0,8,1
2020/10/15,切石,木,17.4,8,1,0.0,8,1
2020/10/16,切石,金,15.4,8,1,0.0,8,1
2020/10/17,切石,土,12.3,8,1,21.0,8,1
2020/10/18,切石,日,12.5,8,1,0.0,8,1
2020/10/19,切石,月,10.8,8,1,6.5,8,1
2020/10/20,切石,火,11.9,8,1,0.0,8,1
2020/10/21,切石,水,12.5,8,1,0.0,8,1
2020/10/22,切石,木,13.9,8,1,0.5,8,1
2020/10/23,切石,金,15.1,8,1,17.5,8,1
2020/10/24,切石,土,13.5,8,1,0.0,8,1
2020/10/25,切石,日,10.5,8,1,0.0,8,1
2020/10/26,切石,月,11.2,8,1,0.0,8,1
2020/10/27,切石,火,12.5,8,1,0.0,8,1
2020/10/28,切石,水,13.6,8,1,0.0,8,1
2020/10/29,切石,木,14.0,8,1,0.0,8,1
2020/10/30,切石,金,11.3,8,1,0.0,8,1
2020/10/31,切石,土,8.6,8,1,0.0,8,1
2020/11/1,切石,日,9.0,8,1,0.0,8,1
2020/11/2,切石,月,11.5,8,1,1.0,8,1
2020/11/3,切石,火,14.3,8,1,3.5,8,1
2020/11/4,切石,水,8.9,8,1,0.0,8,1
2020/11/5,切石,木,8.0,8,1,0.0,8,1
2020/11/6,切石,金,9.4,8,1,0.0,8,1
2020/11/7,切石,土,11.0,8,1,7.0,8,1
2020/11/8,切石,日,13.5,8,1,0.0,8,1
2020/11/9,切石,月,9.8,8,1,0.0,8,1
2020/11/10,切石,火,8.4,8,1,0.0,8,1
2020/11/11,切石,水,7.6,8,1,0.0,8,1
2020/11/12,切石,木,8.1,8,1,0.0,8,1
2020/11/13,切石,金,9.7,8,1,0.0,8,1
2020/11/14,切石,土,8.6,8,1,0.0,8,1
2020/11/15,切石,日,8.6,8,1,0.0,8,1
2020/11/16,切石,月,10.4,8,1,0.0,8,1
2020/11/17,切石,火,10.7,8,1,0.0,8,1
2020/11/18,切石,水,13.1,8,1,0.0,8,1
2020/11/19,切石,木,16.3,8,1,0.0,8,1
2020/11/20,切石,金,17.7,8,1,3.0,8,1
2020/11/21,切石,土,12.8,8,1,0.0,8,1
2020/11/22,切石,日,11.1,8,1,0.0,8,1
2020/11/23,切石,月,14.3,8,1,0.0,8,1
2020/11/24,切石,火,10.9,8,1,0.0,8,1
2020/11/25,切石,水,11.6,8,1,0.0,8,1
2020/11/26,切石,木,10.4,8,1,0.0,8,1
2020/11/27,切石,金,10.4,8,1,0.0,8,1
2020/11/28,切石,土,9.6,8,1,0.0,8,1
2020/11/29,切石,日,7.4,8,1,0.0,8,1
2020/11/30,切石,月,6.1,8,1,0.0,8,1
2020/12/1,切石,火,5.9,8,1,0.0,8,1
2020/12/2,切石,水,7.5,8,1,0.0,8,1
2020/12/3,切石,木,8.9,8,1,0.0,8,1
2020/12/4,切石,金,7.0,8,1,0.0,8,1
2020/12/5,切石,土,6.9,8,1,0.0,8,1
2020/12/6,切石,日,6.2,8,1,0.0,8,1
2020/12/7,切石,月,7.4,8,1,0.0,8,1
2020/12/8,切石,火,9.3,8,1,0.0,8,1
2020/12/9,切石,水,7.8,8,1,0.0,8,1
2020/12/10,切石,木,6.0,8,1,0.0,8,1
2020/12/11,切石,金,6.4,8,1,0.0,8,1
2020/12/12,切石,土,7.1,8,1,0.0,8,1
2020/12/13,切石,日,6.6,8,1,0.0,8,1
2020/12/14,切石,月,7.7,8,1,0.0,8,1
2020/12/15,切石,火,2.7,8,1,0.0,8,1
2020/12/16,切石,水,0.7,8,1,0.0,8,1
2020/12/17,切石,木,0.2,8,1,0.0,8,1
2020/12/18,切石,金,0.1,8,1,0.0,8,1
2020/12/19,切石,土,1.9,8,1,0.0,8,1
2020/12/20,切石,日,0.1,8,1,0.0,8,1
2020/12/21,切石,月,-0.8,8,1,0.0,8,1
2020/12/22,切石,火,-0.3,8,1,0.0,8,1
2020/12/23,切石,水,1.4,8,1,0.0,8,1
2020/12/24,切石,木,2.1,8,1,0.0,8,1
2020/12/25,切石,金,3.7,8,1,0.0,8,1
2020/12/26,切石,土,1.3,8,1,0.0,8,1
2020/12/27,切石,日,3.0,8,1,0.0,8,1
2020/12/28,切石,月,4.5,8,1,0.0,8,1
2020/12/29,切石,火,3.4,8,1,0.0,8,1
2020/12/30,切石,水,5.2,8,1,4.0,8,1
2020/12/31,切石,木,0.7,8,1,0.0,8,1
2021/1/1,切石,金,1.3,8,1,0.0,8,1
2021/1/2,切石,土,0.2,8,1,0.0,8,1
2021/1/3,切石,日,1.2,8,1,0.0,8,1
2021/1/4,切石,月,1.8,8,1,0.0,8,1
2021/1/5,切石,火,2.3,8,1,0.0,8,1
2021/1/6,切石,水,3.2,8,1,0.0,8,1
2021/1/7,切石,木,3.1,8,1,0.0,8,1
2021/1/8,切石,金,-1.0,8,1,0.0,8,1
2021/1/9,切石,土,-1.7,8,1,0.0,8,1
2021/1/10,切石,日,-2.5,8,1,0.0,8,1
2021/1/11,切石,月,-1.9,8,1,0.0,8,1
2021/1/12,切石,火,-0.6,8,1,3.0,8,1
2021/1/13,切石,水,1.0,8,1,0.0,8,1
2021/1/14,切石,木,1.3,8,1,0.0,8,1
2021/1/15,切石,金,3.0,8,1,0.0,8,1
2021/1/16,切石,土,4.4,8,1,0.0,8,1
2021/1/17,切石,日,3.8,8,1,0.0,8,1
2021/1/18,切石,月,2.7,8,1,0.0,8,1
2021/1/19,切石,火,4.1,8,1,0.0,8,1
2021/1/20,切石,水,0.0,8,1,0.0,8,1
2021/1/21,切石,木,1.4,8,1,0.0,8,1
2021/1/22,切石,金,3.7,8,1,0.0,8,1
2021/1/23,切石,土,6.1,8,1,14.5,8,1
2021/1/24,切石,日,5.9,8,1,15.0,8,1
2021/1/25,切石,月,5.5,8,1,1.0,8,1
2021/1/26,切石,火,4.4,8,1,1.0,8,1
2021/1/27,切石,水,8.4,8,1,5.5,8,1
2021/1/28,切石,木,4.2,8,1,4.0,8,1
2021/1/29,切石,金,3.1,8,1,0.0,8,1
2021/1/30,切石,土,1.6,8,1,0.0,8,1
2021/1/31,切石,日,1.9,8,1,0.0,8,1
2021/2/1,切石,月,5.4,8,1,2.5,8,1
2021/2/2,切石,火,8.2,8,1,10.0,8,1
2021/2/3,切石,水,2.9,8,1,0.0,8,1
2021/2/4,切石,木,3.1,8,1,0.0,8,1
2021/2/5,切石,金,1.8,5,1,0.0,8,1
2021/2/6,切石,土,4.9,8,1,0.0,8,1
2021/2/7,切石,日,5.5,8,1,0.0,8,1
2021/2/8,切石,月,5.4,8,1,0.0,8,1
2021/2/9,切石,火,1.0,8,1,0.0,8,1
2021/2/10,切石,水,1.7,8,1,0.0,8,1
2021/2/11,切石,木,4.6,8,1,0.0,8,1
2021/2/12,切石,金,4.9,8,1,0.0,8,1
2021/2/13,切石,土,7.4,8,1,0.0,8,1
2021/2/14,切石,日,10.2,8,1,0.0,8,1
2021/2/15,切石,月,9.4,8,1,48.5,8,1
2021/2/16,切石,火,9.1,8,1,0.0,8,1
2021/2/17,切石,水,5.2,8,1,0.0,8,1
2021/2/18,切石,木,1.1,8,1,0.0,8,1
2021/2/19,切石,金,1.8,8,1,0.0,8,1
2021/2/20,切石,土,6.9,8,1,0.0,8,1
2021/2/21,切石,日,10.8,8,1,0.0,8,1
2021/2/22,切石,月,10.3,8,1,0.0,8,1
2021/2/23,切石,火,11.1,8,1,0.0,8,1
2021/2/24,切石,水,6.5,8,1,0.0,8,1
2021/2/25,切石,木,4.8,8,1,0.0,8,1
2021/2/26,切石,金,6.2,8,1,0.0,8,1
2021/2/27,切石,土,5.1,8,1,0.0,8,1
2021/2/28,切石,日,4.5,8,1,0.0,8,1
2021/3/1,切石,月,8.7,8,1,0.0,8,1
2021/3/2,切石,火,13.0,8,1,9.5,8,1
2021/3/3,切石,水,7.1,8,1,0.0,8,1
2021/3/4,切石,木,8.8,8,1,0.0,8,1
2021/3/5,切石,金,8.6,8,1,6.0,8,1
2021/3/6,切石,土,12.2,8,1,0.0,8,1
2021/3/7,切石,日,7.3,8,1,0.0,8,1
2021/3/8,切石,月,7.3,8,1,4.0,8,1
2021/3/9,切石,火,9.5,8,1,0.0,8,1
2021/3/10,切石,水,10.5,8,1,0.0,8,1
2021/3/11,切石,木,8.2,8,1,0.0,8,1
2021/3/12,切石,金,8.8,8,1,4.5,8,1
2021/3/13,切石,土,6.8,8,1,50.5,8,1
2021/3/14,切石,日,9.3,8,1,0.0,8,1
2021/3/15,切石,月,9.0,8,1,0.0,8,1
2021/3/16,切石,火,11.5,8,1,0.0,8,1
2021/3/17,切石,水,11.7,8,1,0.0,8,1
2021/3/18,切石,木,10.3,8,1,0.0,8,1
2021/3/19,切石,金,12.9,8,1,0.0,8,1
2021/3/20,切石,土,14.1,8,1,0.0,8,1
2021/3/21,切石,日,13.2,8,1,51.5,8,1
2021/3/22,切石,月,10.3,8,1,3.0,8,1
2021/3/23,切石,火,6.9,8,1,0.0,8,1
2021/3/24,切石,水,9.7,8,1,0.0,8,1
2021/3/25,切石,木,10.5,8,1,0.0,8,1
2021/3/26,切石,金,10.8,8,1,0.0,8,1
2021/3/27,切石,土,11.1,8,1,0.0,8,1
2021/3/28,切石,日,13.3,8,1,26.5,8,1
2021/3/29,切石,月,16.0,8,1,20.0,8,1
2021/3/30,切石,火,16.0,8,1,0.0,8,1
2021/3/31,切石,水,15.8,8,1,0.0,8,1
2021/4/1,切石,木,15.4,8,1,0.0,8,1
2021/4/2,切石,金,15.9,8,1,0.0,8,1
2021/4/3,切石,土,14.7,8,1,0.0,8,1
2021/4/4,切石,日,14.3,8,1,5.0,8,1
2021/4/5,切石,月,13.9,8,1,2.5,8,1
2021/4/6,切石,火,10.0,8,1,0.0,8,1
2021/4/7,切石,水,12.3,8,1,0.0,8,1
2021/4/8,切石,木,11.7,8,1,0.0,8,1
2021/4/9,切石,金,10.2,8,1,0.0,8,1
2021/4/10,切石,土,10.2,8,1,0.0,8,1
2021/4/11,切石,日,11.8,8,1,0.0,8,1
2021/4/12,切石,月,12.7,8,1,0.0,8,1
2021/4/13,切石,火,13.6,8,1,2.0,8,1
2021/4/14,切石,水,16.3,8,1,0.5,8,1
2021/4/15,切石,木,10.8,8,1,0.0,8,1
2021/4/16,切石,金,11.6,8,1,0.5,8,1
2021/4/17,切石,土,12.0,8,1,38.5,8,1
2021/4/18,切石,日,11.9,8,1,0.0,8,1
2021/4/19,切石,月,11.6,8,1,0.0,8,1
2021/4/20,切石,火,13.8,8,1,0.0,8,1
2021/4/21,切石,水,14.9,8,1,0.0,8,1
2021/4/22,切石,木,15.6,8,1,0.0,8,1
2021/4/23,切石,金,13.0,8,1,0.0,8,1
2021/4/24,切石,土,13.3,8,1,0.0,8,1
2021/4/25,切石,日,14.3,8,1,0.0,8,1
2021/4/26,切石,月,12.5,8,1,0.0,8,1
2021/4/27,切石,火,12.7,8,1,0.0,8,1
2021/4/28,切石,水,15.2,8,1,0.0,8,1
2021/4/29,切石,木,14.8,8,1,30.0,8,1
2021/4/30,切石,金,16.8,8,1,0.0,8,1
2021/5/1,切石,土,14.0,8,1,9.5,8,1
2021/5/2,切石,日,14.6,8,1,0.0,8,1
2021/5/3,切石,月,13.0,8,1,0.0,8,1
2021/5/4,切石,火,14.6,8,1,0.0,8,1
2021/5/5,切石,水,16.2,8,1,0.0,8,1
2021/5/6,切石,木,19.1,8,1,0.0,8,1
2021/5/7,切石,金,15.9,8,1,2.0,8,1
2021/5/8,切石,土,17.3,8,1,0.0,8,1
2021/5/9,切石,日,19.1,8,1,0.0,8,1
2021/5/10,切石,月,16.1,8,1,0.0,8,1
2021/5/11,切石,火,16.0,8,1,0.0,8,1
2021/5/12,切石,水,15.7,8,1,0.5,8,1
2021/5/13,切石,木,16.1,8,1,0.0,8,1
2021/5/14,切石,金,19.5,8,1,0.0,8,1
2021/5/15,切石,土,21.3,8,1,0.0,8,1
2021/5/16,切石,日,17.5,8,1,1.0,8,1
2021/5/17,切石,月,21.9,8,1,1.5,8,1
2021/5/18,切石,火,22.6,8,1,0.0,8,1
2020/3/1,南部,日,10.1,8,1,0.5,8,1
2020/3/2,南部,月,9.8,8,1,4.0,8,1
2020/3/3,南部,火,9.9,8,1,0.0,8,1
2020/3/4,南部,水,9.1,8,1,13.5,8,1
2020/3/5,南部,木,8.7,8,1,0.5,8,1
2020/3/6,南部,金,7.6,8,1,0.0,8,1
2020/3/7,南部,土,9.1,8,1,0.0,8,1
2020/3/8,南部,日,7.5,8,1,41.0,8,1
2020/3/9,南部,月,13.2,8,1,0.0,8,1
2020/3/10,南部,火,12.3,8,1,40.5,8,1
2020/3/11,南部,水,13.9,8,1,0.0,8,1
2020/3/12,南部,木,9.7,8,1,0.0,8,1
2020/3/13,南部,金,9.8,8,1,0.0,8,1
2020/3/14,南部,土,5.9,8,1,13.0,8,1
2020/3/15,南部,日,7.0,8,1,0.0,8,1
2020/3/16,南部,月,6.2,8,1,0.0,8,1
2020/3/17,南部,火,6.2,8,1,0.0,8,1
2020/3/18,南部,水,11.2,8,1,0.0,8,1
2020/3/19,南部,木,12.8,8,1,3.0,8,1
2020/3/20,南部,金,13.5,8,1,0.0,8,1
2020/3/21,南部,土,12.3,8,1,0.0,8,1
2020/3/22,南部,日,12.9,8,1,0.0,8,1
2020/3/23,南部,月,10.1,8,1,0.0,8,1
2020/3/24,南部,火,7.6,8,1,0.0,8,1
2020/3/25,南部,水,8.5,8,1,0.0,8,1
2020/3/26,南部,木,12.0,8,1,0.0,8,1
2020/3/27,南部,金,14.1,8,1,8.0,8,1
2020/3/28,南部,土,16.4,8,1,15.0,8,1
2020/3/29,南部,日,7.5,8,1,74.5,8,1
2020/3/30,南部,月,8.3,8,1,0.0,8,1
2020/3/31,南部,火,10.5,8,1,5.5,8,1
2020/4/1,南部,水,12.5,8,1,38.5,8,1
2020/4/2,南部,木,14.4,8,1,0.0,8,1
2020/4/3,南部,金,11.0,8,1,0.0,8,1
2020/4/4,南部,土,12.8,8,1,0.0,8,1
2020/4/5,南部,日,12.1,8,1,0.0,8,1
2020/4/6,南部,月,10.9,8,1,0.0,8,1
2020/4/7,南部,火,10.6,8,1,0.0,8,1
2020/4/8,南部,水,12.3,8,1,0.0,8,1
2020/4/9,南部,木,12.6,8,1,0.0,8,1
2020/4/10,南部,金,10.6,8,1,0.0,8,1
2020/4/11,南部,土,9.6,8,1,5.5,8,1
2020/4/12,南部,日,10.0,8,1,12.0,8,1
2020/4/13,南部,月,7.4,8,1,44.5,8,1
2020/4/14,南部,火,11.2,8,1,0.0,8,1
2020/4/15,南部,水,12.0,8,1,0.0,8,1
2020/4/16,南部,木,13.0,8,1,26.5,8,1
2020/4/17,南部,金,11.4,8,1,8.0,8,1
2020/4/18,南部,土,10.7,8,1,90.5,8,1
2020/4/19,南部,日,14.6,8,1,0.0,8,1
2020/4/20,南部,月,12.2,8,1,30.5,8,1
2020/4/21,南部,火,14.5,8,1,0.0,8,1
2020/4/22,南部,水,13.4,8,1,0.0,8,1
2020/4/23,南部,木,11.7,8,1,0.0,8,1
2020/4/24,南部,金,11.3,8,1,0.0,8,1
2020/4/25,南部,土,10.8,8,1,0.0,8,1
2020/4/26,南部,日,16.2,8,1,0.5,8,1
2020/4/27,南部,月,14.1,8,1,0.0,8,1
2020/4/28,南部,火,13.2,8,1,0.0,8,1
2020/4/29,南部,水,13.7,8,1,0.0,8,1
2020/4/30,南部,木,16.9,8,1,0.0,8,1
2020/5/1,南部,金,18.2,8,1,0.0,8,1
2020/5/2,南部,土,20.2,8,1,0.0,8,1
2020/5/3,南部,日,19.0,8,1,0.0,8,1
2020/5/4,南部,月,19.2,8,1,2.0,8,1
2020/5/5,南部,火,21.7,8,1,0.0,8,1
2020/5/6,南部,水,17.7,8,1,12.5,8,1
2020/5/7,南部,木,17.0,8,1,0.0,8,1
2020/5/8,南部,金,15.4,8,1,0.0,8,1
2020/5/9,南部,土,15.8,8,1,0.0,8,1
2020/5/10,南部,日,19.1,8,1,7.5,8,1
2020/5/11,南部,月,22.9,8,1,0.5,8,1
2020/5/12,南部,火,20.5,8,1,0.0,8,1
2020/5/13,南部,水,21.0,8,1,0.0,8,1
2020/5/14,南部,木,18.8,8,1,0.0,8,1
2020/5/15,南部,金,19.0,8,1,0.0,8,1
2020/5/16,南部,土,16.9,8,1,16.5,8,1
2020/5/17,南部,日,21.0,8,1,0.0,8,1
2020/5/18,南部,月,20.8,8,1,5.5,8,1
2020/5/19,南部,火,19.2,8,1,67.5,8,1
2020/5/20,南部,水,17.2,8,1,2.0,8,1
2020/5/21,南部,木,14.8,8,1,0.5,8,1
2020/5/22,南部,金,17.9,8,1,0.0,8,1
2020/5/23,南部,土,19.9,8,1,0.0,8,1
2020/5/24,南部,日,21.5,8,1,0.0,8,1
2020/5/25,南部,月,21.3,8,1,0.0,8,1
2020/5/26,南部,火,21.2,8,1,0.0,8,1
2020/5/27,南部,水,22.5,8,1,0.0,8,1
2020/5/28,南部,木,20.4,8,1,0.0,8,1
2020/5/29,南部,金,19.5,8,1,0.0,8,1
2020/5/30,南部,土,21.0,8,1,0.0,8,1
2020/5/31,南部,日,18.9,8,1,0.0,8,1
2020/6/1,南部,月,19.4,8,1,1.5,8,1
2020/6/2,南部,火,22.5,8,1,0.5,8,1
2020/6/3,南部,水,23.2,8,1,0.0,8,1
2020/6/4,南部,木,23.4,8,1,0.0,8,1
2020/6/5,南部,金,24.7,8,1,0.0,8,1
2020/6/6,南部,土,23.8,8,1,0.5,8,1
2020/6/7,南部,日,23.3,8,1,0.0,8,1
