date,pref,NSHR,M15,M20,M30,M40,M50,M60,M70,F15,F20,F30,F40,F50,F60,F70
2020-01-01,秋田県,0.627027,0.408944,0.521729,0.499728,0.521317,0.505706,0.557781,0.584224,0.40463,0.388354,0.406433,0.465596,0.462621,0.464759,0.561311
2020-01-01,群馬県,0.825456,0.673228,0.682719,0.596036,0.609358,0.634964,0.623064,0.548432,0.58906,0.544425,0.505172,0.563747,0.581331,0.551985,0.527962
2020-01-01,茨城県,0.957494,0.711689,0.679194,0.577688,0.595541,0.625119,0.595952,0.537953,0.568395,0.546006,0.465737,0.535551,0.538015,0.508023,0.511561
2020-01-01,長崎県,0.901642,0.533987,0.68389200000000006,0.554426,0.569981,0.607831,0.595396,0.57686,0.416464,0.543235,0.506157,0.527319,0.582697,0.542711,0.590333
2020-01-01,長野県,0.703769,0.600029,0.589761,0.535843,0.581321,0.599749,0.612516,0.554414,0.561814,0.464188,0.47539,0.546864,0.575512,0.557295,0.526492
2020-01-01,青森県,0.685197,0.613971,0.535759,0.518004,0.52852,0.57609,0.555004,0.544477,0.428836,0.415114,0.433203,0.47166,0.505733,0.523837,0.575707
2020-01-01,静岡県,0.900997,0.709932,0.701594,0.61534,0.621813,0.653785,0.627543,0.54563,0.606592,0.602007,0.529823,0.575788,0.590297,0.536647,0.530247
2020-01-01,香川県,0.813265,0.627754,0.713993,0.561725,0.590098,0.629669,0.592649,0.527677,0.443392,0.550178,0.467395,0.555023,0.552662,0.505927,0.494162
2020-01-01,高知県,0.873061,0.673368,0.608915,0.551858,0.576346,0.598399,0.562492,0.536628,0.520699,0.485956,0.479024,0.555555,0.556594,0.564159,0.597871
2020-01-01,鳥取県,0.876842,0.648914,0.649344,0.567151,0.608234,0.600886,0.615816,0.589682,0.607815,0.5877,0.535691,0.575364,0.573778,0.60644,0.555358
2020-01-01,鹿児島県,0.756406,0.535763,0.53983,0.484851,0.523578,0.562518,0.553585,0.52634,0.477986,0.456108,0.429601,0.488154,0.494807,0.470432,0.511168
2020-01-02,三重県,0.037233,0.425599,0.424826,0.423197,0.421338,0.467431,0.454274,0.340928,0.365954,0.286599,0.294582,0.378081,0.387571,0.32561,0.347423
2020-01-02,京都府,0.313734,0.554084,0.515151,0.479064,0.481938,0.522578,0.50481,0.392817,0.45496,0.369526,0.330046,0.39233,0.425937,0.379434,0.368638
2020-01-02,佐賀県,0.11707,0.439804,0.441655,0.429577,0.470099,0.498649,0.504294,0.332383,0.363105,0.303443,0.365276,0.439044,0.462664,0.425706,0.370676
2020-01-02,兵庫県,0.4026,0.445423,0.487022,0.503004,0.496722,0.512568,0.506321,0.439218,0.350188,0.344575,0.344658,0.391619,0.411112,0.358121,0.377156
2020-01-02,北海道,0.234346,0.411576,0.442689,0.436038,0.457676,0.512156,0.501917,0.444683,0.353359,0.301554,0.300179,0.376685,0.406118,0.369165,0.40702700000000003
2020-01-02,千葉県,0.492599,0.462506,0.507113,0.506455,0.517802,0.546349,0.517189,0.429816,0.408562,0.3648,0.346941,0.397894,0.42461,0.346433,0.333563
2020-01-02,和歌山県,-0.149632,0.365502,0.372001,0.361269,0.36784,0.409827,0.390042,0.350151,0.225738,0.146344,0.268634,0.287135,0.326872,0.283359,0.342276
2020-01-02,埼玉県,0.551135,0.540686,0.542327,0.544851,0.543281,0.570915,0.529615,0.435997,0.487145,0.418766,0.396346,0.428905,0.43758,0.357011,0.309587
2020-01-02,大分県,-0.097793,0.413555,0.394455,0.401889,0.425986,0.431011,0.439253,0.287413,0.341826,0.250632,0.278584,0.323029,0.356285,0.274655,0.315169
2020-01-02,大阪府,0.42451,0.527944,0.499691,0.498959,0.485358,0.523642,0.492384,0.40211,0.448256,0.363714,0.333569,0.378519,0.415082,0.329784,0.343545
2020-01-02,奈良県,0.235268,0.534327,0.422703,0.482024,0.47986,0.515755,0.482121,0.400567,0.419958,0.354918,0.314857,0.378233,0.403932,0.341186,0.340728
2020-01-02,宮城県,0.432664,0.462753,0.476353,0.446818,0.455199,0.503487,0.469061,0.342394,0.473479,0.343789,0.314386,0.386761,0.398291,0.315273,0.290876
2020-01-02,宮崎県,-0.021336,0.211532,0.401372,0.349091,0.349702,0.400319,0.372656,0.283959,0.187733,0.293819,0.264304,0.322618,0.345295,0.339478,0.253412
2020-01-02,富山県,0.220737,0.517384,0.518968,0.499618,0.519485,0.54432,0.553389,0.414978,0.479328,0.413505,0.394144,0.496956,0.474474,0.418566,0.359605
2020-01-02,山口県,-0.004833,0.493401,0.404347,0.413259,0.460922,0.486961,0.456416,0.378253,0.334958,0.288228,0.294108,0.371665,0.403447,0.355552,0.344278
2020-01-02,山形県,-0.09132,0.545169,0.294444,0.347894,0.378371,0.463064,0.44318,0.351451,0.395634,0.157423,0.246808,0.326496,0.346365,0.356148,0.333611
2020-01-02,山梨県,-0.033105,0.480285,0.414579,0.379392,0.406728,0.457584,0.383517,0.310522,0.458578,0.246841,0.272367,0.369263,0.369576,0.280809,0.308943
2020-01-02,岐阜県,0.103734,0.494042,0.396687,0.440427,0.446548,0.492895,0.470307,0.37792,0.418479,0.310122,0.351415,0.385524,0.412395,0.367506,0.36517
2020-01-02,岡山県,0.169158,0.498243,0.494658,0.442845,0.451705,0.494349,0.48087,0.406841,0.471392,0.300877,0.332286,0.410642,0.430063,0.382509,0.383744
2020-01-02,岩手県,-0.126704,0.353057,0.329102,0.344824,0.351927,0.402764,0.38567,0.317029,0.317608,0.224857,0.26954,0.297669,0.347988,0.289893,0.272135
2020-01-02,島根県,-0.114427,0.535134,0.415893,0.410118,0.424634,0.520835,0.438727,0.363298,0.416137,0.284305,0.389593,0.417659,0.457403,0.412071,0.398524
2020-01-02,広島県,0.368453,0.445858,0.495195,0.476674,0.476923,0.52303,0.501879,0.417444,0.358495,0.294384,0.336077,0.393819,0.439047,0.375853,0.366434
2020-01-02,徳島県,-0.054824,0.448631,0.364562,0.373941,0.407271,0.438362,0.408572,0.267634,0.473229,0.301604,0.293151,0.365433,0.382677,0.311286,0.305345
2020-01-02,愛媛県,-0.079186,0.377076,0.405914,0.378457,0.396785,0.434551,0.419753,0.394202,0.228289,0.17951,0.259405,0.334938,0.333553,0.321292,0.306673
2020-01-02,愛知県,0.389408,0.576134,0.556714,0.525472,0.500166,0.530396,0.474149,0.341755,0.491203,0.375043,0.332214,0.375783,0.394927,0.309259,0.293578
2020-01-02,新潟県,-0.018151,0.538525,0.392684,0.371844,0.423842,0.446303,0.469895,0.392313,0.452026,0.216142,0.277544,0.363687,0.391628,0.359617,0.38335
2020-01-02,東京都,0.696293,0.487263,0.592644,0.575645,0.545104,0.561942,0.520489,0.40443,0.423644,0.514593,0.497054,0.472952,0.481847,0.396801,0.360435
2020-01-02,栃木県,0.1332,0.482841,0.489867,0.44835,0.433006,0.480633,0.441662,0.275777,0.421681,0.281201,0.248743,0.348946,0.3591,0.282502,0.23916
2020-01-02,沖縄県,0.107665,0.599048,0.586437,0.476145,0.468058,0.514927,0.441842,0.408443,0.496043,0.407001,0.404882,0.428177,0.451893,0.371248,0.337602
2020-01-02,滋賀県,0.348044,0.554331,0.499617,0.458937,0.478154,0.516209,0.502169,0.416326,0.459527,0.31633,0.333389,0.415918,0.446707,0.377293,0.381103
2020-01-02,熊本県,0.117395,0.465285,0.379127,0.400181,0.407283,0.44169,0.418164,0.330198,0.3705,0.257891,0.275735,0.340223,0.375202,0.326734,0.31902199999999997
2020-01-02,石川県,0.195943,0.623874,0.555185,0.497521,0.493471,0.538389,0.460343,0.36428,0.507656,0.37542,0.353036,0.447297,0.440949,0.33234,0.303703
2020-01-02,神奈川県,0.65298,0.531407,0.584191,0.574193,0.57082,0.596575,0.568534,0.488992,0.46124,0.458901,0.448861,0.456405,0.47773,0.408489,0.428896
2020-01-02,福井県,0.097253,0.467735,0.456695,0.423965,0.416937,0.474084,0.455429,0.340363,0.429398,0.285252,0.2893,0.378387,0.372123,0.359855,0.342337
2020-01-02,福岡県,0.371369,0.473663,0.481594,0.460244,0.469476,0.514254,0.476913,0.392757,0.380968,0.337735,0.351655,0.400196,0.429901,0.36084,0.367367
2020-01-02,福島県,-0.142826,0.369888,0.411242,0.377684,0.404041,0.445959,0.415226,0.316196,0.280858,0.212419,0.238002,0.311341,0.365718,0.273817,0.344179
2020-01-02,秋田県,-0.428175,0.246582,0.325123,0.376324,0.351733,0.417095,0.37779,0.366026,0.247942,0.181115,0.286863,0.325326,0.354247,0.285114,0.42719
2020-01-02,群馬県,0.023566,0.462484,0.432098,0.420171,0.43054,0.465329,0.432268,0.325285,0.432511,0.285245,0.286725,0.364878,0.367073,0.334439,0.267486
2020-01-02,茨城県,0.093408,0.449122,0.419212,0.398371,0.422779,0.471012,0.473276,0.34959,0.385636,0.238664,0.271172,0.35129,0.358967,0.35285,0.313208
2020-01-02,長崎県,-0.144595,0.2635,0.288976,0.351317,0.374198,0.405862,0.439813,0.378603,0.073009,0.182393,0.260886,0.322781,0.373374,0.340183,0.386371
2020-01-02,長野県,-0.122761,0.375265,0.332142,0.336437,0.393384,0.443625,0.434804,0.354077,0.298176,0.18307,0.247993,0.340094,0.369837,0.338685,0.31554
2020-01-02,青森県,-0.264888,0.454741,0.384122,0.351606,0.384303,0.400155,0.41673,0.343122,0.28339,0.194901,0.263774,0.324711,0.341459,0.35332,0.427919
2020-01-02,静岡県,0.116507,0.478654,0.449128,0.45841,0.458631,0.499368,0.488727,0.370435,0.424525,0.286002,0.299564,0.384283,0.418645,0.348897,0.344472
2020-01-02,香川県,0.103931,0.418024,0.410874,0.416786,0.452264,0.50059,0.456882,0.318429,0.326369,0.224201,0.314433,0.404466,0.410507,0.338682,0.322315
2020-01-02,高知県,-0.06768,0.467669,0.433172,0.403193,0.413726,0.472404,0.429785,0.363906,0.333903,0.317196,0.304222,0.408939,0.421419,0.372113,0.367336
2020-01-02,鳥取県,0.075718,0.52981,0.447536,0.422812,0.45847,0.497996,0.449003,0.380522,0.513786,0.343866,0.348366,0.421096,0.41122,0.425809,0.371732
2020-01-02,鹿児島県,-0.026278,0.315078,0.29751,0.333152,0.353618,0.391712,0.39098,0.296979,0.312038,0.164654,0.200425,0.295479,0.302759,0.278103,0.258348
2020-01-03,三重県,-0.020605,0.434334,0.42389,0.411713,0.420516,0.467116,0.406051,0.271698,0.33364,0.267744,0.295323,0.348316,0.376274,0.319035,0.284754
2020-01-03,京都府,0.303614,0.562458,0.549833,0.490186,0.478061,0.523019,0.493992,0.341997,0.446202,0.395803,0.346706,0.406348,0.445153,0.347425,0.305942
2020-01-03,佐賀県,-0.11096,0.400677,0.472676,0.412974,0.430013,0.474335,0.444639,0.293282,0.369101,0.360801,0.387246,0.407226,0.435351,0.34367,0.399789
2020-01-03,兵庫県,0.30757,0.437606,0.518031,0.485363,0.479287,0.507115,0.484007,0.380248,0.363219,0.354057,0.336619,0.385437,0.410246,0.3429,0.341593
2020-01-03,北海道,0.148914,0.448572,0.487896,0.438377,0.46016,0.500481,0.473759,0.369986,0.400375,0.346339,0.323961,0.38146,0.392905,0.327944,0.353133
2020-01-03,千葉県,0.442039,0.454006,0.520621,0.502724,0.501353,0.540797,0.503855,0.375459,0.390977,0.371991,0.343904,0.385953,0.420051,0.32983,0.299885
2020-01-03,和歌山県,-0.332583,0.319212,0.408475,0.360536,0.3672,0.399011,0.387538,0.284951,0.220877,0.162224,0.273731,0.301088,0.329858,0.301688,0.303319
2020-01-03,埼玉県,0.494701,0.510996,0.554016,0.534339,0.52438,0.55121,0.514873,0.37853,0.45501,0.42537,0.382923,0.406578,0.437897,0.341318,0.290835
2020-01-03,大分県,-0.083184,0.432367,0.500555,0.431677,0.421481,0.449701,0.414127,0.304342,0.348637,0.320437,0.308329,0.356978,0.378539,0.301583,0.270774
2020-01-03,大阪府,0.405882,0.499188,0.516921,0.491818,0.467241,0.500904,0.459561,0.355352,0.424262,0.37076,0.342586,0.384958,0.41549,0.31088,0.293918
2020-01-03,奈良県,0.180925,0.483022,0.428663,0.46689,0.441762,0.490205,0.470549,0.378206,0.391693,0.33807,0.32409,0.375053,0.388581,0.35094,0.328595
