"City","population"
"合計",822390
"甲府市",187171
"富士吉田市",48331
"都留市",29859
"山梨市",34357
"大月市",23516
"韮崎市",29124
"南アルプス市",71370
"北杜市",46421
"甲斐市",75522
"笛吹市",68924
"上野原市",22799
"甲州市",30990
"中央市",30978
"市川三郷町",15604
"早川町",1018
"身延町",11306
"南部町",7569
"富士川町",14855
"昭和町",20452
"道志村",1652
"西桂町",4238
"忍野村",9595
"山中湖村",5789
"鳴沢村",3133
"富士河口湖町",26562
"小菅村",715
"丹波山村",540
"東部地域",79081
"富士北麓地域",97648
"中北地域",461038
"峡南地域",50352
"峡東地域",134271
