"","公表日","city","Nofcases"
"143",2020-04-05,"富士吉田市",0.059
"144",2020-04-05,"富士川町",0.58
"145",2020-04-05,"富士河口湖町",0.032
"146",2020-04-05,"小菅村",0.001
"147",2020-04-05,"山中湖村",0.007
"148",2020-04-05,"山梨市",2.042
"149",2020-04-05,"市川三郷町",0.531
"150",2020-04-05,"忍野村",0.012
"151",2020-04-05,"早川町",0.001
"152",2020-04-05,"昭和町",0.025
"153",2020-04-05,"甲州市",3.464
"154",2020-04-05,"甲府市",7.728
"155",2020-04-05,"甲斐市",0.606
"156",2020-04-05,"笛吹市",0.575
"157",2020-04-05,"西桂町",0.005
"158",2020-04-05,"身延町",0.014
"159",2020-04-05,"道志村",0.002
"160",2020-04-05,"都留市",0.036
"161",2020-04-05,"韮崎市",0.035
"162",2020-04-05,"鳴沢村",0.004
"163",2020-04-12,"上野原市",4.028
"164",2020-04-12,"中央市",0.038
"165",2020-04-12,"丹波山村",0.001
"166",2020-04-12,"北杜市",0.67
"167",2020-04-12,"南アルプス市",1.087
"168",2020-04-12,"南部町",0.159
"169",2020-04-12,"大月市",0.029
"170",2020-04-12,"富士吉田市",0.059
"171",2020-04-12,"富士川町",0.313
"172",2020-04-12,"富士河口湖町",0.032
"173",2020-04-12,"小菅村",0.001
"174",2020-04-12,"山中湖村",0.007
"175",2020-04-12,"山梨市",0.042
"176",2020-04-12,"市川三郷町",0.329
"177",2020-04-12,"忍野村",0.012
"178",2020-04-12,"早川町",0.021
"179",2020-04-12,"昭和町",0.238
"180",2020-04-12,"甲州市",0.038
"181",2020-04-12,"甲府市",4.941
"182",2020-04-12,"甲斐市",1.166
"183",2020-04-12,"笛吹市",1.084
"184",2020-04-12,"西桂町",0.005
"185",2020-04-12,"身延町",0.239
"186",2020-04-12,"道志村",0.002
"187",2020-04-12,"都留市",0.036
"188",2020-04-12,"韮崎市",0.421
"189",2020-04-12,"鳴沢村",0.004
"190",2020-04-19,"上野原市",2
"191",2020-04-19,"中央市",0
"192",2020-04-19,"丹波山村",0
"193",2020-04-19,"北杜市",0
"194",2020-04-19,"南アルプス市",0
"195",2020-04-19,"南部町",0
"196",2020-04-19,"大月市",0
"197",2020-04-19,"富士吉田市",0
"198",2020-04-19,"富士川町",0
"199",2020-04-19,"富士河口湖町",0
"200",2020-04-19,"小菅村",0
"201",2020-04-19,"山中湖村",0
"202",2020-04-19,"山梨市",0
"203",2020-04-19,"市川三郷町",0
"204",2020-04-19,"忍野村",0
"205",2020-04-19,"早川町",0
"206",2020-04-19,"昭和町",0
"207",2020-04-19,"甲州市",0
"208",2020-04-19,"甲府市",2
"209",2020-04-19,"甲斐市",0
"210",2020-04-19,"笛吹市",0
"211",2020-04-19,"西桂町",0
"212",2020-04-19,"身延町",0
"213",2020-04-19,"道志村",0
"214",2020-04-19,"都留市",0
"215",2020-04-19,"韮崎市",0
"216",2020-04-19,"鳴沢村",0
"217",2020-04-26,"上野原市",0
"218",2020-04-26,"中央市",0
"219",2020-04-26,"丹波山村",0
"220",2020-04-26,"北杜市",0
"221",2020-04-26,"南アルプス市",0
"222",2020-04-26,"南部町",0
"223",2020-04-26,"大月市",0
"224",2020-04-26,"富士吉田市",0.619
"225",2020-04-26,"富士川町",0
"226",2020-04-26,"富士河口湖町",0.34
"227",2020-04-26,"小菅村",0
"228",2020-04-26,"山中湖村",0
"229",2020-04-26,"山梨市",0
"230",2020-04-26,"市川三郷町",0
"231",2020-04-26,"忍野村",0
"232",2020-04-26,"早川町",0
"233",2020-04-26,"昭和町",0
"234",2020-04-26,"甲州市",0
"235",2020-04-26,"甲府市",2
"236",2020-04-26,"甲斐市",0
"237",2020-04-26,"笛吹市",0
"238",2020-04-26,"西桂町",0
"239",2020-04-26,"身延町",0
"240",2020-04-26,"道志村",0
"241",2020-04-26,"都留市",0
"242",2020-04-26,"韮崎市",0
"243",2020-04-26,"鳴沢村",0.04
"244",2020-05-03,"上野原市",0
"245",2020-05-03,"中央市",0
"246",2020-05-03,"丹波山村",0
"247",2020-05-03,"北杜市",0
"248",2020-05-03,"南アルプス市",0
"249",2020-05-03,"南部町",0
"250",2020-05-03,"大月市",0
"251",2020-05-03,"富士吉田市",0.412
"252",2020-05-03,"富士川町",0
"253",2020-05-03,"富士河口湖町",0
"254",2020-05-03,"小菅村",0
"255",2020-05-03,"山中湖村",0
"256",2020-05-03,"山梨市",0
"257",2020-05-03,"市川三郷町",0
"258",2020-05-03,"忍野村",0
"259",2020-05-03,"早川町",0
"260",2020-05-03,"昭和町",0
"261",2020-05-03,"甲州市",0
"262",2020-05-03,"甲府市",0
"263",2020-05-03,"甲斐市",0
"264",2020-05-03,"笛吹市",0.588
"265",2020-05-03,"西桂町",0
"266",2020-05-03,"身延町",0
"267",2020-05-03,"道志村",0
"268",2020-05-03,"都留市",0
"269",2020-05-03,"韮崎市",0
"270",2020-05-03,"鳴沢村",0
"271",2020-05-10,"上野原市",0
"272",2020-05-10,"中央市",0
"273",2020-05-10,"丹波山村",0
"274",2020-05-10,"北杜市",0
"275",2020-05-10,"南アルプス市",0
"276",2020-05-10,"南部町",0
"277",2020-05-10,"大月市",0
"278",2020-05-10,"富士吉田市",0
"279",2020-05-10,"富士川町",0
"280",2020-05-10,"富士河口湖町",0
"281",2020-05-10,"小菅村",0
"282",2020-05-10,"山中湖村",0
"283",2020-05-10,"山梨市",0
"284",2020-05-10,"市川三郷町",0
"285",2020-05-10,"忍野村",0
"286",2020-05-10,"早川町",0
"287",2020-05-10,"昭和町",0
"288",2020-05-10,"甲州市",0
"289",2020-05-10,"甲府市",1
"290",2020-05-10,"甲斐市",0
"291",2020-05-10,"笛吹市",0
"292",2020-05-10,"西桂町",0
"293",2020-05-10,"身延町",0
"294",2020-05-10,"道志村",0
"295",2020-05-10,"都留市",0
"296",2020-05-10,"韮崎市",0
"297",2020-05-10,"鳴沢村",0
"298",2020-05-17,"上野原市",0
"299",2020-05-17,"中央市",0.192
"300",2020-05-17,"丹波山村",0
"301",2020-05-17,"北杜市",0
"302",2020-05-17,"南アルプス市",0
"303",2020-05-17,"南部町",0
"304",2020-05-17,"大月市",0
"305",2020-05-17,"富士吉田市",0
"306",2020-05-17,"富士川町",0
"307",2020-05-17,"富士河口湖町",0
"308",2020-05-17,"小菅村",0
"309",2020-05-17,"山中湖村",0
"310",2020-05-17,"山梨市",0.214
"311",2020-05-17,"市川三郷町",0
"312",2020-05-17,"忍野村",0
"313",2020-05-17,"早川町",0
"314",2020-05-17,"昭和町",0
"315",2020-05-17,"甲州市",0
"316",2020-05-17,"甲府市",2.164
"317",2020-05-17,"甲斐市",0
"318",2020-05-17,"笛吹市",0.428
"319",2020-05-17,"西桂町",0
"320",2020-05-17,"身延町",0
"321",2020-05-17,"道志村",0
