"","city","公表日","Nofcases","cum_cases"
"126","富士川町",2020-03-10,0,0.036
"127","昭和町",2020-03-10,0,0.05
"128","道志村",2020-03-10,0,0.004
"129","西桂町",2020-03-10,0,0.01
"130","忍野村",2020-03-10,0,0.024
"131","山中湖村",2020-03-10,0,0.014
"132","鳴沢村",2020-03-10,0,0.008
"133","富士河口湖町",2020-03-10,0,0.064
"134","小菅村",2020-03-10,0,0.002
"135","丹波山村",2020-03-10,0,0.002
"136","甲府市",2020-03-11,0,0.456
"137","富士吉田市",2020-03-11,0,0.118
"138","都留市",2020-03-11,0,0.072
"139","山梨市",2020-03-11,0,0.084
"140","大月市",2020-03-11,0,0.058
"141","韮崎市",2020-03-11,0,0.07
"142","南アルプス市",2020-03-11,0,0.174
"143","北杜市",2020-03-11,0,0.112
"144","甲斐市",2020-03-11,0,0.184
"145","笛吹市",2020-03-11,0,0.168
"146","上野原市",2020-03-11,0,0.056
"147","甲州市",2020-03-11,0,0.076
"148","中央市",2020-03-11,0,0.076
"149","市川三郷町",2020-03-11,0,0.038
"150","早川町",2020-03-11,0,0.002
"151","身延町",2020-03-11,0,0.028
"152","南部町",2020-03-11,0,0.018
"153","富士川町",2020-03-11,0,0.036
"154","昭和町",2020-03-11,0,0.05
"155","道志村",2020-03-11,0,0.004
"156","西桂町",2020-03-11,0,0.01
"157","忍野村",2020-03-11,0,0.024
"158","山中湖村",2020-03-11,0,0.014
"159","鳴沢村",2020-03-11,0,0.008
"160","富士河口湖町",2020-03-11,0,0.064
"161","小菅村",2020-03-11,0,0.002
"162","丹波山村",2020-03-11,0,0.002
"163","甲府市",2020-03-12,0,0.456
"164","富士吉田市",2020-03-12,0,0.118
"165","都留市",2020-03-12,0,0.072
"166","山梨市",2020-03-12,0,0.084
"167","大月市",2020-03-12,0,0.058
"168","韮崎市",2020-03-12,0,0.07
"169","南アルプス市",2020-03-12,0,0.174
"170","北杜市",2020-03-12,0,0.112
"171","甲斐市",2020-03-12,0,0.184
"172","笛吹市",2020-03-12,0,0.168
"173","上野原市",2020-03-12,0,0.056
"174","甲州市",2020-03-12,0,0.076
"175","中央市",2020-03-12,0,0.076
"176","市川三郷町",2020-03-12,0,0.038
"177","早川町",2020-03-12,0,0.002
"178","身延町",2020-03-12,0,0.028
"179","南部町",2020-03-12,0,0.018
"180","富士川町",2020-03-12,0,0.036
"181","昭和町",2020-03-12,0,0.05
"182","道志村",2020-03-12,0,0.004
"183","西桂町",2020-03-12,0,0.01
"184","忍野村",2020-03-12,0,0.024
"185","山中湖村",2020-03-12,0,0.014
"186","鳴沢村",2020-03-12,0,0.008
"187","富士河口湖町",2020-03-12,0,0.064
"188","小菅村",2020-03-12,0,0.002
"189","丹波山村",2020-03-12,0,0.002
"190","甲府市",2020-03-13,0,0.456
"191","富士吉田市",2020-03-13,0,0.118
