date,state,value
2020/6/4,鳥取県,0.3684
2020/6/4,京都府,0.412034
2020/6/4,滋賀県,0.403881
2020/6/4,岐阜県,0.398593
2020/6/4,長野県,0.447193
2020/6/4,山梨県,0.395094
2020/6/4,千葉県,0.500049
2020/6/4,神奈川県,0.52717
2020/6/4,福井県,0.333286
2020/6/4,埼玉県,0.49098
2020/6/4,茨城県,0.416219
2020/6/4,石川県,0.484784
2020/6/4,富山県,0.436621
2020/6/4,群馬県,0.43427
2020/6/4,栃木県,0.426216
2020/6/4,新潟県,0.419007
2020/6/4,福島県,0.437998
2020/6/4,山形県,0.382837
2020/6/4,宮城県,0.408745
2020/6/4,秋田県,0.316069
2020/6/4,岩手県,0.431798
2020/6/4,青森県,0.330579
2020/6/4,北海道,0.469644
2020/6/5,沖縄県,0.104545
2020/6/5,東京都,0.398226
2020/6/5,鹿児島県,0.151237
2020/6/5,宮崎県,0.116159
2020/6/5,長崎県,0.267555
2020/6/5,熊本県,0.328107
2020/6/5,佐賀県,0.245781
2020/6/5,福岡県,0.342759
2020/6/5,大分県,0.258983
2020/6/5,高知県,0.310629
2020/6/5,愛媛県,0.232216
2020/6/5,山口県,0.156391
2020/6/5,徳島県,0.200236
2020/6/5,和歌山県,0.195624
2020/6/5,三重県,0.142641
2020/6/5,奈良県,0.28371
2020/6/5,島根県,0.330174
2020/6/5,広島県,0.190248
2020/6/5,香川県,0.18735
2020/6/5,岡山県,0.215431
2020/6/5,兵庫県,0.28264
2020/6/5,大阪府,0.247348
2020/6/5,愛知県,0.256845
2020/6/5,静岡県,0.197822
2020/6/5,鳥取県,0.197219
2020/6/5,京都府,0.280756
2020/6/5,滋賀県,0.232227
2020/6/5,岐阜県,0.272397
2020/6/5,長野県,0.373176
2020/6/5,山梨県,0.394948
2020/6/5,千葉県,0.404036
2020/6/5,神奈川県,0.417944
2020/6/5,福井県,0.233581
2020/6/5,埼玉県,0.402894
2020/6/5,茨城県,0.319037
2020/6/5,石川県,0.352647
2020/6/5,富山県,0.350904
2020/6/5,群馬県,0.365141
2020/6/5,栃木県,0.386735
2020/6/5,新潟県,0.399298
2020/6/5,福島県,0.270728
2020/6/5,山形県,0.299859
2020/6/5,宮城県,0.330905
2020/6/5,秋田県,0.242132
2020/6/5,岩手県,0.28016
2020/6/5,青森県,0.110691
2020/6/5,北海道,0.355983
2020/6/6,沖縄県,0.257728
2020/6/6,東京都,0.492112
2020/6/6,鹿児島県,0.265964
2020/6/6,宮崎県,0.325962
2020/6/6,長崎県,0.31323
2020/6/6,熊本県,0.356732
2020/6/6,佐賀県,0.348545
2020/6/6,福岡県,0.360301
2020/6/6,大分県,0.368271
2020/6/6,高知県,0.356082
2020/6/6,愛媛県,0.364356
2020/6/6,山口県,0.378794
2020/6/6,徳島県,0.390519
2020/6/6,和歌山県,0.348264
2020/6/6,三重県,0.27439
2020/6/6,奈良県,0.332843
2020/6/6,島根県,0.563944
2020/6/6,広島県,0.325267
2020/6/6,香川県,0.333658
2020/6/6,岡山県,0.342269
2020/6/6,兵庫県,0.364439
2020/6/6,大阪府,0.318227
2020/6/6,愛知県,0.284588
2020/6/6,静岡県,0.366186
2020/6/6,鳥取県,0.34957
2020/6/6,京都府,0.342849
2020/6/6,滋賀県,0.365675
2020/6/6,岐阜県,0.409795
2020/6/6,長野県,0.441711
2020/6/6,山梨県,0.4392
2020/6/6,千葉県,0.454472
2020/6/6,神奈川県,0.489463
2020/6/6,福井県,0.286182
2020/6/6,埼玉県,0.499481
2020/6/6,茨城県,0.396497
2020/6/6,石川県,0.45843
2020/6/6,富山県,0.475143
2020/6/6,群馬県,0.445356
2020/6/6,栃木県,0.395505
2020/6/6,新潟県,0.34763
2020/6/6,福島県,0.339212
2020/6/6,山形県,0.415511
2020/6/6,宮城県,0.333385
2020/6/6,秋田県,0.372527
2020/6/6,岩手県,0.398717
2020/6/6,青森県,0.310863
2020/6/6,北海道,0.413733
2020/6/7,沖縄県,0.446828
2020/6/7,東京都,0.53293
2020/6/7,鹿児島県,0.396903
2020/6/7,宮崎県,0.462315
2020/6/7,長崎県,0.363609
