"date","Sales","type","week"
2019-02-05,62914.5555555556,"actual",2019-02-04
2019-02-05,137816.216210925,"counterfactual",2019-02-04
2019-02-05,82109.0811940881,"fitted",2019-02-04
2019-02-06,72849.2222222222,"actual",2019-02-04
2019-02-06,184787.269597323,"counterfactual",2019-02-04
2019-02-06,86777.0053259742,"fitted",2019-02-04
2019-02-07,63316.8888888889,"actual",2019-02-04
2019-02-07,100623.282480492,"counterfactual",2019-02-04
2019-02-07,84525.3951360925,"fitted",2019-02-04
2019-02-08,110938.777777778,"actual",2019-02-04
2019-02-08,68009.3483639671,"counterfactual",2019-02-04
2019-02-08,141182.043516807,"fitted",2019-02-04
2019-02-09,185264.111111111,"actual",2019-02-04
2019-02-09,82109.0811940889,"counterfactual",2019-02-04
2019-02-09,184159.991985547,"fitted",2019-02-04
2019-02-10,173857.888888889,"actual",2019-02-04
2019-02-10,86777.0053259751,"counterfactual",2019-02-04
2019-02-10,171946.776219392,"fitted",2019-02-04
2019-02-11,102721.888888889,"actual",2019-02-11
2019-02-11,84525.3951360934,"counterfactual",2019-02-11
2019-02-11,97088.8941273073,"fitted",2019-02-11
2019-02-12,53674.5555555556,"actual",2019-02-11
2019-02-12,141182.043516808,"counterfactual",2019-02-11
2019-02-12,71652.6201690569,"fitted",2019-02-11
2019-02-13,97276.8333333333,"actual",2019-02-11
2019-02-13,184159.991985549,"counterfactual",2019-02-11
2019-02-13,91567.5676578499,"fitted",2019-02-11
2019-02-14,88111.2222222222,"actual",2019-02-11
2019-02-14,171946.776219395,"counterfactual",2019-02-11
2019-02-14,88847.2701855806,"fitted",2019-02-11
2019-02-15,120833.333333333,"actual",2019-02-11
2019-02-15,97088.8941273073,"counterfactual",2019-02-11
2019-02-15,148400.42851849,"fitted",2019-02-11
2019-02-16,169073.111111111,"actual",2019-02-11
2019-02-16,71652.6201690574,"counterfactual",2019-02-11
2019-02-16,201806.278105017,"fitted",2019-02-11
2019-02-17,120189.888888889,"actual",2019-02-11
2019-02-17,91567.5676578507,"counterfactual",2019-02-11
2019-02-17,120910.580879823,"fitted",2019-02-11
2019-02-18,79207.2777777778,"actual",2019-02-18
2019-02-18,88847.2701855817,"counterfactual",2019-02-18
2019-02-18,69887.0291996234,"fitted",2019-02-18
2019-02-19,81488.3333333333,"actual",2019-02-18
2019-02-19,148400.428518492,"counterfactual",2019-02-18
2019-02-19,83480.4796450173,"fitted",2019-02-18
2019-02-20,95209.8333333333,"actual",2019-02-18
2019-02-20,201806.27810502,"counterfactual",2019-02-18
2019-02-20,100409.008960918,"fitted",2019-02-18
2019-02-21,80141.3888888889,"actual",2019-02-18
2019-02-21,120910.580879825,"counterfactual",2019-02-18
2019-02-21,95659.3014636561,"fitted",2019-02-18
2019-02-22,155348.5,"actual",2019-02-18
2019-02-22,69887.0291996244,"counterfactual",2019-02-18
2019-02-22,155854.548703145,"fitted",2019-02-18
2019-02-23,179503.666666667,"actual",2019-02-18
2019-02-23,83480.4796450182,"counterfactual",2019-02-18
2019-02-23,203806.044719296,"fitted",2019-02-18
2019-02-24,98579.2222222222,"actual",2019-02-18
2019-02-24,100409.008960919,"counterfactual",2019-02-18
2019-02-24,121241.075927759,"fitted",2019-02-18
2019-02-25,87453.3333333333,"actual",2019-02-25
2019-02-25,95659.3014636576,"counterfactual",2019-02-25
2019-02-25,76060.8390244497,"fitted",2019-02-25
2019-02-26,61875.3333333333,"actual",2019-02-25
2019-02-26,155854.548703146,"counterfactual",2019-02-25
2019-02-26,90541.9674053545,"fitted",2019-02-25
2019-02-27,95408.5,"actual",2019-02-25
2019-02-27,203806.044719298,"counterfactual",2019-02-25
2019-02-27,102331.722298018,"fitted",2019-02-25
2019-02-28,82572.2777777778,"actual",2019-02-25
2019-02-28,121241.07592776,"counterfactual",2019-02-25
2019-02-28,92213.2474849329,"fitted",2019-02-25
2019-03-01,126520.277777778,"actual",2019-02-25
2019-03-01,76060.8390244506,"counterfactual",2019-02-25
2019-03-01,150445.156860144,"fitted",2019-02-25
2019-03-02,192008.833333333,"actual",2019-02-25
2019-03-02,90541.9674053548,"counterfactual",2019-02-25
2019-03-02,205855.553956297,"fitted",2019-02-25
2019-03-03,118161.5,"actual",2019-02-25
2019-03-03,102331.722298019,"counterfactual",2019-02-25
2019-03-03,118221.988509423,"fitted",2019-02-25
2019-03-04,67107.6666666667,"actual",2019-03-04
2019-03-04,92213.2474849342,"counterfactual",2019-03-04
2019-03-04,66425.6291804955,"fitted",2019-03-04
2019-03-05,76820.8333333333,"actual",2019-03-04
2019-03-05,150445.156860146,"counterfactual",2019-03-04
2019-03-05,88899.1743921147,"fitted",2019-03-04
2019-03-06,82410.1666666667,"actual",2019-03-04
2019-03-06,205855.5539563,"counterfactual",2019-03-04
2019-03-06,95546.0645244629,"fitted",2019-03-04
2019-03-07,116865.277777778,"actual",2019-03-04
2019-03-07,118221.988509424,"counterfactual",2019-03-04
2019-03-07,100885.744131867,"fitted",2019-03-04
2019-03-08,152335.055555556,"actual",2019-03-04
2019-03-08,66425.6291804968,"counterfactual",2019-03-04
2019-03-08,161392.78107544,"fitted",2019-03-04
2019-03-09,190061.166666667,"actual",2019-03-04
2019-03-09,88899.1743921164,"counterfactual",2019-03-04
2019-03-09,206468.642095441,"fitted",2019-03-04
2019-03-10,142033.833333333,"actual",2019-03-04
2019-03-10,95546.0645244644,"counterfactual",2019-03-04
2019-03-10,127739.324136757,"fitted",2019-03-04
2019-03-11,85503.1666666667,"actual",2019-03-11
2019-03-11,100885.744131868,"counterfactual",2019-03-11
2019-03-11,78655.4604229911,"fitted",2019-03-11
2019-03-12,93416.2777777778,"actual",2019-03-11
2019-03-12,161392.781075441,"counterfactual",2019-03-11
2019-03-12,99113.852504235,"fitted",2019-03-11
2019-03-13,93254,"actual",2019-03-11
2019-03-13,206468.642095442,"counterfactual",2019-03-11
2019-03-13,106365.359817062,"fitted",2019-03-11
2019-03-14,100095.222222222,"actual",2019-03-11
2019-03-14,127739.324136758,"counterfactual",2019-03-11
2019-03-14,106314.700403467,"fitted",2019-03-11
2019-03-15,154067.333333333,"actual",2019-03-11
2019-03-15,78655.4604229921,"counterfactual",2019-03-11
2019-03-15,173248.918882059,"fitted",2019-03-11
2019-03-16,227204.5,"actual",2019-03-11
2019-03-16,99113.852504236,"counterfactual",2019-03-11
2019-03-16,223138.386654684,"fitted",2019-03-11
2019-03-17,134897.777777778,"actual",2019-03-11
2019-03-17,106365.359817063,"counterfactual",2019-03-11
2019-03-17,130855.832083484,"fitted",2019-03-11
2019-03-18,114049.555555556,"actual",2019-03-18
2019-03-18,106314.700403469,"counterfactual",2019-03-18
2019-03-18,90615.3513253363,"fitted",2019-03-18
2019-03-19,111939.055555556,"actual",2019-03-18
2019-03-19,173248.91888206,"counterfactual",2019-03-18
2019-03-19,111371.896351247,"fitted",2019-03-18
2019-03-20,167658.666666667,"actual",2019-03-18
2019-03-20,223138.386654684,"counterfactual",2019-03-18
2019-03-20,177573.534245424,"fitted",2019-03-18
2019-03-21,134401.055555556,"actual",2019-03-18
2019-03-21,130855.832083487,"counterfactual",2019-03-18
2019-03-21,128702.49615502,"fitted",2019-03-18
2019-03-22,139427.611111111,"actual",2019-03-18
2019-03-22,90615.351325337,"counterfactual",2019-03-18
2019-03-22,169029.794138435,"fitted",2019-03-18
2019-03-23,180586.888888889,"actual",2019-03-18
2019-03-23,111371.896351248,"counterfactual",2019-03-18
2019-03-23,207968.355480269,"fitted",2019-03-18
2019-03-24,161544.333333333,"actual",2019-03-18
2019-03-24,177573.534245425,"counterfactual",2019-03-18
2019-03-24,136819.830415656,"fitted",2019-03-18
2019-03-25,137749.222222222,"actual",2019-03-25
2019-03-25,128702.496155021,"counterfactual",2019-03-25
2019-03-25,104574.588479736,"fitted",2019-03-25
2019-03-26,131187.277777778,"actual",2019-03-25
2019-03-26,169029.794138437,"counterfactual",2019-03-25
2019-03-26,125916.53975934,"fitted",2019-03-25
2019-03-27,149734.111111111,"actual",2019-03-25
2019-03-27,207968.355480272,"counterfactual",2019-03-25
2019-03-27,134326.164959514,"fitted",2019-03-25
2019-03-28,117568.444444444,"actual",2019-03-25
2019-03-28,136819.830415657,"counterfactual",2019-03-25
2019-03-28,127743.512314313,"fitted",2019-03-25
2019-03-29,155782.944444444,"actual",2019-03-25
2019-03-29,104574.588479737,"counterfactual",2019-03-25
2019-03-29,193758.271594764,"fitted",2019-03-25
2019-03-30,198718.388888889,"actual",2019-03-25
2019-03-30,125916.539759341,"counterfactual",2019-03-25
2019-03-30,212692.446235688,"fitted",2019-03-25
2019-03-31,147647.722222222,"actual",2019-03-25
2019-03-31,134326.164959514,"counterfactual",2019-03-25
2019-03-31,127832.016245417,"fitted",2019-03-25
2019-04-01,92753.3888888889,"actual",2019-04-01
2019-04-01,127743.512314313,"counterfactual",2019-04-01
2019-04-01,79306.2461416887,"fitted",2019-04-01
2019-04-02,93678,"actual",2019-04-01
2019-04-02,193758.271594766,"counterfactual",2019-04-01
2019-04-02,87685.0987945877,"fitted",2019-04-01
2019-04-03,88721.4444444444,"actual",2019-04-01
2019-04-03,212692.44623569,"counterfactual",2019-04-01
2019-04-03,94396.5549663695,"fitted",2019-04-01
2019-04-04,101079.444444444,"actual",2019-04-01
2019-04-04,127832.016245417,"counterfactual",2019-04-01
2019-04-04,94295.7419867552,"fitted",2019-04-01
2019-04-05,157423.666666667,"actual",2019-04-01
2019-04-05,79306.2461416899,"counterfactual",2019-04-01
2019-04-05,155095.423358519,"fitted",2019-04-01
2019-04-06,195973.333333333,"actual",2019-04-01
2019-04-06,87685.098794588,"counterfactual",2019-04-01
2019-04-06,196394.768228553,"fitted",2019-04-01
2019-04-07,129275.388888889,"actual",2019-04-01
2019-04-07,94396.5549663697,"counterfactual",2019-04-01
2019-04-07,116588.569643755,"fitted",2019-04-01
2019-04-08,97133.3888888889,"actual",2019-04-08
2019-04-08,94295.741986757,"counterfactual",2019-04-08
2019-04-08,74297.0864294302,"fitted",2019-04-08
2019-04-09,68467.7222222222,"actual",2019-04-08
2019-04-09,155095.423358521,"counterfactual",2019-04-08
2019-04-09,81827.1901953792,"fitted",2019-04-08
2019-04-10,75985.7777777778,"actual",2019-04-08
2019-04-10,196394.768228554,"counterfactual",2019-04-08
2019-04-10,91444.8243079856,"fitted",2019-04-08
2019-04-11,94211.6666666667,"actual",2019-04-08
2019-04-11,116588.569643757,"counterfactual",2019-04-08
2019-04-11,95427.2442564462,"fitted",2019-04-08
2019-04-12,154091.388888889,"actual",2019-04-08
2019-04-12,74297.086429431,"counterfactual",2019-04-08
2019-04-12,172392.059970015,"fitted",2019-04-08
2019-04-13,189625.777777778,"actual",2019-04-08
2019-04-13,81827.19019538,"counterfactual",2019-04-08
2019-04-13,205396.225282348,"fitted",2019-04-08
2019-04-14,120282.666666667,"actual",2019-04-08
2019-04-14,91444.8243079866,"counterfactual",2019-04-08
2019-04-14,115186.290466926,"fitted",2019-04-08
2019-04-15,94203.5,"actual",2019-04-15
2019-04-15,95427.2442564471,"counterfactual",2019-04-15
2019-04-15,76190.2055124577,"fitted",2019-04-15
2019-04-16,77591.7777777778,"actual",2019-04-15
2019-04-16,172392.059970017,"counterfactual",2019-04-15
