"","week","nofcases","type"
"126",2020-10-26,6.44742844419841,"fitted"
"127",2020-11-02,25,"actual"
"128",2020-11-02,21.2616959175465,"counterfactual"
"129",2020-11-02,10.2765580707757,"fitted"
"130",2020-11-09,42,"actual"
"131",2020-11-09,55.4913106876446,"counterfactual"
"132",2020-11-09,25.7162482519164,"fitted"
"133",2020-11-16,35,"actual"
"134",2020-11-16,111.724366069171,"counterfactual"
"135",2020-11-16,50.4216577970979,"fitted"
"136",2020-11-23,20,"actual"
"137",2020-11-23,82.2405522564295,"counterfactual"
"138",2020-11-23,36.7622768190791,"fitted"
"139",2020-11-30,84,"actual"
"140",2020-11-30,92.285083019524,"counterfactual"
"141",2020-11-30,40.6432460140936,"fitted"
"142",2020-12-07,29,"actual"
"143",2020-12-07,90.5061054676833,"counterfactual"
"144",2020-12-07,39.4365469644793,"fitted"
"145",2020-12-14,37,"actual"
"146",2020-12-14,84.5467390156339,"counterfactual"
"147",2020-12-14,36.5457341826388,"fitted"
"148",2020-12-21,37,"actual"
"149",2020-12-21,72.436303743891,"counterfactual"
"150",2020-12-21,31.2508801617341,"fitted"
"151",2020-12-28,63,"actual"
"152",2020-12-28,110.216316621328,"counterfactual"
"153",2020-12-28,47.1640932820915,"fitted"
"154",2021-01-04,159,"actual"
"155",2021-01-04,267.144396574567,"counterfactual"
"156",2021-01-04,113.255549494394,"fitted"
"157",2021-01-11,99,"actual"
"158",2021-01-11,256.85097849947,"counterfactual"
"159",2021-01-11,108.907941507194,"fitted"
"160",2021-01-18,38,"actual"
"161",2021-01-18,124.670267900492,"counterfactual"
"162",2021-01-18,52.9405298622306,"fitted"
"163",2021-01-25,17,"actual"
"164",2021-01-25,76.4069430988348,"counterfactual"
"165",2021-01-25,32.4868085132704,"fitted"
"166",2021-02-01,12,"actual"
"167",2021-02-01,39.8648938509322,"counterfactual"
"168",2021-02-01,17.0687829494189,"fitted"
"169",2021-02-08,15,"actual"
"170",2021-02-08,21.3258706091175,"counterfactual"
"171",2021-02-08,9.29550062300295,"fitted"
"172",2021-02-15,7,"actual"
"173",2021-02-15,23.3434933294098,"counterfactual"
"174",2021-02-15,10.1133074209218,"fitted"
"175",2021-02-22,4,"actual"
"176",2021-02-22,19.4664914485005,"counterfactual"
"177",2021-02-22,8.43158506855585,"fitted"
"178",2021-03-01,2,"actual"
"179",2021-03-01,16.0170264756642,"counterfactual"
"180",2021-03-01,6.95208256603344,"fitted"
"181",2021-03-08,10,"actual"
"182",2021-03-08,24.5059830893116,"counterfactual"
"183",2021-03-08,10.3367516265476,"fitted"
"184",2021-03-15,5,"actual"
"185",2021-03-15,29.3107518220414,"counterfactual"
"186",2021-03-15,12.1820584309789,"fitted"
"187",2021-03-22,6,"actual"
"188",2021-03-22,31.9945569082687,"counterfactual"
"189",2021-03-22,13.1554179958956,"fitted"
"190",2021-03-29,27,"actual"
"191",2021-03-29,43.0156737903963,"counterfactual"
"192",2021-03-29,17.4180316871175,"fitted"
"193",2021-04-05,39,"actual"
"194",2021-04-05,60.5690836121152,"counterfactual"
"195",2021-04-05,24.1841514575666,"fitted"
"196",2021-04-12,43,"actual"
"197",2021-04-12,93.2247379050546,"counterfactual"
"198",2021-04-12,36.874122771339,"fitted"
"199",2021-04-19,67,"actual"
"200",2021-04-19,111.591390850875,"counterfactual"
"201",2021-04-19,43.770566614325,"fitted"
"202",2021-04-26,74,"actual"
"203",2021-04-26,94.5583908901732,"counterfactual"
"204",2021-04-26,36.915541857148,"fitted"
