"week","type","customers"
2019-07-15,"actual",321.111111111111
2019-07-15,"counterfactual",340.16580726518
2019-07-15,"fitted",340.165807265183
2019-07-22,"actual",313
2019-07-22,"counterfactual",338.190056775708
2019-07-22,"fitted",338.190056775711
2019-07-29,"actual",329
2019-07-29,"counterfactual",341.775265413685
2019-07-29,"fitted",341.775265413688
2019-08-05,"actual",389.166666666667
2019-08-05,"counterfactual",382.738657540144
2019-08-05,"fitted",382.738657540148
2019-08-12,"actual",481.666666666667
2019-08-12,"counterfactual",471.257757223805
2019-08-12,"fitted",471.257757223811
2019-08-19,"actual",345.166666666667
2019-08-19,"counterfactual",348.849343820643
2019-08-19,"fitted",348.849343820646
2019-08-26,"actual",332.166666666667
2019-08-26,"counterfactual",339.945183230501
2019-08-26,"fitted",339.945183230504
2019-09-02,"actual",306.944444444445
2019-09-02,"counterfactual",299.305070464034
2019-09-02,"fitted",299.305070464036
2019-09-09,"actual",337.277777777778
2019-09-09,"counterfactual",335.721129187947
2019-09-09,"fitted",335.721129187951
2019-09-16,"actual",353.388888888889
2019-09-16,"counterfactual",343.118445330533
2019-09-16,"fitted",343.118445330536
2019-09-23,"actual",339.277777777778
2019-09-23,"counterfactual",337.623354429608
2019-09-23,"fitted",337.623354429611
2019-09-30,"actual",298.888888888889
2019-09-30,"counterfactual",308.482038399598
2019-09-30,"fitted",308.4820383996
2019-10-07,"actual",218.722222222222
2019-10-07,"counterfactual",234.810447864397
2019-10-07,"fitted",234.810447864399
2019-10-14,"actual",295.388888888889
2019-10-14,"counterfactual",309.114992195138
2019-10-14,"fitted",309.114992195141
2019-10-21,"actual",336
2019-10-21,"counterfactual",326.939718794194
2019-10-21,"fitted",326.939718794197
2019-10-28,"actual",331.055555555555
2019-10-28,"counterfactual",325.701950602792
2019-10-28,"fitted",325.701950602795
2019-11-04,"actual",338.833333333333
2019-11-04,"counterfactual",322.194319229589
2019-11-04,"fitted",322.194319229593
2019-11-11,"actual",327.666666666667
2019-11-11,"counterfactual",317.674219260184
2019-11-11,"fitted",317.674219260186
2019-11-18,"actual",350.388888888889
2019-11-18,"counterfactual",324.652376959305
2019-11-18,"fitted",324.652376959308
2019-11-25,"actual",332.444444444445
2019-11-25,"counterfactual",323.823808062172
2019-11-25,"fitted",323.823808062176
2019-12-02,"actual",307.666666666667
2019-12-02,"counterfactual",321.497244399423
2019-12-02,"fitted",321.497244399425
2019-12-09,"actual",316.666666666667
2019-12-09,"counterfactual",349.962831054892
2019-12-09,"fitted",349.962831054896
2019-12-16,"actual",337.222222222222
2019-12-16,"counterfactual",354.225669451238
2019-12-16,"fitted",354.225669451241
2019-12-23,"actual",363.777777777778
2019-12-23,"counterfactual",393.328791477598
2019-12-23,"fitted",393.328791477601
2019-12-30,"actual",388.777777777778
2019-12-30,"counterfactual",373.984549304665
2019-12-30,"fitted",373.984549304669
2020-01-06,"actual",257.388888888889
2020-01-06,"counterfactual",298.611780828498
2020-01-06,"fitted",298.611780828501
2020-01-13,"actual",272.277777777778
2020-01-13,"counterfactual",306.661099221138
2020-01-13,"fitted",306.661099221141
2020-01-20,"actual",262.055555555556
2020-01-20,"counterfactual",306.102731754111
2020-01-20,"fitted",306.102731754115
2020-01-27,"actual",229.833333333333
2020-01-27,"counterfactual",289.724619183712
2020-01-27,"fitted",289.724619183714
2020-02-03,"actual",253
2020-02-03,"counterfactual",292.149950143413
