mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53382419,19,19201,2020,03,0,0,35
53382419,19,19201,2020,03,0,1,19
53382419,19,19201,2020,03,0,2,26
53382419,19,19201,2020,03,1,0,31
53382419,19,19201,2020,03,1,1,11
53382419,19,19201,2020,03,1,2,21
53382419,19,19201,2020,03,2,0,32
53382419,19,19201,2020,03,2,1,13
53382419,19,19201,2020,03,2,2,23
53382429,19,19201,2020,03,0,0,38
53382429,19,19201,2020,03,0,2,23
53382429,19,19201,2020,03,1,0,15
53382429,19,19201,2020,03,1,1,11
53382429,19,19201,2020,03,1,2,17
53382429,19,19201,2020,03,2,0,22
53382429,19,19201,2020,03,2,2,19
53382438,19,19201,2020,03,0,0,33
53382438,19,19201,2020,03,0,1,17
53382438,19,19201,2020,03,0,2,26
53382438,19,19201,2020,03,1,0,54
53382438,19,19201,2020,03,1,1,10
53382438,19,19201,2020,03,1,2,28
53382438,19,19201,2020,03,2,0,47
53382438,19,19201,2020,03,2,1,12
53382438,19,19201,2020,03,2,2,28
53382439,19,19201,2020,03,0,0,55
53382439,19,19201,2020,03,0,2,28
53382439,19,19201,2020,03,1,0,55
53382439,19,19201,2020,03,1,1,20
53382439,19,19201,2020,03,1,2,37
53382439,19,19201,2020,03,2,0,55
53382439,19,19201,2020,03,2,1,15
53382439,19,19201,2020,03,2,2,34
53382447,19,19201,2020,03,0,0,33
53382447,19,19201,2020,03,0,2,19
53382447,19,19201,2020,03,1,0,17
53382447,19,19201,2020,03,1,2,13
53382447,19,19201,2020,03,2,0,22
53382447,19,19201,2020,03,2,2,15
53382448,19,19201,2020,03,0,0,10
53382448,19,19201,2020,03,1,0,10
53382448,19,19201,2020,03,1,2,10
53382448,19,19201,2020,03,2,0,10
53382467,19,19201,2020,03,0,0,12
53382477,19,19201,2020,03,0,0,17
53382477,19,19201,2020,03,0,2,11
53382477,19,19201,2020,03,1,0,27
53382477,19,19201,2020,03,1,1,11
53382477,19,19201,2020,03,1,2,17
53382477,19,19201,2020,03,2,0,24
53382477,19,19201,2020,03,2,2,15
53382486,19,19201,2020,03,0,0,759
53382486,19,19201,2020,03,0,1,863
53382486,19,19201,2020,03,0,2,812
53382486,19,19201,2020,03,1,0,523
53382486,19,19201,2020,03,1,1,786
53382486,19,19201,2020,03,1,2,646
53382486,19,19201,2020,03,2,0,599
53382486,19,19201,2020,03,2,1,811
53382486,19,19201,2020,03,2,2,699
