mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53382419,19,19201,2020,11,0,0,47
53382419,19,19201,2020,11,0,2,29
53382419,19,19201,2020,11,1,0,40
53382419,19,19201,2020,11,1,2,18
53382419,19,19201,2020,11,2,0,43
53382419,19,19201,2020,11,2,2,22
53382429,19,19201,2020,11,0,0,57
53382429,19,19201,2020,11,0,2,31
53382429,19,19201,2020,11,1,0,20
53382429,19,19201,2020,11,1,2,13
53382429,19,19201,2020,11,2,0,34
53382429,19,19201,2020,11,2,2,20
53382438,19,19201,2020,11,0,0,74
53382438,19,19201,2020,11,0,1,27
53382438,19,19201,2020,11,0,2,47
53382438,19,19201,2020,11,1,0,32
53382438,19,19201,2020,11,1,2,13
53382438,19,19201,2020,11,2,0,47
53382438,19,19201,2020,11,2,1,11
53382438,19,19201,2020,11,2,2,26
53382439,19,19201,2020,11,0,0,107
53382439,19,19201,2020,11,0,1,27
53382439,19,19201,2020,11,0,2,68
53382439,19,19201,2020,11,1,0,77
53382439,19,19201,2020,11,1,1,33
53382439,19,19201,2020,11,1,2,49
53382439,19,19201,2020,11,2,0,88
53382439,19,19201,2020,11,2,1,31
53382439,19,19201,2020,11,2,2,56
53382447,19,19201,2020,11,0,0,35
53382447,19,19201,2020,11,0,2,19
53382447,19,19201,2020,11,1,0,20
53382447,19,19201,2020,11,1,2,11
53382447,19,19201,2020,11,2,0,25
53382447,19,19201,2020,11,2,2,14
53382448,19,19201,2020,11,0,0,22
53382448,19,19201,2020,11,0,2,10
53382448,19,19201,2020,11,2,0,11
53382467,19,19201,2020,11,0,0,21
53382467,19,19201,2020,11,0,2,11
53382467,19,19201,2020,11,1,0,13
53382467,19,19201,2020,11,2,0,16
53382476,19,19201,2020,11,0,0,13
53382477,19,19201,2020,11,0,0,21
53382477,19,19201,2020,11,0,2,16
53382477,19,19201,2020,11,1,0,15
53382477,19,19201,2020,11,1,2,10
53382477,19,19201,2020,11,2,0,17
53382477,19,19201,2020,11,2,2,12
53382486,19,19201,2020,11,0,0,794
53382486,19,19201,2020,11,0,1,948
53382486,19,19201,2020,11,0,2,888
53382486,19,19201,2020,11,1,0,581
53382486,19,19201,2020,11,1,1,862
53382486,19,19201,2020,11,1,2,730
53382486,19,19201,2020,11,2,0,659
53382486,19,19201,2020,11,2,1,893
53382486,19,19201,2020,11,2,2,788
53382487,19,19201,2020,11,0,0,371
53382487,19,19201,2020,11,0,1,449
53382487,19,19201,2020,11,0,2,403
53382487,19,19201,2020,11,1,0,317
53382487,19,19201,2020,11,1,1,392
53382487,19,19201,2020,11,1,2,363
53382487,19,19201,2020,11,2,0,336
53382487,19,19201,2020,11,2,1,413
53382487,19,19201,2020,11,2,2,378
53382488,19,19201,2020,11,0,0,54
53382488,19,19201,2020,11,0,1,58
53382488,19,19201,2020,11,0,2,68
53382488,19,19201,2020,11,1,0,21
53382488,19,19201,2020,11,1,1,142
53382488,19,19201,2020,11,1,2,80
53382488,19,19201,2020,11,2,0,33
53382488,19,19201,2020,11,2,1,112
53382488,19,19201,2020,11,2,2,76
53382496,19,19201,2020,11,0,0,219
53382496,19,19201,2020,11,0,1,360
53382496,19,19201,2020,11,0,2,309
53382496,19,19201,2020,11,1,0,113
53382496,19,19201,2020,11,1,1,354
53382496,19,19201,2020,11,1,2,252
53382496,19,19201,2020,11,2,0,152
53382496,19,19201,2020,11,2,1,356
53382496,19,19201,2020,11,2,2,273
53382497,19,19201,2020,11,0,0,396
53382497,19,19201,2020,11,0,1,541
53382497,19,19201,2020,11,0,2,439
53382497,19,19201,2020,11,1,0,230
53382497,19,19201,2020,11,1,1,497
53382497,19,19201,2020,11,1,2,361
53382497,19,19201,2020,11,2,0,291
53382497,19,19201,2020,11,2,1,513
53382497,19,19201,2020,11,2,2,390
53383405,19,19201,2020,11,0,0,58
53383405,19,19201,2020,11,0,1,151
53383405,19,19201,2020,11,0,2,122
53383405,19,19201,2020,11,1,0,52
53383405,19,19201,2020,11,1,1,100
53383405,19,19201,2020,11,1,2,89
53383405,19,19201,2020,11,2,0,55
53383405,19,19201,2020,11,2,1,119
53383405,19,19201,2020,11,2,2,101
53383406,19,19201,2020,11,0,0,185
53383406,19,19201,2020,11,0,2,53
53383406,19,19201,2020,11,1,0,106
53383406,19,19201,2020,11,1,1,59
53383406,19,19201,2020,11,1,2,58
53383406,19,19201,2020,11,2,0,135
53383406,19,19201,2020,11,2,1,37
53383406,19,19201,2020,11,2,2,56
53383415,19,19201,2020,11,0,0,873
53383415,19,19201,2020,11,0,1,672
53383415,19,19201,2020,11,0,2,757
53383415,19,19201,2020,11,1,0,1561
53383415,19,19201,2020,11,1,1,847
53383415,19,19201,2020,11,1,2,1204
53383415,19,19201,2020,11,2,0,1309
53383415,19,19201,2020,11,2,1,783
53383415,19,19201,2020,11,2,2,1040
53383416,19,19201,2020,11,0,0,1007
53383416,19,19201,2020,11,0,1,649
53383416,19,19201,2020,11,0,2,812
53383416,19,19201,2020,11,1,0,1198
53383416,19,19201,2020,11,1,1,504
53383416,19,19201,2020,11,1,2,821
53383416,19,19201,2020,11,2,0,1128
53383416,19,19201,2020,11,2,1,557
53383416,19,19201,2020,11,2,2,818
53383425,19,19201,2020,11,0,0,975
53383425,19,19201,2020,11,0,1,915
53383425,19,19201,2020,11,0,2,946
53383425,19,19201,2020,11,1,0,1884
53383425,19,19201,2020,11,1,1,1175
53383425,19,19201,2020,11,1,2,1475
53383425,19,19201,2020,11,2,0,1551
53383425,19,19201,2020,11,2,1,1080
53383425,19,19201,2020,11,2,2,1281
53383426,19,19201,2020,11,0,0,391
53383426,19,19201,2020,11,0,1,62
53383426,19,19201,2020,11,0,2,220
53383426,19,19201,2020,11,1,0,580
53383426,19,19201,2020,11,1,1,85
53383426,19,19201,2020,11,1,2,305
53383426,19,19201,2020,11,2,0,511
53383426,19,19201,2020,11,2,1,77
53383426,19,19201,2020,11,2,2,274
53383427,19,19201,2020,11,0,0,931
53383427,19,19201,2020,11,0,1,768
53383427,19,19201,2020,11,0,2,833
53383427,19,19201,2020,11,1,0,930
53383427,19,19201,2020,11,1,1,813
53383427,19,19201,2020,11,1,2,851
53383427,19,19201,2020,11,2,0,930
53383427,19,19201,2020,11,2,1,796
53383427,19,19201,2020,11,2,2,844
53383428,19,19201,2020,11,0,0,1431
53383428,19,19201,2020,11,0,1,1413
53383428,19,19201,2020,11,0,2,1393
53383428,19,19201,2020,11,1,0,1299
53383428,19,19201,2020,11,1,1,1529
53383428,19,19201,2020,11,1,2,1417
53383428,19,19201,2020,11,2,0,1347
53383428,19,19201,2020,11,2,1,1487
53383428,19,19201,2020,11,2,2,1408
53383434,19,19201,2020,11,0,0,1585
53383434,19,19201,2020,11,0,1,1333
53383434,19,19201,2020,11,0,2,1469
53383434,19,19201,2020,11,1,0,3341
53383434,19,19201,2020,11,1,1,1401
53383434,19,19201,2020,11,1,2,2358
53383434,19,19201,2020,11,2,0,2697
53383434,19,19201,2020,11,2,1,1376
53383434,19,19201,2020,11,2,2,2032
53383435,19,19201,2020,11,0,0,1697
53383435,19,19201,2020,11,0,1,2569
53383435,19,19201,2020,11,0,2,2297
53383435,19,19201,2020,11,1,0,1486
53383435,19,19201,2020,11,1,1,2592
53383435,19,19201,2020,11,1,2,2091
53383435,19,19201,2020,11,2,0,1563
53383435,19,19201,2020,11,2,1,2583
53383435,19,19201,2020,11,2,2,2166
53383436,19,19201,2020,11,0,0,1104
53383436,19,19201,2020,11,0,1,1645
53383436,19,19201,2020,11,0,2,1417
53383436,19,19201,2020,11,1,0,734
53383436,19,19201,2020,11,1,1,1703
53383436,19,19201,2020,11,1,2,1257
53383436,19,19201,2020,11,2,0,869
53383436,19,19201,2020,11,2,1,1682
53383436,19,19201,2020,11,2,2,1316
53383437,19,19201,2020,11,0,0,690
53383437,19,19201,2020,11,0,1,705
53383437,19,19201,2020,11,0,2,682
53383437,19,19201,2020,11,1,0,545
53383437,19,19201,2020,11,1,1,821
53383437,19,19201,2020,11,1,2,651
53383437,19,19201,2020,11,2,0,598
53383437,19,19201,2020,11,2,1,778
53383437,19,19201,2020,11,2,2,662
53383438,19,19201,2020,11,0,0,619
53383438,19,19201,2020,11,0,1,456
53383438,19,19201,2020,11,0,2,539
53383438,19,19201,2020,11,1,0,713
53383438,19,19201,2020,11,1,1,468
53383438,19,19201,2020,11,1,2,568
53383438,19,19201,2020,11,2,0,678
53383438,19,19201,2020,11,2,1,464
53383438,19,19201,2020,11,2,2,557
53383444,19,19201,2020,11,0,0,2589
53383444,19,19201,2020,11,0,1,2434
53383444,19,19201,2020,11,0,2,2639
53383444,19,19201,2020,11,1,0,4982
53383444,19,19201,2020,11,1,1,2770
53383444,19,19201,2020,11,1,2,3944
53383444,19,19201,2020,11,2,0,4105
53383444,19,19201,2020,11,2,1,2647
53383444,19,19201,2020,11,2,2,3466
53383445,19,19201,2020,11,0,0,4892
53383445,19,19201,2020,11,0,1,6503
