mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53382409,19,19201,2020,07,1,0,10
53382419,19,19201,2020,07,0,0,46
53382419,19,19201,2020,07,0,2,25
53382419,19,19201,2020,07,1,0,27
53382419,19,19201,2020,07,1,2,14
53382419,19,19201,2020,07,2,0,33
53382419,19,19201,2020,07,2,2,17
53382429,19,19201,2020,07,0,0,54
53382429,19,19201,2020,07,0,2,21
53382429,19,19201,2020,07,1,0,28
53382429,19,19201,2020,07,1,2,14
53382429,19,19201,2020,07,2,0,37
53382429,19,19201,2020,07,2,2,17
53382438,19,19201,2020,07,0,0,43
53382438,19,19201,2020,07,0,1,15
53382438,19,19201,2020,07,0,2,29
53382438,19,19201,2020,07,1,0,15
53382438,19,19201,2020,07,2,0,24
53382438,19,19201,2020,07,2,2,15
53382439,19,19201,2020,07,0,0,84
53382439,19,19201,2020,07,0,2,36
53382439,19,19201,2020,07,1,0,123
53382439,19,19201,2020,07,1,1,10
53382439,19,19201,2020,07,1,2,55
53382439,19,19201,2020,07,2,0,111
53382439,19,19201,2020,07,2,2,49
53382447,19,19201,2020,07,0,0,30
53382447,19,19201,2020,07,0,2,17
53382447,19,19201,2020,07,1,0,25
53382447,19,19201,2020,07,1,2,10
53382447,19,19201,2020,07,2,0,27
53382447,19,19201,2020,07,2,2,12
53382467,19,19201,2020,07,0,0,15
53382467,19,19201,2020,07,0,1,20
53382467,19,19201,2020,07,0,2,14
53382467,19,19201,2020,07,1,1,12
53382467,19,19201,2020,07,2,0,10
53382467,19,19201,2020,07,2,1,15
53382467,19,19201,2020,07,2,2,11
53382477,19,19201,2020,07,0,0,19
53382477,19,19201,2020,07,0,2,11
53382477,19,19201,2020,07,2,0,12
53382486,19,19201,2020,07,0,0,789
53382486,19,19201,2020,07,0,1,811
53382486,19,19201,2020,07,0,2,811
53382486,19,19201,2020,07,1,0,631
53382486,19,19201,2020,07,1,1,758
53382486,19,19201,2020,07,1,2,692
53382486,19,19201,2020,07,2,0,682
53382486,19,19201,2020,07,2,1,775
53382486,19,19201,2020,07,2,2,730
53382487,19,19201,2020,07,0,0,477
53382487,19,19201,2020,07,0,1,331
53382487,19,19201,2020,07,0,2,401
53382487,19,19201,2020,07,1,0,231
53382487,19,19201,2020,07,1,1,314
53382487,19,19201,2020,07,1,2,277
53382487,19,19201,2020,07,2,0,310
53382487,19,19201,2020,07,2,1,320
53382487,19,19201,2020,07,2,2,317
53382488,19,19201,2020,07,0,0,88
53382488,19,19201,2020,07,0,1,89
53382488,19,19201,2020,07,0,2,88
53382488,19,19201,2020,07,1,0,38
53382488,19,19201,2020,07,1,1,73
53382488,19,19201,2020,07,1,2,54
53382488,19,19201,2020,07,2,0,54
53382488,19,19201,2020,07,2,1,78
53382488,19,19201,2020,07,2,2,65
53382496,19,19201,2020,07,0,0,294
53382496,19,19201,2020,07,0,1,448
53382496,19,19201,2020,07,0,2,369
53382496,19,19201,2020,07,1,0,94
53382496,19,19201,2020,07,1,1,385
53382496,19,19201,2020,07,1,2,259
53382496,19,19201,2020,07,2,0,159
53382496,19,19201,2020,07,2,1,405
53382496,19,19201,2020,07,2,2,294
53382497,19,19201,2020,07,0,0,144
53382497,19,19201,2020,07,0,1,254
53382497,19,19201,2020,07,0,2,196
53382497,19,19201,2020,07,1,0,202
53382497,19,19201,2020,07,1,1,282
53382497,19,19201,2020,07,1,2,229
53382497,19,19201,2020,07,2,0,183
53382497,19,19201,2020,07,2,1,273
53382497,19,19201,2020,07,2,2,218
53383405,19,19201,2020,07,0,0,79
53383405,19,19201,2020,07,0,1,194
53383405,19,19201,2020,07,0,2,155
53383405,19,19201,2020,07,1,0,30
53383405,19,19201,2020,07,1,1,143
53383405,19,19201,2020,07,1,2,105
53383405,19,19201,2020,07,2,0,46
53383405,19,19201,2020,07,2,1,160
53383405,19,19201,2020,07,2,2,121
53383406,19,19201,2020,07,0,0,77
53383406,19,19201,2020,07,0,1,66
53383406,19,19201,2020,07,0,2,65
53383406,19,19201,2020,07,1,0,54
53383406,19,19201,2020,07,1,2,25
53383406,19,19201,2020,07,2,0,61
53383406,19,19201,2020,07,2,1,27
53383406,19,19201,2020,07,2,2,38
53383415,19,19201,2020,07,0,0,633
53383415,19,19201,2020,07,0,1,467
53383415,19,19201,2020,07,0,2,577
53383415,19,19201,2020,07,1,0,873
53383415,19,19201,2020,07,1,1,589
53383415,19,19201,2020,07,1,2,742
53383415,19,19201,2020,07,2,0,795
53383415,19,19201,2020,07,2,1,550
53383415,19,19201,2020,07,2,2,689
53383416,19,19201,2020,07,0,0,868
53383416,19,19201,2020,07,0,1,453
53383416,19,19201,2020,07,0,2,616
53383416,19,19201,2020,07,1,0,796
53383416,19,19201,2020,07,1,1,511
53383416,19,19201,2020,07,1,2,656
53383416,19,19201,2020,07,2,0,819
53383416,19,19201,2020,07,2,1,492
53383416,19,19201,2020,07,2,2,643
53383425,19,19201,2020,07,0,0,806
53383425,19,19201,2020,07,0,1,799
53383425,19,19201,2020,07,0,2,811
53383425,19,19201,2020,07,1,0,2337
53383425,19,19201,2020,07,1,1,970
53383425,19,19201,2020,07,1,2,1597
53383425,19,19201,2020,07,2,0,1843
53383425,19,19201,2020,07,2,1,915
53383425,19,19201,2020,07,2,2,1343
53383426,19,19201,2020,07,0,0,259
53383426,19,19201,2020,07,0,1,48
53383426,19,19201,2020,07,0,2,155
53383426,19,19201,2020,07,1,0,575
53383426,19,19201,2020,07,1,1,101
53383426,19,19201,2020,07,1,2,285
53383426,19,19201,2020,07,2,0,473
53383426,19,19201,2020,07,2,1,84
53383426,19,19201,2020,07,2,2,243
53383427,19,19201,2020,07,0,0,858
53383427,19,19201,2020,07,0,1,658
53383427,19,19201,2020,07,0,2,765
53383427,19,19201,2020,07,1,0,972
53383427,19,19201,2020,07,1,1,643
53383427,19,19201,2020,07,1,2,803
53383427,19,19201,2020,07,2,0,935
53383427,19,19201,2020,07,2,1,648
53383427,19,19201,2020,07,2,2,791
53383428,19,19201,2020,07,0,0,1148
53383428,19,19201,2020,07,0,1,1275
53383428,19,19201,2020,07,0,2,1221
53383428,19,19201,2020,07,1,0,1288
53383428,19,19201,2020,07,1,1,1291
53383428,19,19201,2020,07,1,2,1246
53383428,19,19201,2020,07,2,0,1243
53383428,19,19201,2020,07,2,1,1286
53383428,19,19201,2020,07,2,2,1238
53383434,19,19201,2020,07,0,0,1227
53383434,19,19201,2020,07,0,1,1251
53383434,19,19201,2020,07,0,2,1236
53383434,19,19201,2020,07,1,0,3904
53383434,19,19201,2020,07,1,1,1516
53383434,19,19201,2020,07,1,2,2549
53383434,19,19201,2020,07,2,0,3040
53383434,19,19201,2020,07,2,1,1431
53383434,19,19201,2020,07,2,2,2126
53383435,19,19201,2020,07,0,0,2145
53383435,19,19201,2020,07,0,1,2691
53383435,19,19201,2020,07,0,2,2421
53383435,19,19201,2020,07,1,0,1390
53383435,19,19201,2020,07,1,1,2941
53383435,19,19201,2020,07,1,2,2206
53383435,19,19201,2020,07,2,0,1633
53383435,19,19201,2020,07,2,1,2860
53383435,19,19201,2020,07,2,2,2275
53383436,19,19201,2020,07,0,0,1379
53383436,19,19201,2020,07,0,1,1733
53383436,19,19201,2020,07,0,2,1569
53383436,19,19201,2020,07,1,0,970
53383436,19,19201,2020,07,1,1,1851
53383436,19,19201,2020,07,1,2,1442
53383436,19,19201,2020,07,2,0,1102
53383436,19,19201,2020,07,2,1,1813
53383436,19,19201,2020,07,2,2,1483
53383437,19,19201,2020,07,0,0,573
53383437,19,19201,2020,07,0,1,637
53383437,19,19201,2020,07,0,2,620
53383437,19,19201,2020,07,1,0,732
53383437,19,19201,2020,07,1,1,700
53383437,19,19201,2020,07,1,2,692
53383437,19,19201,2020,07,2,0,681
53383437,19,19201,2020,07,2,1,680
53383437,19,19201,2020,07,2,2,669
53383438,19,19201,2020,07,0,0,203
53383438,19,19201,2020,07,0,1,158
53383438,19,19201,2020,07,0,2,173
53383438,19,19201,2020,07,1,0,221
53383438,19,19201,2020,07,1,1,133
53383438,19,19201,2020,07,1,2,198
53383438,19,19201,2020,07,2,0,216
53383438,19,19201,2020,07,2,1,141
53383438,19,19201,2020,07,2,2,190
53383444,19,19201,2020,07,0,0,2969
53383444,19,19201,2020,07,0,1,2864
53383444,19,19201,2020,07,0,2,2959
53383444,19,19201,2020,07,1,0,6212
53383444,19,19201,2020,07,1,1,3346
53383444,19,19201,2020,07,1,2,4743
53383444,19,19201,2020,07,2,0,5166
53383444,19,19201,2020,07,2,1,3190
53383444,19,19201,2020,07,2,2,4167
53383445,19,19201,2020,07,0,0,4783
53383445,19,19201,2020,07,0,1,5909
53383445,19,19201,2020,07,0,2,5475
53383445,19,19201,2020,07,1,0,3314
53383445,19,19201,2020,07,1,1,5893
53383445,19,19201,2020,07,1,2,4814
53383445,19,19201,2020,07,2,0,3788
53383445,19,19201,2020,07,2,1,5898
53383445,19,19201,2020,07,2,2,5027
53383446,19,19201,2020,07,0,0,2703
53383446,19,19201,2020,07,0,1,2923
53383446,19,19201,2020,07,0,2,2854
53383446,19,19201,2020,07,1,0,1631
53383446,19,19201,2020,07,1,1,3029
53383446,19,19201,2020,07,1,2,2362
53383446,19,19201,2020,07,2,0,1977
53383446,19,19201,2020,07,2,1,2995
53383446,19,19201,2020,07,2,2,2521
53383447,19,19201,2020,07,0,0,1139
53383447,19,19201,2020,07,0,1,715
53383447,19,19201,2020,07,0,2,1125
53383447,19,19201,2020,07,1,0,852
53383447,19,19201,2020,07,1,1,623
53383447,19,19201,2020,07,1,2,765
53383447,19,19201,2020,07,2,0,945
53383447,19,19201,2020,07,2,1,653
53383447,19,19201,2020,07,2,2,881
53383454,19,19201,2020,07,0,0,5345
53383454,19,19201,2020,07,0,1,5947
53383454,19,19201,2020,07,0,2,5817
53383454,19,19201,2020,07,1,0,4644
53383454,19,19201,2020,07,1,1,5555
53383454,19,19201,2020,07,1,2,5295
53383454,19,19201,2020,07,2,0,4870
53383454,19,19201,2020,07,2,1,5682
53383454,19,19201,2020,07,2,2,5463
53383455,19,19201,2020,07,0,0,3615
53383455,19,19201,2020,07,0,1,2436
53383455,19,19201,2020,07,0,2,2963
53383455,19,19201,2020,07,1,0,3822
53383455,19,19201,2020,07,1,1,2642
53383455,19,19201,2020,07,1,2,3201
53383455,19,19201,2020,07,2,0,3755
53383455,19,19201,2020,07,2,1,2576
53383455,19,19201,2020,07,2,2,3124
53383456,19,19201,2020,07,0,0,4262
53383456,19,19201,2020,07,0,1,4471
53383456,19,19201,2020,07,0,2,4382
53383456,19,19201,2020,07,1,0,3125
53383456,19,19201,2020,07,1,1,4601
53383456,19,19201,2020,07,1,2,3916
53383456,19,19201,2020,07,2,0,3492
53383456,19,19201,2020,07,2,1,4559
53383456,19,19201,2020,07,2,2,4067
53383457,19,19201,2020,07,0,0,1391
53383457,19,19201,2020,07,0,1,1308
53383457,19,19201,2020,07,0,2,1372
53383457,19,19201,2020,07,1,0,1603
53383457,19,19201,2020,07,1,1,1225
53383457,19,19201,2020,07,1,2,1462
53383457,19,19201,2020,07,2,0,1535
53383457,19,19201,2020,07,2,1,1252
53383457,19,19201,2020,07,2,2,1433
53383464,19,19201,2020,07,0,0,5704
53383464,19,19201,2020,07,0,1,4624
53383464,19,19201,2020,07,0,2,5088
53383464,19,19201,2020,07,1,0,4821
53383464,19,19201,2020,07,1,1,4782
53383464,19,19201,2020,07,1,2,4911
53383464,19,19201,2020,07,2,0,5106
53383464,19,19201,2020,07,2,1,4731
53383464,19,19201,2020,07,2,2,4968
53383465,19,19201,2020,07,0,0,2876
53383465,19,19201,2020,07,0,1,2327
53383465,19,19201,2020,07,0,2,2520
53383465,19,19201,2020,07,1,0,4609
53383465,19,19201,2020,07,1,1,2299
53383465,19,19201,2020,07,1,2,3424
53383465,19,19201,2020,07,2,0,4050
53383465,19,19201,2020,07,2,1,2308
53383465,19,19201,2020,07,2,2,3132
53383466,19,19201,2020,07,0,0,4814
53383466,19,19201,2020,07,0,1,4701
53383466,19,19201,2020,07,0,2,4828
53383466,19,19201,2020,07,1,0,4570
53383466,19,19201,2020,07,1,1,4295
53383466,19,19201,2020,07,1,2,4628
53383466,19,19201,2020,07,2,0,4649
53383466,19,19201,2020,07,2,1,4426
53383466,19,19201,2020,07,2,2,4693
53383467,19,19201,2020,07,0,0,2153
53383467,19,19201,2020,07,0,1,1817
53383467,19,19201,2020,07,0,2,1956
53383467,19,19201,2020,07,1,0,2690
53383467,19,19201,2020,07,1,1,1932
53383467,19,19201,2020,07,1,2,2331
53383467,19,19201,2020,07,2,0,2517
53383467,19,19201,2020,07,2,1,1895
53383467,19,19201,2020,07,2,2,2210
53383468,19,19201,2020,07,0,0,2122
53383468,19,19201,2020,07,0,1,2731
53383468,19,19201,2020,07,0,2,2393
53383468,19,19201,2020,07,1,0,1393
53383468,19,19201,2020,07,1,1,2677
53383468,19,19201,2020,07,1,2,2092
53383468,19,19201,2020,07,2,0,1628
53383468,19,19201,2020,07,2,1,2695
53383468,19,19201,2020,07,2,2,2189
53383474,19,19201,2020,07,0,0,4456
53383474,19,19201,2020,07,0,1,4849
53383474,19,19201,2020,07,0,2,4863
53383474,19,19201,2020,07,1,0,6229
53383474,19,19201,2020,07,1,1,5419
53383474,19,19201,2020,07,1,2,5799
53383474,19,19201,2020,07,2,0,5657
53383474,19,19201,2020,07,2,1,5235
53383474,19,19201,2020,07,2,2,5497
53383475,19,19201,2020,07,0,0,4946
53383475,19,19201,2020,07,0,1,6122
53383475,19,19201,2020,07,0,2,5470
53383475,19,19201,2020,07,1,0,4756
53383475,19,19201,2020,07,1,1,6046
53383475,19,19201,2020,07,1,2,5534
53383475,19,19201,2020,07,2,0,4817
53383475,19,19201,2020,07,2,1,6071
53383475,19,19201,2020,07,2,2,5513
53383476,19,19201,2020,07,0,0,4424
53383476,19,19201,2020,07,0,1,4551
53383476,19,19201,2020,07,0,2,4463
53383476,19,19201,2020,07,1,0,6690
53383476,19,19201,2020,07,1,1,4891
53383476,19,19201,2020,07,1,2,5736
53383476,19,19201,2020,07,2,0,5959
53383476,19,19201,2020,07,2,1,4781
53383476,19,19201,2020,07,2,2,5325
53383477,19,19201,2020,07,0,0,3403
53383477,19,19201,2020,07,0,1,4100
53383477,19,19201,2020,07,0,2,3804
53383477,19,19201,2020,07,1,0,2884
53383477,19,19201,2020,07,1,1,3888
53383477,19,19201,2020,07,1,2,3466
53383477,19,19201,2020,07,2,0,3052
53383477,19,19201,2020,07,2,1,3957
53383477,19,19201,2020,07,2,2,3575
53383478,19,19201,2020,07,0,0,4929
53383478,19,19201,2020,07,0,1,2371
53383478,19,19201,2020,07,0,2,3486
53383478,19,19201,2020,07,1,0,4193
53383478,19,19201,2020,07,1,1,2358
53383478,19,19201,2020,07,1,2,3278
53383478,19,19201,2020,07,2,0,4431
53383478,19,19201,2020,07,2,1,2362
53383478,19,19201,2020,07,2,2,3345
53383479,19,19201,2020,07,0,0,3891
53383479,19,19201,2020,07,0,1,3418
53383479,19,19201,2020,07,0,2,3662
53383479,19,19201,2020,07,1,0,3638
53383479,19,19201,2020,07,1,1,3058
53383479,19,19201,2020,07,1,2,3218
53383479,19,19201,2020,07,2,0,3719
53383479,19,19201,2020,07,2,1,3174
53383479,19,19201,2020,07,2,2,3361
53383483,19,19201,2020,07,0,0,6565
53383483,19,19201,2020,07,0,1,5667
53383483,19,19201,2020,07,0,2,6079
53383483,19,19201,2020,07,1,0,5036
53383483,19,19201,2020,07,1,1,5878
53383483,19,19201,2020,07,1,2,5515
53383483,19,19201,2020,07,2,0,5529
53383483,19,19201,2020,07,2,1,5810
53383483,19,19201,2020,07,2,2,5697
53383484,19,19201,2020,07,0,0,5245
53383484,19,19201,2020,07,0,1,5763
53383484,19,19201,2020,07,0,2,5523
53383484,19,19201,2020,07,1,0,3886
53383484,19,19201,2020,07,1,1,5642
53383484,19,19201,2020,07,1,2,4936
53383484,19,19201,2020,07,2,0,4324
53383484,19,19201,2020,07,2,1,5681
53383484,19,19201,2020,07,2,2,5125
53383485,19,19201,2020,07,0,0,5106
53383485,19,19201,2020,07,0,1,4169
53383485,19,19201,2020,07,0,2,4479
53383485,19,19201,2020,07,1,0,7937
53383485,19,19201,2020,07,1,1,4966
53383485,19,19201,2020,07,1,2,6252
53383485,19,19201,2020,07,2,0,7024
53383485,19,19201,2020,07,2,1,4709
53383485,19,19201,2020,07,2,2,5680
53383486,19,19201,2020,07,0,0,5557
53383486,19,19201,2020,07,0,1,5629
53383486,19,19201,2020,07,0,2,5727
53383486,19,19201,2020,07,1,0,4846
53383486,19,19201,2020,07,1,1,5650
53383486,19,19201,2020,07,1,2,5321
53383486,19,19201,2020,07,2,0,5076
53383486,19,19201,2020,07,2,1,5643
53383486,19,19201,2020,07,2,2,5452
53383487,19,19201,2020,07,0,0,2709
53383487,19,19201,2020,07,0,1,2674
53383487,19,19201,2020,07,0,2,2706
53383487,19,19201,2020,07,1,0,2932
53383487,19,19201,2020,07,1,1,2887
53383487,19,19201,2020,07,1,2,2897
53383487,19,19201,2020,07,2,0,2860
53383487,19,19201,2020,07,2,1,2818
53383487,19,19201,2020,07,2,2,2835
53383488,19,19201,2020,07,0,0,3265
53383488,19,19201,2020,07,0,1,2718
53383488,19,19201,2020,07,0,2,2955
53383488,19,19201,2020,07,1,0,3307
53383488,19,19201,2020,07,1,1,2580
53383488,19,19201,2020,07,1,2,2923
53383488,19,19201,2020,07,2,0,3293
53383488,19,19201,2020,07,2,1,2625
53383488,19,19201,2020,07,2,2,2933
53383489,19,19201,2020,07,0,0,3354
53383489,19,19201,2020,07,0,1,3988
53383489,19,19201,2020,07,0,2,3711
53383489,19,19201,2020,07,1,0,2017
53383489,19,19201,2020,07,1,1,3818
53383489,19,19201,2020,07,1,2,2951
