mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53383427,19,19201,2020,02,2,0,803
53383427,19,19201,2020,02,2,1,639
53383427,19,19201,2020,02,2,2,733
53383428,19,19201,2020,02,0,0,912
53383428,19,19201,2020,02,0,1,996
53383428,19,19201,2020,02,0,2,1002
53383428,19,19201,2020,02,1,0,1200
53383428,19,19201,2020,02,1,1,1211
53383428,19,19201,2020,02,1,2,1147
53383428,19,19201,2020,02,2,0,1091
53383428,19,19201,2020,02,2,1,1129
53383428,19,19201,2020,02,2,2,1092
53383434,19,19201,2020,02,0,0,1888
53383434,19,19201,2020,02,0,1,1754
53383434,19,19201,2020,02,0,2,1796
53383434,19,19201,2020,02,1,0,4494
53383434,19,19201,2020,02,1,1,1595
53383434,19,19201,2020,02,1,2,2868
53383434,19,19201,2020,02,2,0,3506
53383434,19,19201,2020,02,2,1,1655
53383434,19,19201,2020,02,2,2,2462
53383435,19,19201,2020,02,0,0,2374
53383435,19,19201,2020,02,0,1,3256
53383435,19,19201,2020,02,0,2,2847
53383435,19,19201,2020,02,1,0,1694
53383435,19,19201,2020,02,1,1,3229
53383435,19,19201,2020,02,1,2,2496
53383435,19,19201,2020,02,2,0,1952
53383435,19,19201,2020,02,2,1,3239
53383435,19,19201,2020,02,2,2,2629
53383436,19,19201,2020,02,0,0,1287
53383436,19,19201,2020,02,0,1,1549
53383436,19,19201,2020,02,0,2,1430
53383436,19,19201,2020,02,1,0,948
53383436,19,19201,2020,02,1,1,1568
53383436,19,19201,2020,02,1,2,1256
53383436,19,19201,2020,02,2,0,1077
53383436,19,19201,2020,02,2,1,1561
53383436,19,19201,2020,02,2,2,1322
53383437,19,19201,2020,02,0,0,585
53383437,19,19201,2020,02,0,1,630
53383437,19,19201,2020,02,0,2,619
53383437,19,19201,2020,02,1,0,537
53383437,19,19201,2020,02,1,1,709
53383437,19,19201,2020,02,1,2,636
53383437,19,19201,2020,02,2,0,555
53383437,19,19201,2020,02,2,1,679
53383437,19,19201,2020,02,2,2,629
53383438,19,19201,2020,02,0,0,152
53383438,19,19201,2020,02,0,1,146
53383438,19,19201,2020,02,0,2,158
