,週,week,weeknum,pref,newcaseday,newcaset.1,newcaset.2,cumcases,newdeath,emergency,GZnew,cumGZ,mobility,resview,in_city,in_pref,out_pref,week_dummy,pref_dummy,population,avg_temp,rain,sum_pop,agrgt_potecovid_lag1,agrgt_potecovid_lag2,susceptable,avg_temp_q,rain_q
20,202002_W1,2020-02-03,6,Ibaragi,0,0,0,0,0,0,0,0,2827220,3.832124188,-0.260246966,2.309492826,-3.093950834,D_6,D_Ibaragi,2860000,4.00476190476191,0.0476190476190476,2827199,0.024239326991494,0.0538051423014127,2860000,16.0381179138322,0.00226757369614512
21,202002_W1,2020-02-03,6,Nagano,0,0,0,0,0,0,0,0,2140796,-9.119350405,1.404795066,-2.516698099,-14.79310878,D_6,D_Nagano,2049000,0.335714285714286,0.125,2140727,0.00910561846277857,0.0407452415809193,2049000,0.112704081632653,0.015625
22,202002_W1,2020-02-03,6,Shizuoka,0,0,0,0,0,0,0,0,3730620,-4.231370774,0.586686129,1.315456939,-12.47738624,D_6,D_Shizuoka,3644000,6.83333333333333,0,3730607,0.01652687374915,0.0684715735818805,3644000,46.6944444444444,0
23,202002_W1,2020-02-03,6,Tochigi,0,0,1,0,0,0,0,0,1962648,-2.769067925,0.81888779,0.073789837,-8.161335619,D_6,D_Tochigi,1934000,3.11428571428571,0,1962623,0.00538040120916486,0.0246661643287348,1934000,9.69877551020408,0
24,202002_W1,2020-02-03,6,Yamanashi,0,0,0,0,0,0,0,0,837249,-10.0266615,0.931750448,-2.103237637,-6.363874632,D_6,D_Yamanashi,811000,2.12857142857143,0,837237,0.00340303762787261,0.0212923798123838,811000,4.53081632653061,0
25,202002_W2,2020-02-10,7,Gunma,0,0,0,0,0,0,0,0,1973663,9.101489814,1.077369572,-0.269290055,-7.876314141,D_7,D_Gunma,1942000,8.27857142857143,0.214285714285714,1973630,0.0312064980112013,0.0889024903687509,1942000,68.5347448979592,0.0459183673469388
26,202002_W2,2020-02-10,7,Ibaragi,0,0,0,0,0,0,0,0,2832337,11.73658619,0.346036865,-0.680514782,-9.781212844,D_7,D_Ibaragi,2860000,7.53333333333334,1.28571428571429,2832301,0.0558072311963968,0.145558318727137,2860000,56.7511111111112,1.6530612244898
27,202002_W2,2020-02-10,7,Nagano,0,0,2,0,0,0,0,0,2141507,3.564069554,1.736820471,-4.193513805,-10.88002252,D_7,D_Nagano,2049000,4.66428571428571,3.92857142857143,2141422,0.0484315789018788,0.130443724787289,2049000,21.7555612244898,15.4336734693878
28,202002_W2,2020-02-10,7,Shizuoka,0,0,1,0,0,0,0,0,3745156,5.332259787,1.339534056,-2.024183424,-5.950712906,D_7,D_Shizuoka,3644000,10.5333333333333,7.66666666666668,3745180,0.0738762953990994,0.241836051975547,3644000,110.951111111111,58.7777777777779
29,202002_W2,2020-02-10,7,Tochigi,0,1,0,0,0,0,0,0,1967027,3.19429184,1.840962964,-3.37396244,-8.867775867,D_7,D_Tochigi,1934000,7.24285714285714,0.357142857142857,1967000,0.0263670634147143,1.00873849065263,1934000,52.4589795918367,0.127551020408163
