week,pref,resview,weeknum
2020年6月第1週,Yamanashi,-47.224102406,23
2020年6月第1週,Gunma,-29.135090964,23
2020年6月第1週,Ibaragi,-23.639699112,23
2020年6月第1週,Tochigi,-32.049953246,23
2020年6月第1週,Nagano,-38.977741876,23
2020年6月第1週,Shizuoka,-32.225219361,23
2020年6月第2週,Yamanashi,-39.612825631,24
2020年6月第2週,Gunma,-23.914655412,24
2020年6月第2週,Ibaragi,-19.864053879,24
2020年6月第2週,Tochigi,-25.673836963,24
2020年6月第2週,Nagano,-29.165500063,24
2020年6月第2週,Shizuoka,-26.416474554,24
2020年6月第3週,Yamanashi,-22.876750232,25
2020年6月第3週,Gunma,-18.605838366,25
2020年6月第3週,Ibaragi,-9.965806399,25
2020年6月第3週,Tochigi,-17.1703232,25
2020年6月第3週,Nagano,-17.622708894,25
2020年6月第3週,Shizuoka,-13.856658805,25
2020年6月第4週,Yamanashi,-17.985407861,26
2020年6月第4週,Gunma,-17.589807481,26
2020年6月第4週,Ibaragi,-12.860397526,26
2020年6月第4週,Tochigi,-17.707089707,26
2020年6月第4週,Nagano,-16.538001247,26
2020年6月第4週,Shizuoka,-11.202007774,26
2020年7月第1週,Yamanashi,-23.148581166,27
2020年7月第1週,Gunma,-16.626018832,27
2020年7月第1週,Ibaragi,-15.234905753,27
2020年7月第1週,Tochigi,-20.700277526,27
2020年7月第1週,Nagano,-23.938660002,27
2020年7月第1週,Shizuoka,-16.217987122,27
2020年7月第2週,Yamanashi,-33.848525847,28
2020年7月第2週,Gunma,-17.391704511,28
2020年7月第2週,Ibaragi,-15.848076573,28
2020年7月第2週,Tochigi,-23.92502053,28
2020年7月第2週,Nagano,-27.282566457,28
2020年7月第2週,Shizuoka,-24.713493052,28
2020年7月第3週,Yamanashi,-7.851154688,29
2020年7月第3週,Gunma,-8.494700572,29
2020年7月第3週,Ibaragi,-8.898517055,29
2020年7月第3週,Tochigi,-17.226416464,29
2020年7月第3週,Nagano,-20.40306843,29
2020年7月第3週,Shizuoka,-14.727113046,29
2020年7月第4週,Yamanashi,-3.176500474,30
2020年7月第4週,Gunma,6.318277237,30
2020年7月第4週,Ibaragi,7.96460177,30
2020年7月第4週,Tochigi,-0.566943902,30
2020年7月第4週,Nagano,-5.205683316,30
2020年7月第4週,Shizuoka,-2.856563346,30
2020年7月第5週,Yamanashi,-36.372401448,31
2020年7月第5週,Gunma,-15.187858287,31
2020年7月第5週,Ibaragi,-17.086096216,31
2020年7月第5週,Tochigi,-26.733412644,31
2020年7月第5週,Nagano,-33.303080973,31
2020年7月第5週,Shizuoka,-33.047424169,31
2020年8月第1週,Yamanashi,-22.559349273,32
2020年8月第1週,Gunma,-16.564180796,32
2020年8月第1週,Ibaragi,-16.395496794,32
2020年8月第1週,Tochigi,-16.030047022,32
2020年8月第1週,Nagano,-31.180464923,32
2020年8月第1週,Shizuoka,-27.443547627,32
2020年8月第2週,Yamanashi,-37.986699093,33
2020年8月第2週,Gunma,-39.872590744,33
2020年8月第2週,Ibaragi,-35.787828431,33
2020年8月第2週,Tochigi,-40.051600111,33
2020年8月第2週,Nagano,-45.105106296,33
2020年8月第2週,Shizuoka,-42.252078357,33
2020年8月第3週,Yamanashi,-21.338648401,34
2020年8月第3週,Gunma,-20.18090923,34
2020年8月第3週,Ibaragi,-12.84695574,34
2020年8月第3週,Tochigi,-18.667717161,34
2020年8月第3週,Nagano,-26.9451984,34
2020年8月第3週,Shizuoka,-23.210408845,34
2020年8月第4週,Yamanashi,-17.232230438,35
2020年8月第4週,Gunma,-9.799688769,35
2020年8月第4週,Ibaragi,-13.691556217,35
2020年8月第4週,Tochigi,-13.185701817,35
2020年8月第4週,Nagano,-25.202397381,35
2020年8月第4週,Shizuoka,-18.865488076,35
2020年9月第1週,Yamanashi,-17.847761288,36
2020年9月第1週,Gunma,-17.65023405,36
2020年9月第1週,Ibaragi,-12.531091807,36
2020年9月第1週,Tochigi,-15.04698821,36
2020年9月第1週,Nagano,-26.374769101,36
2020年9月第1週,Shizuoka,-16.289779634,36
2020年9月第2週,Yamanashi,-12.88922954,37
2020年9月第2週,Gunma,-12.267085384,37
2020年9月第2週,Ibaragi,-7.980622005,37
2020年9月第2週,Tochigi,-15.18405311,37
2020年9月第2週,Nagano,-19.79896114,37
2020年9月第2週,Shizuoka,-10.622423218,37
2020年9月第3週,Yamanashi,15.331461432,38
2020年9月第3週,Gunma,-14.229372952,38
2020年9月第3週,Ibaragi,0.063083881,38
2020年9月第3週,Tochigi,-4.518930764,38
2020年9月第3週,Nagano,0.647778652,38
2020年9月第3週,Shizuoka,3.682883352,38
2020年9月第4週,Yamanashi,25.288080485,39
2020年9月第4週,Gunma,-7.049279361,39
2020年9月第4週,Ibaragi,0.924361216,39
2020年9月第4週,Tochigi,-1.551292302,39
2020年9月第4週,Nagano,6.518844944,39
2020年9月第4週,Shizuoka,6.060776396,39
2020年10月第1週,Yamanashi,1.322564744,40
2020年10月第1週,Gunma,-17.215681386,40
2020年10月第1週,Ibaragi,-9.391010689,40
2020年10月第1週,Tochigi,-13.488279224,40
2020年10月第1週,Nagano,-10.532286213,40
2020年10月第1週,Shizuoka,-3.928215744,40
2020年10月第2週,Yamanashi,40.546006067,41
2020年10月第2週,Gunma,12.950675255,41
2020年10月第2週,Ibaragi,25.213952247,41
2020年10月第2週,Tochigi,22.965849055,41
2020年10月第2週,Nagano,23.816643704,41
2020年10月第2週,Shizuoka,28.640662932,41
2020年10月第3週,Yamanashi,25.748834456,42
2020年10月第3週,Gunma,1.104964446,42
2020年10月第3週,Ibaragi,3.396336825,42
2020年10月第3週,Tochigi,5.241495777,42
2020年10月第3週,Nagano,27.043286307,42
2020年10月第3週,Shizuoka,3.250927193,42
2020年10月第4週,Yamanashi,17.93804563,43
2020年10月第4週,Gunma,-5.142365125,43
2020年10月第4週,Ibaragi,-2.451696736,43
2020年10月第4週,Tochigi,-3.287520279,43
2020年10月第4週,Nagano,11.17281057,43
2020年10月第4週,Shizuoka,-1.179363097,43
2020年10月第5週,Yamanashi,6.105343834,44
2020年10月第5週,Gunma,-6.936036163,44
2020年10月第5週,Ibaragi,-7.260835187,44
2020年10月第5週,Tochigi,-11.943200148,44
2020年10月第5週,Nagano,3.677401997,44
2020年10月第5週,Shizuoka,-3.307058917,44
2020年11月第1週,Yamanashi,15.863051434,45
2020年11月第1週,Gunma,-6.020579674,45
2020年11月第1週,Ibaragi,-1.861920108,45
2020年11月第1週,Tochigi,-3.109395481,45
2020年11月第1週,Nagano,14.16473108,45
2020年11月第1週,Shizuoka,5.237437945,45
2020年11月第2週,Yamanashi,8.40141555,46
2020年11月第2週,Gunma,-12.28551794,46
2020年11月第2週,Ibaragi,-10.387973408,46
2020年11月第2週,Tochigi,-4.560282989,46
2020年11月第2週,Nagano,1.197440255,46
2020年11月第2週,Shizuoka,-5.641824899,46
2020年11月第3週,Yamanashi,18.373313728,47
2020年11月第3週,Gunma,-11.552796404,47
2020年11月第3週,Ibaragi,-5.816776563,47
2020年11月第3週,Tochigi,-3.394078317,47
2020年11月第3週,Nagano,-0.249151516,47
2020年11月第3週,Shizuoka,-4.169385,47
2020年11月第4週,Yamanashi,0.221617332,48
2020年11月第4週,Gunma,-15.124873044,48
2020年11月第4週,Ibaragi,-15.669715364,48
2020年11月第4週,Tochigi,-9.812546232,48
2020年11月第4週,Nagano,-10.796363335,48
2020年11月第4週,Shizuoka,-13.868875169,48
2020年12月第1週,Yamanashi,-10.937347788,49
2020年12月第1週,Gunma,-25.886712056,49
2020年12月第1週,Ibaragi,-28.139730946,49
2020年12月第1週,Tochigi,-19.684014079,49
2020年12月第1週,Nagano,-20.252378982,49
2020年12月第1週,Shizuoka,-23.408115912,49
2020年12月第2週,Yamanashi,-16.903880996,50
2020年12月第2週,Gunma,-13.744087521,50
2020年12月第2週,Ibaragi,-25.356244021,50
2020年12月第2週,Tochigi,-21.208604703,50
2020年12月第2週,Nagano,-19.276061669,50
2020年12月第2週,Shizuoka,-24.338028169,50
2020年12月第3週,Yamanashi,-15.176312596,51
2020年12月第3週,Gunma,-27.263648242,51
2020年12月第3週,Ibaragi,-24.138885403,51
2020年12月第3週,Tochigi,-24.043908009,51
2020年12月第3週,Nagano,-24.661704027,51
2020年12月第3週,Shizuoka,-25.376498631,51
2020年12月第4週,Yamanashi,-19.16679251,52
2020年12月第4週,Gunma,-30.542980839,52
2020年12月第4週,Ibaragi,-20.988034434,52
2020年12月第4週,Tochigi,-24.655304848,52
2020年12月第4週,Nagano,-25.384641138,52
2020年12月第4週,Shizuoka,-28.031343457,52
2020年12月第5週,Yamanashi,-25.958729439,53
2020年12月第5週,Gunma,-30.020944812,53
2020年12月第5週,Ibaragi,-23.188010102,53
2020年12月第5週,Tochigi,-29.456225016,53
2020年12月第5週,Nagano,-31.870487053,53
2020年12月第5週,Shizuoka,-30.129106801,53
2021年1月第1週,Yamanashi,-42.760312603,54
2021年1月第1週,Gunma,-36.099605977,54
2021年1月第1週,Ibaragi,-32.132284117,54
2021年1月第1週,Tochigi,-43.427182055,54
2021年1月第1週,Nagano,-43.589941805,54
2021年1月第1週,Shizuoka,-42.136874839,54
2021年1月第2週,Yamanashi,-39.960922076,55
2021年1月第2週,Gunma,-36.520090445,55
2021年1月第2週,Ibaragi,-39.192935544,55
2021年1月第2週,Tochigi,-49.688171599,55
2021年1月第2週,Nagano,-43.413691059,55
2021年1月第2週,Shizuoka,-43.444323577,55
2021年1月第3週,Yamanashi,-39.767704019,56
2021年1月第3週,Gunma,-43.847971838,56
2021年1月第3週,Ibaragi,-43.950304333,56
2021年1月第3週,Tochigi,-53.501927865,56
2021年1月第3週,Nagano,-44.533435554,56
2021年1月第3週,Shizuoka,-47.354179802,56
2021年1月第4週,Yamanashi,-22.281844683,57
2021年1月第4週,Gunma,-26.319842,57
2021年1月第4週,Ibaragi,-25.838486289,57
2021年1月第4週,Tochigi,-29.408802654,57
2021年1月第4週,Nagano,-24.333963466,57
2021年1月第4週,Shizuoka,-25.178349781,57
2021年2月第1週,Yamanashi,-31.832375024,58
2021年2月第1週,Gunma,-38.259284569,58
2021年2月第1週,Ibaragi,-34.734514388,58
2021年2月第1週,Tochigi,-39.729669818,58
2021年2月第1週,Nagano,-34.294536658,58
2021年2月第1週,Shizuoka,-33.594660418,58
2021年2月第2週,Yamanashi,-32.718564209,59
2021年2月第2週,Gunma,-37.464259064,59
2021年2月第2週,Ibaragi,-29.827327516,59
2021年2月第2週,Tochigi,-38.140660461,59
2021年2月第2週,Nagano,-32.382350993,59
2021年2月第2週,Shizuoka,-38.008879902,59
2021年2月第3週,Yamanashi,-25.394902381,60
2021年2月第3週,Gunma,-37.473926465,60
2021年2月第3週,Ibaragi,-28.442976376,60
2021年2月第3週,Tochigi,-36.766630042,60
2021年2月第3週,Nagano,-26.966546441,60
2021年2月第3週,Shizuoka,-32.81528152,60
2021年2月第4週,Yamanashi,-22.77757274,61
2021年2月第4週,Gunma,-32.926469272,61
2021年2月第4週,Ibaragi,-25.00966534,61
2021年2月第4週,Tochigi,-31.39731002,61
2021年2月第4週,Nagano,-20.069584609,61
2021年2月第4週,Shizuoka,-34.254206256,61
2021年3月第1週,Yamanashi,-25.239154268,62
2021年3月第1週,Gunma,-33.00407758,62
2021年3月第1週,Ibaragi,-28.431356708,62
2021年3月第1週,Tochigi,-36.272091033,62
2021年3月第1週,Nagano,-22.592312844,62
2021年3月第1週,Shizuoka,-33.010702287,62
2021年3月第2週,Yamanashi,-22.356736308,63
2021年3月第2週,Gunma,-26.290443505,63
2021年3月第2週,Ibaragi,-27.85871709,63
2021年3月第2週,Tochigi,-33.184854085,63
2021年3月第2週,Nagano,-22.864082324,63
2021年3月第2週,Shizuoka,-29.637569387,63
2021年3月第3週,Yamanashi,-21.966143345,64
2021年3月第3週,Gunma,-29.422262973,64
2021年3月第3週,Ibaragi,-27.985939558,64
2021年3月第3週,Tochigi,-31.278282049,64
2021年3月第3週,Nagano,-25.91868555,64
2021年3月第3週,Shizuoka,-30.205079433,64
2021年3月第4週,Yamanashi,-21.470764287,65
2021年3月第4週,Gunma,-29.028042677,65
2021年3月第4週,Ibaragi,-25.806427017,65
2021年3月第4週,Tochigi,-31.431997364,65
2021年3月第4週,Nagano,-29.182858949,65
2021年3月第4週,Shizuoka,-30.013302392,65
2021年4月第1週,Yamanashi,-15.661614474,66
2021年4月第1週,Gunma,-29.713787571,66
2021年4月第1週,Ibaragi,-23.663576553,66
2021年4月第1週,Tochigi,-31.250801659,66
2021年4月第1週,Nagano,-26.435698643,66
2021年4月第1週,Shizuoka,-24.031523639,66
2021年4月第2週,Yamanashi,-27.324668705,67
2021年4月第2週,Gunma,-29.579972766,67
2021年4月第2週,Ibaragi,-23.660380107,67
2021年4月第2週,Tochigi,-32.722467942,67
2021年4月第2週,Nagano,-27.546651395,67
2021年4月第2週,Shizuoka,-24.722133405,67
2021年4月第3週,Yamanashi,-26.594197846,68
2021年4月第3週,Gunma,-29.547103365,68
2021年4月第3週,Ibaragi,-14.923356677,68
2021年4月第3週,Tochigi,-32.313201221,68
2021年4月第3週,Nagano,-35.303039892,68
2021年4月第3週,Shizuoka,-31.521225915,68
2021年4月第4週,Yamanashi,-33.093498571,69
2021年4月第4週,Gunma,-37.26315055,69
2021年4月第4週,Ibaragi,-28.199638606,69
2021年4月第4週,Tochigi,-32.794529003,69
2021年4月第4週,Nagano,-44.512055366,69
2021年4月第4週,Shizuoka,-35.383611137,69
2021年4月第5週,Yamanashi,-28.464240759,70
2021年4月第5週,Gunma,-26.151647769,70
2021年4月第5週,Ibaragi,-25.518216019,70
2021年4月第5週,Tochigi,-30.823299787,70
2021年4月第5週,Nagano,-35.861365549,70
2021年4月第5週,Shizuoka,-29.263660695,70
2021年5月第1週,Yamanashi,-53.709270673,71
2021年5月第1週,Gunma,-49.172378162,71
2021年5月第1週,Ibaragi,-42.209394943,71
2021年5月第1週,Tochigi,-50.719602233,71
2021年5月第1週,Nagano,-59.452763069,71
2021年5月第1週,Shizuoka,-51.422973269,71
2021年5月第2週,Yamanashi,-39.332733449,72
2021年5月第2週,Gunma,-45.652493897,72
2021年5月第2週,Ibaragi,-34.171782512,72
2021年5月第2週,Tochigi,-42.409162374,72
2021年5月第2週,Nagano,-43.076385992,72
2021年5月第2週,Shizuoka,-40.895453937,72
2021年5月第3週,Yamanashi,-41.24528339,73
2021年5月第3週,Gunma,-44.766385019,73
2021年5月第3週,Ibaragi,-33.35601621,73
2021年5月第3週,Tochigi,-38.447368238,73
2021年5月第3週,Nagano,-45.970010495,73
2021年5月第3週,Shizuoka,-41.135225266,73
2021年5月第4週,Yamanashi,-36.202708523,74
2021年5月第4週,Gunma,-44.120472132,74
2021年5月第4週,Ibaragi,-29.861436594,74
2021年5月第4週,Tochigi,-33.693403122,74
2021年5月第4週,Nagano,-42.93415184,74
2021年5月第4週,Shizuoka,-35.925806428,74
2021年6月第1週,Yamanashi,-33.82655358,75
2021年6月第1週,Gunma,-45.004539869,75
2021年6月第1週,Ibaragi,-32.059881809,75
2021年6月第1週,Tochigi,-35.78375344,75
2021年6月第1週,Nagano,-41.214305067,75
2021年6月第1週,Shizuoka,-36.335392403,75
2021年6月第2週,Yamanashi,-39.318953246,76
2021年6月第2週,Gunma,-43.189417352,76
2021年6月第2週,Ibaragi,-28.605831986,76
2021年6月第2週,Tochigi,-37.820418103,76
2021年6月第2週,Nagano,-41.694894435,76
2021年6月第2週,Shizuoka,-36.295050381,76
2021年6月第3週,Yamanashi,-39.31060955,77
2021年6月第3週,Gunma,-42.632996398,77
2021年6月第3週,Ibaragi,-31.146669945,77
2021年6月第3週,Tochigi,-37.856273429,77
2021年6月第3週,Nagano,-38.714745245,77
