"date","pref","Sales","customers","Rt","Ymns","Rt.lag7","Rt.lag14"
2019-01-03,"群馬県",11241968,3576,NA,0,NA,NA
2019-01-03,"埼玉県",19337141,8274,NA,0,NA,NA
2019-01-03,"千葉県",28954077,10590,NA,0,NA,NA
2019-01-03,"東京都",111833135,43048,NA,0,NA,NA
2019-01-03,"神奈川県",40427053,16770,NA,0,NA,NA
2019-01-03,"新潟県",8140843,2785,NA,0,NA,NA
2019-01-03,"山梨県",2935548,1039,NA,1,NA,NA
2019-01-03,"長野県",9534713,5405,NA,0,NA,NA
2019-01-03,"富山県",4695846,2100,NA,0,NA,NA
2019-01-03,"石川県",7142332,2650,NA,0,NA,NA
2019-01-03,"福井県",2087027,1205,NA,0,NA,NA
2019-01-03,"岐阜県",10177663,4851,NA,0,NA,NA
2019-01-03,"静岡県",16862277,7857,NA,0,NA,NA
2019-01-03,"愛知県",44221686,18397,NA,0,NA,NA
2019-01-03,"三重県",7634834,4350,NA,0,NA,NA
2019-01-03,"滋賀県",10541641,3059,NA,0,NA,NA
2019-01-03,"京都府",26162984,9719,NA,0,NA,NA
2019-01-03,"大阪府",70051666,31991,NA,0,NA,NA
2019-01-03,"兵庫県",47126217,22446,NA,0,NA,NA
2019-01-03,"奈良県",9308658,3678,NA,0,NA,NA
2019-01-03,"和歌山県",4296891,1749,NA,0,NA,NA
2019-01-03,"鳥取県",3160047,1149,NA,0,NA,NA
2019-01-03,"島根県",1912849,629,NA,0,NA,NA
2019-01-03,"岡山県",12364548,5507,NA,0,NA,NA
2019-01-03,"広島県",19153059,10737,NA,0,NA,NA
2019-01-03,"山口県",7916434,2866,NA,0,NA,NA
2019-01-03,"徳島県",1556942,724,NA,0,NA,NA
2019-01-03,"香川県",8035710,4755,NA,0,NA,NA
2019-01-03,"愛媛県",8571815,5145,NA,0,NA,NA
2019-01-03,"高知県",3518601,1395,NA,0,NA,NA
2019-01-03,"福岡県",31937573,12921,NA,0,NA,NA
2019-01-03,"佐賀県",3668156,1679,NA,0,NA,NA
2019-01-03,"長崎県",4754560,2397,NA,0,NA,NA
2019-01-03,"熊本県",7584932,3159,NA,0,NA,NA
2019-01-03,"大分県",6176052,3147,NA,0,NA,NA
2019-01-03,"宮崎県",3539525,1583,NA,0,NA,NA
2019-01-03,"鹿児島県",8878956,3619,NA,0,NA,NA
2019-01-03,"沖縄県",20439559,8132,NA,0,NA,NA
2019-01-04,"北海道",41993502,17634,NA,0,NA,NA
2019-01-04,"青森県",5609758,1882,NA,0,NA,NA
2019-01-04,"岩手県",5551381,2543,NA,0,NA,NA
2019-01-04,"宮城県",14741904,4636,NA,0,NA,NA
2019-01-04,"秋田県",2681846,872,NA,0,NA,NA
2019-01-04,"山形県",5144997,1805,NA,0,NA,NA
2019-01-04,"福島県",6560697,2461,NA,0,NA,NA
2019-01-04,"茨城県",14477924,5571,NA,0,NA,NA
2019-01-04,"栃木県",9409419,5108,NA,0,NA,NA
2019-01-04,"群馬県",14397244,4394,NA,0,NA,NA
2019-01-04,"埼玉県",24839622,10856,NA,0,NA,NA
2019-01-04,"千葉県",31485949,11014,NA,0,NA,NA
2019-01-04,"東京都",174202606,66520,NA,0,NA,NA
2019-01-04,"神奈川県",48174653,21012,NA,0,NA,NA
2019-01-04,"新潟県",9383556,3147,NA,0,NA,NA
2019-01-04,"山梨県",2474928,900,NA,1,NA,NA
2019-01-04,"長野県",9815001,5150,NA,0,NA,NA
2019-01-04,"富山県",4624879,2213,NA,0,NA,NA
2019-01-04,"石川県",8136225,3516,NA,0,NA,NA
2019-01-04,"福井県",2575377,1404,NA,0,NA,NA
2019-01-04,"岐阜県",11012348,4861,NA,0,NA,NA
2019-01-04,"静岡県",16181311,7836,NA,0,NA,NA
2019-01-04,"愛知県",54919129,22537,NA,0,NA,NA
2019-01-04,"三重県",8710660,4831,NA,0,NA,NA
2019-01-04,"滋賀県",12501033,3902,NA,0,NA,NA
2019-01-04,"京都府",27970520,10630,NA,0,NA,NA
2019-01-04,"大阪府",84228253,38089,NA,0,NA,NA
2019-01-04,"兵庫県",46925847,23251,NA,0,NA,NA
2019-01-04,"奈良県",9497899,3947,NA,0,NA,NA
2019-01-04,"和歌山県",3605761,1409,NA,0,NA,NA
2019-01-04,"鳥取県",3173516,1238,NA,0,NA,NA
2019-01-04,"島根県",2175211,713,NA,0,NA,NA
2019-01-04,"岡山県",11459996,4828,NA,0,NA,NA
2019-01-04,"広島県",20212766,10654,NA,0,NA,NA
2019-01-04,"山口県",10301654,3449,NA,0,NA,NA
2019-01-04,"徳島県",2327823,1027,NA,0,NA,NA
2019-01-04,"香川県",6859462,4125,NA,0,NA,NA
2019-01-04,"愛媛県",7588419,4474,NA,0,NA,NA
2019-01-04,"高知県",3878133,1853,NA,0,NA,NA
2019-01-04,"福岡県",35595167,14254,NA,0,NA,NA
2019-01-04,"佐賀県",3307349,1821,NA,0,NA,NA
2019-01-04,"長崎県",5027757,2432,NA,0,NA,NA
2019-01-04,"熊本県",8407537,3438,NA,0,NA,NA
2019-01-04,"大分県",7759501,3486,NA,0,NA,NA
2019-01-04,"宮崎県",4372982,1836,NA,0,NA,NA
2019-01-04,"鹿児島県",9309986,3865,NA,0,NA,NA
2019-01-04,"沖縄県",22573023,9149,NA,0,NA,NA
2019-01-05,"北海道",44224038,17798,NA,0,NA,NA
2019-01-05,"青森県",5183892,1829,NA,0,NA,NA
2019-01-05,"岩手県",5442669,2436,NA,0,NA,NA
2019-01-05,"宮城県",15294739,4786,NA,0,NA,NA
2019-01-05,"秋田県",2518501,799,NA,0,NA,NA
2019-01-05,"山形県",5352077,1829,NA,0,NA,NA
2019-01-05,"福島県",6243073,2394,NA,0,NA,NA
2019-01-05,"茨城県",15614098,5598,NA,0,NA,NA
2019-01-05,"栃木県",12106519,6169,NA,0,NA,NA
2019-01-05,"群馬県",16769779,4680,NA,0,NA,NA
2019-01-05,"埼玉県",30284060,12863,NA,0,NA,NA
2019-01-05,"千葉県",33621791,12177,NA,0,NA,NA
2019-01-05,"東京都",204462086,71480,NA,0,NA,NA
2019-01-05,"神奈川県",56990557,22968,NA,0,NA,NA
2019-01-05,"新潟県",9568508,3369,NA,0,NA,NA
2019-01-05,"山梨県",2800417,1056,NA,1,NA,NA
2019-01-05,"長野県",9613297,5504,NA,0,NA,NA
2019-01-05,"富山県",5506988,2494,NA,0,NA,NA
2019-01-05,"石川県",8413945,3172,NA,0,NA,NA
2019-01-05,"福井県",2174996,1200,NA,0,NA,NA
2019-01-05,"岐阜県",11265278,4878,NA,0,NA,NA
2019-01-05,"静岡県",17461373,7810,NA,0,NA,NA
2019-01-05,"愛知県",61236213,23797,NA,0,NA,NA
2019-01-05,"三重県",9522732,5025,NA,0,NA,NA
2019-01-05,"滋賀県",14138177,4340,NA,0,NA,NA
2019-01-05,"京都府",29320653,11412,NA,0,NA,NA
2019-01-05,"大阪府",89020110,38172,NA,0,NA,NA
2019-01-05,"兵庫県",47702611,22904,NA,0,NA,NA
2019-01-05,"奈良県",9235445,4229,NA,0,NA,NA
2019-01-05,"和歌山県",4751108,1775,NA,0,NA,NA
2019-01-05,"鳥取県",3354237,1065,NA,0,NA,NA
2019-01-05,"島根県",2230827,843,NA,0,NA,NA
2019-01-05,"岡山県",13005706,5092,NA,0,NA,NA
2019-01-05,"広島県",23816021,11464,NA,0,NA,NA
2019-01-05,"山口県",11317718,3784,NA,0,NA,NA
2019-01-05,"徳島県",2404804,980,NA,0,NA,NA
2019-01-05,"香川県",7201401,3914,NA,0,NA,NA
2019-01-05,"愛媛県",7622180,4350,NA,0,NA,NA
2019-01-05,"高知県",3753997,1816,NA,0,NA,NA
2019-01-05,"福岡県",38129067,15048,NA,0,NA,NA
2019-01-05,"佐賀県",3544558,1561,NA,0,NA,NA
2019-01-05,"長崎県",5183270,2305,NA,0,NA,NA
