week,week_JP,weeknum,pref,newcase_day,newdeath_day,emergency,GZnew,cumGZ,newcaseday14,resview,in_city,in_pref,out_pref,treat,avg_temp,avg_rain,infectious_l1,infectious_l2,sum_pop,pop_resid,tests,newcase_lead1,newcase_lead2,tests_lead1,tests_lead2,cumcases,susceptible,sales,customers,lsales,lcustomers,sales_per,customers_per,cumGZFood,cumGZHotel,cumGZShuzou,cumGZTransition,cumGZWinery,cumGZFoodHotel,dummy_school_closure,dummy_gathering_restriction,NSHR,M15,M20,M30,M40,M50,M60,M70,F15,F20,F30,F40,F50,F60,F70
2020-01-13,2020年1月第3週,3,Gunma,0,0,0,0,0,0,3.24702333,-1.90661631,-1.094252431,12.373607638,Neighboring_prefs,43.13428571428572,0.07142857142857142,0,0.0068285774585925,1965557,1942000,0,0,0,0,0,0,1942000,76499445,22017,18.15279404386849,9.999570161213173,764994.45,220.17,0,0,0,0,0,0,0,0,0.029523428571428572,-0.01968885714285714,1.2100000000000008e-4,-0.008681285714285714,-0.0023144285714285706,-0.010368285714285715,-0.004331714285714286,-0.011551999999999998,-0.02228242857142857,0.0028227142857142856,-0.001034142857142857,-0.007862714285714285,-0.001543714285714286,0.0016781428571428576,-0.001975285714285714
2020-01-13,2020年1月第3週,3,Ibaraki,0,0,0,0,0,0,-2.489891712,-2.033044431,0.063597851,11.818820867,Neighboring_prefs,42.59428571428572,1,0,0.00778228465907845,2838112,2860000,0,0,0,1,9,0,2860000,76485480,27540,18.15261147686015,10.223394772282646,889366.0465116279,320.2325581395349,0,0,0,0,0,0,0,0,0.03170428571428571,-0.02424442857142857,0.005133428571428571,-0.0039037142857142842,-0.0016917142857142855,-0.0026177142857142857,-0.0072239999999999995,-0.007346857142857142,-0.02402642857142857,0.012284428571428571,-2.598571428571427e-4,-0.003103571428571428,0.0039611428571428575,-0.004133428571428573,-0.010348714285714286
2020-01-13,2020年1月第3週,3,Nagano,0,0,0,0,0,0,-2.137822013,-2.707943741,-1.424666483,4.215343109,Neighboring_prefs,36.152857142857144,0.21428571428571427,0,0.01114238454007504,2120306,2049000,0,0,0,0,0,0,2049000,43359127,24739,17.585027781129142,10.116136224757684,637634.2205882353,363.80882352941177,0,0,0,0,0,0,0,0,0.027521999999999998,-0.042892000000000007,-0.004261428571428571,-0.003175142857142855,-0.013152571428571428,-0.008616571428571428,-0.004481857142857143,0.006995142857142857,-0.05013242857142857,-0.0033818571428571426,-0.002381857142857143,-0.00801057142857143,0.0021608571428571428,0.007053285714285713,-0.0011885714285714282
2020-01-13,2020年1月第3週,3,Shizuoka,0,0,0,0,0,0,-3.819798083,-2.233952493,1.522140106,12.775233795,Neighboring_prefs,45.542857142857144,2.142857142857143,0,0.0229710414796373,3721893,3644000,0,0,0,0,0,0,3644000,80943191,34430,18.209258120899765,10.44668355633257,697786.1293103448,296.8103448275862,0,0,0,0,0,0,0,0,0.044285285714285715,-0.024429714285714287,-0.006407,-0.018684714285714284,-0.013512285714285715,-0.016292285714285714,-0.01314742857142857,-0.017844142857142857,-0.027109571428571427,0.0028861428571428575,-0.006279285714285715,-0.006620428571428571,-0.005087428571428572,-0.0026590000000000008,-0.014610999999999999
2020-01-13,2020年1月第3週,3,Tochigi,0,0,0,0,0,0,-7.064713977,-1.105543919,-2.31393814,8.210048584,Neighboring_prefs,41.55285714285714,0.5,0,0.00604002532630015,1964567,1934000,0,0,0,0,3,0,1934000,53536268,27188,17.795869888733446,10.21053097846653,923039.1034482758,468.7586206896552,0,0,0,0,0,0,0,0,0.028589285714285716,-0.05087185714285714,-0.01652942857142857,-0.02522814285714286,-0.015144857142857144,-0.017823428571428573,-0.002852,-0.014186571428571427,-0.059792142857142856,-0.0056575714285714285,-0.0030727142857142854,-0.009749142857142857,-0.003954428571428571,-0.002708714285714286,-0.010180999999999999
2020-01-13,2020年1月第3週,3,Yamanashi,0,0,0,0,0,0,-6.764005522,-2.422890782,-2.457260001,7.603616863,Yamanashi,37.168571428571425,1.1428571428571428,0,0.00586623967175966,832072,811000,0,0,0,0,1,0,811000,13724227,4901,16.434673223190927,8.497194544909547,762457.0555555555,272.27777777777777,0,0,0,0,0,0,0,0,0.041824,-0.05760228571428572,-0.002684714285714286,3.3257142857142833e-4,-0.010234571428571428,-0.00831057142857143,1.1142857142857382e-5,0.012434857142857143,-0.028814000000000003,-0.01566414285714286,-0.005789,-0.004572714285714286,0.003045,0.009613285714285713,4.021428571428564e-4
2020-01-20,2020年1月第4週,4,Gunma,0,0,0,0,0,0,5.975943258,-2.517189848,1.324276391,12.938769123,Neighboring_prefs,42.95428571428572,0.07142857142857142,0.00414617809625795,0.00651466197447836,1967418,1942000,0,0,0,0,0,0,1942000,76950287,22076,18.158670147936817,10.002246324559392,769502.87,220.76,0,0,0,0,0,0,0,0,-0.018535142857142858,-0.014177571428571428,0.006128000000000001,0.008558142857142856,-0.0030840000000000004,0.008366285714285715,-0.004935428571428571,-0.014226714285714285,-0.01646914285714286,-0.004703285714285714,0.003722571428571429,-0.0037595714285714285,-0.008626714285714286,-0.024793142857142857,-0.035073571428571426
2020-01-20,2020年1月第4週,4,Ibaraki,0,0,0,0,0,0,2.734368236,-2.194517861,0.415116751,9.885945244,Neighboring_prefs,42.26,0.4047619047619048,0.00501447117136461,0.01393694988196966,2825948,2860000,1,0,0,9,6,0,2860000,79529985,28507,18.19164467832523,10.25790495013364,924767.2674418604,331.4767441860465,0,0,0,0,0,0,0,0,-0.007088571428571429,-0.027234285714285714,0.0060999999999999995,0.008917142857142858,4.298571428571423e-4,0.0069084285714285714,2.1028571428571456e-4,-0.017533857142857143,-0.022399714285714287,-0.007677000000000001,-0.0010132857142857146,-0.006267428571428571,-0.007359999999999999,-0.007588571428571428,-0.020938428571428573
2020-01-20,2020年1月第4週,4,Nagano,0,0,0,0,0,0,5.504448502,-3.055282064,0.72012406,3.069890287,Neighboring_prefs,38.46714285714286,1.2142857142857142,0.00656854873891756,0.01211712768642573,2113866,2049000,0,0,0,0,0,0,2049000,45575340,24357,17.634877338731563,10.100574561530555,670225.5882352941,358.19117647058823,0,0,0,0,0,0,0,0,0.007638000000000003,0.012023571428571427,0.017308285714285714,0.010747857142857142,0.0061532857142857144,0.012612857142857143,0.005183571428571429,-0.025303142857142857,0.019424285714285713,0.016615857142857144,0.003641428571428572,-0.002906428571428571,-6.875714285714289e-4,-0.012506,-0.030931857142857143
2020-01-20,2020年1月第4週,4,Shizuoka,0,0,0,0,0,0,2.639338169,-1.719628141,0.196065183,10.986246133,Neighboring_prefs,48.885714285714286,4.761904761904762,0.013814826532172,0.02296244222862294,3721866,3644000,0,0,0,0,0,0,3644000,85174959,34785,18.260218040149287,10.45694153835774,734266.8879310344,299.87068965517244,0,0,0,0,0,0,0,0,0.011088714285714289,0.007923285714285716,0.018726,0.027662714285714287,0.019607857142857142,0.020885142857142856,0.013576714285714284,0.012440285714285716,6.782857142857143e-4,0.011742285714285716,0.016553285714285715,0.009539571428571429,0.010664714285714286,-0.002024142857142857,-0.0046058571428571424
